Country,sciName,family,active.ambush,feedingTypeFishbase,trophicGroupRLS,waterColumnRLS
Australia (NSW2),Ambassis jacksoniensis,Ambassidae,ambush,selective plankton feeding,planktivore,demersal
Australia (QLD2),Ambassis marianus,Ambassidae,ambush,selective plankton feeding,planktivore,demersal
Australia (QLD2),Ambassis marianus,Ambassidae,ambush,selective plankton feeding,planktivore,demersal
France,Atherina boyeri,Atherinidae,active,hunting macrofauna (predator),planktivore;benthic invertivore,pelagic site attached
USA (NC),Menidia menidia,Atherinopsidae,active,selective plankton feeding,Benthic invertivore,pelagic site attached
USA (VA2),Menidia menidia,Atherinopsidae,active,selective plankton feeding,planktivore,pelagic site attached
Chile,Odontesthes sp.,Atherinopsidae,active,selective plankton feeding,planktivore,pelagic site attached
Canada (BC),Aulorhynchus flavidus,Aulorhynchidae,ambush,hunting macrofauna (predator),Planktivore,Pelagic site attached
USA (AK),Aulorhynchus flavidus,Aulorhynchidae,ambush,hunting macrofauna (predator),planktivore;benthic invertivore,Demersal
USA (WA),Aulorhynchus flavidus,Aulorhynchidae,ambush,selective plankton feeding,planktivore;benthic invertivore,Benthopelagic
Australia (NSW2),Aulostomus chinensis,Aulostomidae,ambush,hunting macrofauna (predator),higher carnivore,pelagic site attached
Mexico (ICML),Balistes vetula,Balistidae,active,hunting macrofauna (predator),NA,NA
Mexico (ICML),Canthidermis sufflamen,Balistidae,active,selective plankton feeding,NA,NA
USA (NC),Opsanus tau,Batrachoididae,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic
USA (CA),Strongylura exilis,Belonidae,active,hunting macrofauna (predator),NA,NA
USA (VA),Strongylura marina,Belonidae,active,hunting macrofauna (predator),NA,NA
USA (VA2),Strongylura marina,Belonidae,active,hunting macrofauna (predator),higher carnivore,pelagic non-site attached
USA (NC),Chasmodes saburrae,Blenniidae,ambush,hunting macrofauna (predator),omnivore,benthic
Mexico (BN),Hypsoblennius gentilis,Blenniidae,ambush,Hunting macrofauna (predator),Benthic invertivore,Benthic
USA (CA),Hypsoblennius gentilis,Blenniidae,ambush,NA,NA,NA
USA (CA2),Hypsoblennius gentilis,Blenniidae,ambush,NA,NA,NA
Chile,Hypsoblennius sordidus,Blenniidae,ambush,variable,omnivore,benthic
Australia (QLD3),Petroscirtes lupus,Blenniidae,ambush,variable,Omnivore,benthic
Australia (QLD2),Petroscirtes variabilis,Blenniidae,ambush,hunting macrofauna (predator),scraping herbivore,benthic
