"ID","Site.Name","site.paired","Site.Type","Lat","Long","Seagrass.Unveg","fish.abundance.seine","log10.fish.abundance.seine","fish.richness.seine","log10.fish.richness.seine","carnivores.seine","herbivores.seine","planktivores.seine","piscivores.seine","log10.carnivores.seine","log10.herbivores.seine","log10.planktivores.seine","log10.piscivores.seine","Acanthaluteres_spilomelanurus","Acanthogobius_flavimanus","Acanthopagrus_australis","Acropoma_japonicum","Albula_vulpes","Aldrichetta_forsteri","Ambassis_jacksoniensis","Ambassis_marianus","Ambassis_sp.","Ammodytes_americanus","Ammodytes_hexapterus","Ammodytes_tobianus","Anchoa_delicatissima","Anchoa_mitchilli","Apodichthys_flavidus","Archosargus_probatocephalus","Arenigobius_bifrenatus","Arothron_hispidus","Arrhamphus_sclerolepis","Artedius_harringtoni","Artedius_lateralis","Atherina_hepsetus","Atherina_presbyter","Atherinella_brasiliensis","Atherinomorus_endrachtensis","Atherinomorus_vaigiensis","Atherinops_affinis","Atherinopsis_californiensis","Atherinosoma_microstoma","Aulorhynchus_flavidus","Aulostomus_chinensis","Bairdiella_chrysoura","Bathygobius_soporator","Blepsias_cirrhosus","Brachyistius_frenatus","Callionymus_lyra","Caranx_latus","Carcinus_maenas","Centropogon_australis","Chasmodes_saburrae","Cheilodactylus_variegatus","Chelidonichthys_kumu","Chilomycterus_schoepfi","Citharichthys_sordidus","Citharichthys_stigmaeus","Clevelandia_ios","Clupea_harengus","Clupeidae_sp","Cottus_asper","Cottus_bairdi","Crangon_crangon","Ctenogobius_boleosoma","Ctenogobius_sagitula","Culaea_inconstans","Cyclopterus_lumpus","Cymatogaster_aggregata","Cynoscion_arenarius","Cynoscion_nebulosus","Cyprinodon_variegatus","Dicentrarchus_labrax","Diplodus_holbrookii","Ditrema_temminckii","Echiichthys_ vipera","Elops_saurus","Embiotoca_jacksoni","Embiotoca_lateralis","Embiotocidae_spp","Engraulis_ringens","Enophrys_bison","Entelurus_aequoreus","Epinephelus_coioides","Epinephelus_sp1","Ethmidium_maculatum","Etropus_longimanus","Eucinostomus_argenteus","Eucinostomus_harengulus","Favonigobius_exquisitus","Favonigobius_hymnauchen","Fistularia_commersonii","Fundulus_grandis","Fundulus_heteroclitus","Fundulus_parvipinnis","Fundulus_similis","Gadus_chalcogrammus","Gadus_morhua","Gasterosteus_aculeateus","Gasterosteus_aculeatus","Gasterosteus_wheatlandi","Gerres_oyena","Gerres_subfasciatus","Girella_tricuspidata","Girella_zebra","Gobies_species_complex","Gobiidae_sp","Gobiidae_sp1","Gobiidae_sp2","Gobiidae_sp3","Gobiidae_sp4","Gobiosoma_bosci","Gobiosoma_sp","Gobius_geniporus","Gobius_niger","Gobius_sp","Gobiusculus_flavescens","Gymnapistes_marmoratus","Halichoeres_poecilopterus","Halichoeres_semicinctus","Harengula_clupeola","Harengula_jaguana","Helotes_sexlineatus","Hemilepidotus_hemilepidotus","Hemiramphus_robustus","Heteroclinus_perspicillatus","Heterostichus_rostratus","Hexagrammos_agrammus","Hexagrammos_decagrammus","Hexagrammos_lagocephalus","Hexagrammos_otakii","Hippichthys_penicillus","Hippocampus_procerus","Hippocampus_sp","Hippocampus_whitei","Hypomesus_pretiosus","Hyporhamphus_australis","Hyporhamphus_regularis","Hyporhamphus_rosae","Hyporhamphus_sajori","Hypsoblennius_gentilis","Hypsoblennius_jenkinsi","Hypsoblennius_sordidus","Hypsurus_caryi","Ilypnus_gilberti","Isacia_conceptionis","Konosirus_punctatus","Labrus_bergylta","Lactoria_cornuta","Lagodon_rhomboides","Lateolabrax_japonicus","Leiostomus_xanthurus","Lepidogobius_lepidus","Lepidopsetta_sp","Leptocottus_affinis","Leptocottus_armatus","Leptocottus_aspera","Lethrinus_genivittatus","Lethrinus_laticaudis","Limanda_aspera","Limanda_limanda","Liparis_sp","Liza_argentea","Lutjanus_griseus","Lutjanus_russellii","Mallotus_villosus","Menidia_beryllina","Menidia_menidia","Menticirrhus_ophicephalus","Merlangius_merlangus","Meuschenia_trachylepis","Micrometrus_minimus","Monacanthus_chinensis","Monodactylus_argenteus","Mugil_cephalus","Mugil_curema","Mullus_barbatus","Myoxocephalus_aenaeus","Myoxocephalus_polyacanthocephalus","NA_NA","Nautichthys_oculofasciatus","Nesogobius_maccullochi","noID_bellyfish","Odontesthes_regia","Oligocottus_maculosus","Oligoplites_saliens","Oncorhynchus_tshawytscha","Opsanus_tau","Orthopristis_chrysoptera","Palaemon_serratus","Palaemon_sp","Paralabrax_clathratus","Paralabrax_maculatofasciatus","Paralabrax_nebulifer","Paralichthys_albigutta","Paralichthys_californicus","Paralichthys_microps","Parophrys_vetulus","Pelates_quadrilineatus","Petroscirtes_lupus","Petroscirtis_variabilis","Phanerodon_furcatus","Philypnodon_grandiceps","Pholis_fangi","Pholis_gunnellus","Pholis_laeta","Pholis_ornata","Pholis_sp","Platichthys_stellatus","Platycephalidae_sp1","Platycephalus_aurimaculatus","Platycephalus_fuscus","Pleuronectes_platessa","Pollachius_pollachius","Pollachius_virens","Pomatoschistus_marmoratus","Pomatoschistus_minutus","Pomatoschistus_sp","Porocottus_leptoxomus","Prionotus_punctatus","Psettichthys_melanostictus","Pseudoblennius_cottoides","Pseudolabrus_guentheri","Pseudomugil_signifer","Pseudopleuronectes_americanus","Pseudorhombus_arsius","Pterogobius_elapoides","Pungitius_pungitius","Repomucenus_lunatus","Repomucenus_macdonaldi","Rhacochilus_toxotes","Rhacochilus_vacca","Rhinobatos_productus","Rhombosolea_tapirina","Rudarius_ercodes","Salaria_pavo","Sardinella_aurita","Sardinella_brasiliensis","Sardinops_sagax","Saurida_nebulosa","Scartichthys_viridis","Scarus_ghobban","Sciaenops_ocellatus","Scorpaenichthys_marmoratus","sculpin_sp","Scylla_serrata","Sebastes_caurinus","Sebastes_pachycephalus","Sebastes_spp","Sebastiscus_marmoratus","Sebastiscus_sp","Sepioteuthis_Sepioteuthis australis","Siganus_canaliculatus","Siganus_fuscescens","Siganus_fuscescens ","Siganus_lineatus","Sillago_ciliata","Sillago_japonica","Sillago_maculata","Solea_solea","Sphyraena_borealis","Sphyraena_obtusata","Spinachia_spinachia","Sprattus_sprattus","Stephanolepis_hispidus","Stigmatopora_argus","Strongylura_exilis","Strongylura_marina","Symphodus_melops","Symphodus_ocellatus","Syngnathidae_sp","Syngnathidae_sp.","Syngnathus_acus","Syngnathus_floridae","Syngnathus_leptorhynchus","Syngnathus_sp","Syngnathus_typhle","Synodus_foetens","Synodus_myops","Takifugu_niphobles","Taurulus_bubalis","Tetractenos_glaber","Tetractenos_hamiltoni","Torquiginer_sp.","Umbrina_roncador","Unknown_goby_sp","unknown_unknown","Upeneus_tragula","Urocampus_carinirostris","Urophycis_regia","Xiphister_atropurpureus","Zosterisessor_ophiocephalus"
"Aransas Pass_Seagrass_20160823","Aransas Pass","Aransas Pass","Aransas Pass_Seagrass",27.8911167,-97.1116167,"vegetated",260,2.41664050733828,11,1.04139268515823,93,0,167,0,1.9731278535997,0,2.22530928172586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aransas Pass_Seagrass_20160902","Aransas Pass","Aransas Pass","Aransas Pass_Seagrass",27.8911167,-97.1116167,"vegetated",88,1.94939000664491,9,0.954242509439325,83,0,5,0,1.92427928606188,0,0.778151250383644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aransas Pass_Seagrass_20160909","Aransas Pass","Aransas Pass","Aransas Pass_Seagrass",27.8911167,-97.1116167,"vegetated",502,2.70156798505593,10,1,113,0,389,0,2.05690485133647,0,2.5910646070265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aransas Pass_Unveg_20160823","Aransas Pass","Aransas Pass","Aransas Pass_Unveg",27.8912833,-97.1112167,"unvegetated",68,1.83884909073726,9,0.954242509439325,19,0,49,0,1.30102999566398,0,1.69897000433602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aransas Pass_Unveg_20160902","Aransas Pass","Aransas Pass","Aransas Pass_Unveg",27.8912833,-97.1112167,"unvegetated",101,2.00860017176192,7,0.845098040014257,101,0,0,0,2.00860017176192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aransas Pass_Unveg_20160909","Aransas Pass","Aransas Pass","Aransas Pass_Unveg",27.8912833,-97.1112167,"unvegetated",108,2.03742649794062,8,0.903089986991944,69,0,39,0,1.84509804001426,0,1.60205999132796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bowen_Seagrass_20161202","Bowen","Bowen","Bowen_Seagrass",-20.01734,148.25191,"vegetated",203,2.3096301674259,10,1,141,62,0,0,2.15228834438306,1.79934054945358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,57,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bowen_Seagrass_20161203","Bowen","Bowen","Bowen_Seagrass",-20.01734,148.25191,"vegetated",215,2.33445375115093,8,0.903089986991944,71,143,0,1,1.85733249643127,2.15836249209525,0,0.301029995663981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,141,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bowen_Seagrass_20161204","Bowen","Bowen","Bowen_Seagrass",-20.01734,148.25191,"vegetated",294,2.46982201597816,12,1.07918124604762,128,166,0,0,2.11058971029925,2.22271647114758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,148,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Bowen_unveg_20161202","Bowen","Bowen","Bowen_unveg",-20.02034,148.24826,"unvegetated",36,1.56820172406699,5,0.698970004336019,33,0,3,0,1.53147891704226,0,0.602059991327962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
