"Country","sciname","Abundance","FeedingType","Trophic.group","Water.column","Diel.Activity","Habitat","Trophic.Level","genus.x","species.x","sciname2","class","family","genus.y","infraclass","infraorder","kingdom","order","phylum","species.y","subclass","subfamily","suborder","subphylum","superclass","superfamily","superkingdom","superorder","tribe"
"Italy","Serranus scriba",11,"hunting macrofauna (predator)",NA,NA,NA,NA,3.82,"Serranus","scriba","Serranus scriba","Actinopteri","Serranidae","Serranus","Teleostei",NA,"Metazoa","Perciformes","Chordata","Serranus scriba","Neopterygii","Serraninae","Serranoidei","Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Italy","Solea sp.",3,NA,NA,NA,NA,NA,NA,"Solea","","Solea ","Actinopteri","Soleidae","Solea","Teleostei",NA,"Metazoa","Pleuronectiformes","Chordata",NA,"Neopterygii",NA,"Pleuronectoidei","Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Italy","Sparus aurata",2,"hunting macrofauna (predator)",NA,NA,NA,NA,3.7,"Sparus","aurata","Sparus aurata","Actinopteri","Sparidae","Sparus","Teleostei",NA,"Metazoa","Spariformes","Chordata","Sparus aurata","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Italy","Spondyliosoma cantharus",14,"variable",NA,NA,NA,NA,3.34,"Spondyliosoma","cantharus","Spondyliosoma cantharus","Actinopteri","Sparidae","Spondyliosoma","Teleostei",NA,"Metazoa","Spariformes","Chordata","Spondyliosoma cantharus","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Italy","Symphodus ocellatus",2,"variable",NA,NA,NA,NA,3.48,"Symphodus","ocellatus","Symphodus ocellatus","Actinopteri","Labridae","Symphodus","Teleostei",NA,"Metazoa","Labriformes","Chordata","Symphodus ocellatus","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Italy","Symphodus tinca",2,"hunting macrofauna (predator)",NA,NA,NA,NA,3.25,"Symphodus","tinca","Symphodus tinca","Actinopteri","Labridae","Symphodus","Teleostei",NA,"Metazoa","Labriformes","Chordata","Symphodus tinca","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Abudefduf saxatilis",1,"variable",NA,NA,NA,NA,3.82,"Abudefduf","saxatilis","Abudefduf saxatilis","Actinopteri","Pomacentridae","Abudefduf","Teleostei",NA,"Metazoa",NA,"Chordata","Abudefduf saxatilis","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Acanthurus coeruleus",3,"browsing on substrate","Browsing herbivore","Demersal","Day","coral",2,"Acanthurus","coeruleus","Acanthurus coeruleus","Actinopteri","Acanthuridae","Acanthurus","Teleostei",NA,"Metazoa","Acanthuriformes","Chordata","Acanthurus coeruleus","Neopterygii","Acanthurinae",NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Mexico (ICML)","Alters scriptus",1,NA,NA,NA,NA,NA,NA,"Alters","scriptus","Alters scriptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico (ICML)","Anisotremus virginicus",3,"hunting macrofauna (predator)",NA,NA,NA,NA,3.59,"Anisotremus","virginicus","Anisotremus virginicus","Actinopteri","Haemulidae","Anisotremus","Teleostei",NA,"Metazoa","Lutjaniformes","Chordata","Anisotremus virginicus","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
