"","x"
"1",52.9666666666667
"2",52.9666666666667
"3",52.8916666666667
"4",52.8916666666667
"5",52.7
"6",52.7
"7",108.43137254902
"8",107.238095238095
"9",113.881944444444
"10",135.361111111111
"11",135.361111111111
"12",135.361111111111
"13",135.361111111111
"14",135.361111111111
"15",135.361111111111
"16",135.361111111111
"17",135.361111111111
"18",135.361111111111
"19",135.361111111111
"20",135.361111111111
"21",135.361111111111
"22",8.90972222222222
"23",8.90972222222222
"24",8.91666666666667
"25",8.90972222222222
"26",8.90972222222222
"27",121.007575757576
"28",121.007575757576
"29",121.007575757576
"30",121.007575757576
"31",121.007575757576
"32",121.007575757576
"33",121.007575757576
"34",121.007575757576
"35",143.035714285714
"36",103.037878787879
"37",168.78125
"38",164.130952380952
"39",164.130952380952
"40",81.0075757575758
"41",81.0075757575758
"42",NA
"43",NA
"44",NA
"45",NA
"46",245.534722222222
"47",245.534722222222
"48",185.566666666667
"49",185.566666666667
"50",104.260416666667
"51",104.260416666667
"52",104.260416666667
"53",104.260416666667
"54",93.1851851851852
"55",93.1851851851852
"56",NA
"57",NA
"58",NA
"59",NA
"60",62.1666666666667
"61",62.1666666666667
"62",62.1666666666667
"63",NA
"64",NA
"65",NA
"66",109.433333333333
"67",109.434523809524
"68",63.6845238095238
"69",63.6845238095238
"70",63.6845238095238
"71",63.6845238095238
"72",64.198717948718
"73",64.198717948718
"74",64.0763888888889
"75",64.0763888888889
"76",70.9444444444444
"77",70.9444444444444
"78",26.0448717948718
"79",26.0448717948718
"80",26.0448717948718
"81",26.0448717948718
"82",22.3409090909091
"83",22.4930555555556
"84",22.4930555555556
"85",117.461538461538
"86",117.461538461538
"87",116.071428571429
"88",141.607142857143
"89",141.607142857143
"90",141.607142857143
"91",36.9761904761905
"92",36.9761904761905
"93",36.9761904761905
"94",36.9761904761905
"95",36.9761904761905
"96",36.9761904761905
"97",36.9761904761905
"98",36.9761904761905
"99",37.2307692307692
"100",37.2307692307692
"101",37.8958333333333
"102",37.8958333333333
"103",93.0059523809524
"104",85.5138888888889
"105",85.5138888888889
"106",85.5138888888889
"107",85.5138888888889
"108",85.4393939393939
"109",85.4393939393939
"110",91.640350877193
"111",95.2666666666667
"112",94.7916666666667
"113",94.7916666666667
"114",94.7916666666667
"115",94.7916666666667
"116",94.7916666666667
"117",94.7916666666667
"118",94.7916666666667
"119",94.7916666666667
"120",94.7916666666667
"121",94.7916666666667
"122",59.6458333333333
"123",59.6458333333333
"124",59.6458333333333
"125",59.6458333333333
"126",135.657407407407
"127",135.657407407407
"128",135.657407407407
"129",58.5043859649123
"130",84.2125
"131",84.25
"132",84.2125
"133",84.25
"134",84.25
"135",84.25
"136",84.25
"137",84.25
"138",85.4642857142857
"139",85.4642857142857
"140",85.4642857142857
"141",85.4583333333333
"142",85.4583333333333
"143",85.4603174603175
"144",85.4583333333333
"145",85.344696969697
"146",85.344696969697
"147",50.2628205128205
"148",78.8888888888889
"149",78.8888888888889
"150",78.8214285714286
"151",248.059523809524
"152",248.059523809524
"153",248.059523809524
"154",248.671875
"155",248.671875
"156",248.671875
"157",78.8489583333333
"158",79.0238095238095
"159",79.0238095238095
"160",79.0238095238095
"161",86.1507936507936
"162",86.2324561403509
"163",105.708333333333
"164",105.708333333333
"165",90.6875
