Lat,Long,Institution,Site.Name,Seagrass.Unveg,
35.350758,-120.844688,NA,Windy Cove,Seagrass,
36.809236,-121.783232,Duke University/UC Santa Cruz,Elkhorn Slough,Unveg,
36.810708,-121.782105,Duke University/UC Santa Cruz,Elkhorn Slough,Seagrass,
37.215796,-76.392675,VIMS,Goodwin Island,Seagrass,
37.68154,-75.86672,VIMS-ESL,NA,NA,no seine
37.68175,-75.86651,VIMS-ESL,NA,NA,
37.68199,-75.86617,VIMS-ESL,NA,NA,
37.68225,-75.86633,VIMS-ESL,NA,NA,
37.68751,-75.86738,VIMS-ESL,NA,NA,
37.68882,-75.86724,VIMS-ESL,NA,NA,
38.472539,-75.9491,University of Delaware,"UD Lewes, DE",Unveg,only seine in unveg
40.7127837,-74.0059413,"CNRS, MARBEC laboratory",NA,NA,"no seine, bad GPS"
42.41978,-70.91522,Northeastern University,NA,NA,
42.41986,-70.91506,Northeastern University,NA,NA,
42.42026,-70.91574,Northeastern University,Dorothy Cove,Seagrass,
42.42035,-70.91564,NA,Dorothy Cove,Seagrass,
42.42044,-70.91594,Northeastern University,Dorothy Cove,Unveg,
42.42046,-70.91641,Northeastern University,NA,NA,
42.42047,-70.91578,NA,Dorothy Cove,Unveg,
42.42049,-70.91531,NA,Dorothy Cove,Unveg,
42.42057,-70.91625,Northeastern University,NA,NA,
42.42059,-70.91541,NA,Dorothy Cove,Seagrass,
43.06711,9.831426,Department of Biology - University of Pisa,NA,NA,no seine
43.067767,9.83136,Department of Biology - University of Pisa,NA,NA,
43.06781,9.831083,Department of Biology - University of Pisa,NA,NA,
43.068,9.831061,Department of Biology - University of Pisa,NA,NA,
43.315013,-124.320361,"Oregon Institute of Marine Biology, University of Oregon",OIMB-Valino-SSNERR,Seagrass,
43.315383,-124.320926,"Oregon Institute of Marine Biology, University of Oregon",OIMB-Valino-SSNERR,Unveg,
43.315383,-124.320926,Oregon Institute of Marine Biology; University of Oregon,OIMB-Valino-SSNERR,Unveg,
44.20182,15.47361,NA,CR-B-SvetiDuh,Unveg,
