"Country","Site.Name","Distance","Date","Time","Lat","Long","habitat","Total","TotalFish","Total.std","TotalFish.std","ENSPIE","ENSPIEfish","biomass","biomass.std"
"Australia (VIC)","Edwards Point",20,20170223,1300,-38.19355,144.7113,"Seagrass",24,20,1.2,1,2.23255813953488,1.65289256198347,0.080274470555611,0.00401372352778055
"Australia (VIC)","Edwards Point",20,20170223,1300,-38.19355,144.7113,"Unveg",24,24,1.2,1.2,1.08679245283019,1.08679245283019,0.00781285958342191,0.000390642979171096
"Australia (VIC)","Edwards Point",20,20170224,1420,-38.19355,144.7113,"Seagrass",50,29,2.5,1.45,2.22816399286988,1.23494860499266,0.0562627204941845,0.00281313602470922
"Australia (VIC)","Edwards Point",20,20170224,1420,-38.19355,144.7113,"Unveg",8,8,0.4,0.4,1,1,0.00191071917950398,9.55359589751989e-05
"Australia (VIC)","Edwards Point",20,20170225,1420,-38.19355,144.7113,"Seagrass",2,1,0.1,0.05,2,1,0.0588292428,0.00294146214
"Australia (VIC)","Edwards Point",20,20170225,1420,-38.19355,144.7113,"Unveg",7,2,0.35,0.1,1.68965517241379,1,0.000347563594668094,1.73781797334047e-05
"Australia (VIC)","St. Leonards",20,20170224,1045,-38.18015,144.7156,"Seagrass",43,43,2.15,2.15,1.1491609695463,1.1491609695463,0.0931791295331378,0.00465895647665689
"Australia (VIC)","St. Leonards",20,20170224,1045,-38.18015,144.7156,"Unveg",48,48,2.4,2.4,1.04253393665158,1.04253393665158,0.0166443690358721,0.000832218451793607
"Australia (VIC)","St. Leonards",20,20170225,1040,-38.18015,144.7156,"Seagrass",12,11,0.6,0.55,2.05714285714286,1.7536231884058,0.033767949200089,0.00168839746000445
"Australia (VIC)","St. Leonards",20,20170225,1040,-38.18015,144.7156,"Unveg",25,18,1.25,0.9,1.67560321715818,1,0.00560096707917723,0.000280048353958861
"Australia (VIC)","Indented Head",20,20170223,1700,-38.15277,144.71692,"Seagrass",38,35,1.9,1.75,3.02092050209205,2.61194029850746,0.495248175435757,0.0247624087717878
"Australia (VIC)","Indented Head",20,20170223,1700,-38.15277,144.71692,"Unveg",26,26,1.3,1.3,1,1,0.0245518429089573,0.00122759214544786
"Australia (VIC)","Indented Head",20,20170224,1700,-38.15277,144.71692,"Seagrass",7,7,0.35,0.35,1,1,0.0517709113680217,0.00258854556840108
"Australia (VIC)","Indented Head",20,20170224,1700,-38.15277,144.71692,"Unveg",1,1,0.05,0.05,1,1,0.00197358490928327,9.86792454641634e-05
"Australia (VIC)","Indented Head",20,20170225,1530,-38.15277,144.71692,"Seagrass",7,7,0.35,0.35,1.68965517241379,1.68965517241379,0.0127468105267322,0.00063734052633661
"Australia (VIC)","Indented Head",20,20170225,1530,-38.15277,144.71692,"Unveg",40,40,2,2,1,1,0.0123162875338153,0.000615814376690764
"Australia (NSW)","Smiths_Lake_NSW",21,20161208,940,-32.380278,152.508889,"Seagrass",38,38,1.80952380952381,1.80952380952381,2.45578231292517,2.45578231292517,0.26771012813888,0.0127481013399467
"Australia (NSW)","Smiths_Lake_NSW",27.7,20161208,910,-32.380278,152.508889,"Unveg",30,30,1.08303249097473,1.08303249097473,2.30769230769231,2.30769230769231,0.218148685156307,0.00787540379625656
"Australia (NSW)","Smiths_Lake_NSW",19,20161210,830,-32.380278,152.508889,"Seagrass",33,33,1.73684210526316,1.73684210526316,3.84805653710247,3.84805653710247,0.364457995740581,0.0191819997758201
"Australia (NSW)","Smiths_Lake_NSW",23,20161210,915,-32.380278,152.508889,"Unveg",26,26,1.1304347826087,1.1304347826087,3.21904761904762,3.21904761904762,0.15850643274202,0.00689158403226175
"Australia (NSW)","Smiths_Lake_NSW",25,20161211,930,-32.380278,152.508889,"Seagrass",82,82,3.28,3.28,4.14039408866995,4.14039408866995,0.475398015550327,0.0190159206220131
"Australia (NSW)","Smiths_Lake_NSW",25,20161211,930,-32.380278,152.508889,"Unveg",29,29,1.16,1.16,2.51044776119403,2.51044776119403,0.328276165289666,0.0131310466115866
"Australia (NSW2)","Urunga Lagoon 1",25,20170222,1455,-30.50648,153.02373,"Seagrass",73,71,2.92,2.84,2.34861172322609,2.22560706401766,0.399026956183366,0.0159610782473346
"Australia (NSW2)","Urunga Lagoon 2",25,20170222,1350,-30.5042,153.02395,"Unveg",15,14,0.6,0.56,1.51006711409396,1.32432432432432,0.234751577784134,0.00939006311136538
"Chile","Puerto Aldea (Chile)",25,20170308,1203,-30.298295,-71.605056,"Unveg",31,0,1.24,0,1.94929006085193,NA,0,0
"Chile","Puerto Aldea (Chile)",25,20170309,1125,-30.298295,-71.605056,"Unveg",4,0,0.16,0,1.6,NA,0,0
"Chile","Puerto Aldea (Chile)",25,20170308,1130,-30.298258,-71.605429,"Unveg",5,0,0.2,0,2.77777777777778,NA,0,0
"Chile","Puerto Aldea (Chile)",27,20170309,1100,-30.298258,-71.605429,"Unveg",8,0,0.296296296296296,0,2.46153846153846,NA,0,0
"Chile","Puerto Aldea (Chile)",28,20170310,1140,-30.298258,-71.605429,"Unveg",8,1,0.285714285714286,0.0357142857142857,1.28,1,0.0245850336427703,0.000878036915813224
