"AICc","dAICc","df","weight","model"
" 84.1","  0.0","7","0.4894","m01"
" 88.1","  4.0","6","0.0673","m65"
" 89.2","  5.1","7","0.0388","m69"
" 89.2","  5.1","7","0.0380","m67"
" 89.6","  5.5","7","0.0316","m71"
" 89.7","  5.6","7","0.0296","m66"
" 89.9","  5.8","6","0.0276","m09"
" 89.9","  5.8","6","0.0276","m00"
" 89.9","  5.8","7","0.0275","m15"
" 90.1","  6.0","7","0.0249","m68"
" 90.2","  6.1","7","0.0229","m17"
" 90.3","  6.1","7","0.0226","m72"
" 90.8","  6.7","7","0.0171","m16"
" 91.2","  7.1","7","0.0143","m12"
" 91.2","  7.1","6","0.0142","m76"
" 91.4","  7.2","7","0.0132","m13"
" 91.6","  7.4","7","0.0118","m10"
" 91.9","  7.7","6","0.0102","m79"
" 91.9","  7.8","5","0.0100","m73"
" 92.0","  7.8","7","0.0097","m11"
" 92.8","  8.7","6","0.0064","m74"
" 93.0","  8.9","6","0.0058","m77"
" 93.0","  8.9","6","0.0057","m80"
" 93.3","  9.2","7","0.0050","m28"
" 93.7","  9.6","7","0.0041","m31"
" 94.0","  9.8","6","0.0036","m75"
" 94.0","  9.9","6","0.0034","m25"
" 94.7"," 10.6","4","0.0025","m46"
" 94.9"," 10.7","7","0.0023","m29"
" 95.0"," 10.8","7","0.0022","m26"
" 95.2"," 11.1","7","0.0019","m32"
" 96.1"," 12.0","7","0.0012","m27"
" 97.3"," 13.2","4","<0.001","m33"
" 97.5"," 13.4","4","<0.001","m49"
" 98.1"," 14.0","5","<0.001","m37"
" 98.5"," 14.3","3","<0.001","m57"
" 98.6"," 14.5","3","<0.001","m41"
" 98.7"," 14.6","5","<0.001","m36"
" 98.8"," 14.7","5","<0.001","m39"
" 99.0"," 14.9","5","<0.001","m40"
" 99.1"," 15.0","5","<0.001","m35"
" 99.2"," 15.0","4","<0.001","m42"
" 99.3"," 15.1","4","<0.001","m58"
" 99.3"," 15.2","4","<0.001","m64"
" 99.3"," 15.2","5","<0.001","m56"
" 99.4"," 15.2","5","<0.001","m34"
" 99.4"," 15.2","4","<0.001","m48"
" 99.5"," 15.4","5","<0.001","m53"
" 99.6"," 15.4","5","<0.001","m55"
" 99.6"," 15.5","5","<0.001","m50"
" 99.6"," 15.5","5","<0.001","m52"
" 99.6"," 15.5","5","<0.001","m51"
" 99.7"," 15.6","4","<0.001","m43"
" 99.8"," 15.7","4","<0.001","m45"
" 99.9"," 15.7","4","<0.001","m60"
"100.2"," 16.1","4","<0.001","m63"
"100.3"," 16.2","4","<0.001","m59"
"100.4"," 16.3","4","<0.001","m61"
"100.5"," 16.4","4","<0.001","m44"
"100.5"," 16.4","4","<0.001","m47"
"110.7"," 26.6","2","<0.001","m0"
"111.2"," 27.1","4","<0.001","m83"
"111.4"," 27.3","3","<0.001","m81"
"111.9"," 27.8","4","<0.001","m85"
"112.2"," 28.0","4","<0.001","m84"
"113.1"," 29.0","4","<0.001","m88"
"113.4"," 29.2","4","<0.001","m82"
"113.5"," 29.4","4","<0.001","m87"
