"Country","meanLat","meanLong","calcite","chlomax","chlomean","chlomin","chlorange","cloudmax","cloudmean","cloudmin","dissox","nitrate","parmax","parmean","ph","phosphate","salinity","silicate","sstmax","sstmean","sstmin","sstrange","hemi"
"Australia (NSW)",-32.380278,152.508889,0.00029025,3.17225,1.0595,0.4295,2.74275,0.63025,0.49225,0.3695,5.18475,0.57975,56.80825,38.8475,8.3195,0.17265,35.40525,1.963,24.774,21.149,17.64175,7.13225,"South"
"Australia (NSW1.1)",-35.09903,150.57948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South"
"Australia (NSW1.2)",-33.84018,151.25313,0.000235333333333333,0.723666666666667,0.511,0.38,0.3436667,0.669666666666667,0.537333333333333,0.428,5.296,0.541333333333333,55.4023333333333,37.9133333333333,8.31233333333333,0.192966666666667,35.511,1.41366666666667,23.0616666666667,20.0366666666667,16.841,6.22066666666667,"South"
"Australia (NSW2)",-30.505112,153.023764,0.000927,8.8505,1.837,0.6695,8.181,0.619,0.48,0.3435,5.0955,0.462,56.5135,40.444,8.3275,0.1978,35.4085,3.564,25.341,22.211,19.5295,5.8115,"South"
"Australia (QLD)",-20.01884,148.250085,0.008082,3.19425,1.091,0.6895,2.50475,0.74225,0.4655,0.305,4.58625,0.55675,59.03275,44.84775,8.46175,0.138575,35.10375,1.6225,29.64825,25.9475,21.8185,7.82975,"South"
"Australia (QLD2)",-21.3030885,149.47775875,0.00389933333333333,0.807333333333333,0.612333333333333,0.449666666666667,0.357666666666667,0.768,0.546666666666667,0.393,4.68333333333333,0.473333333333333,56.351,43.1373333333333,8.452,0.175633333333333,35.1443333333333,2.08833333333333,28.7066666666667,25.055,20.4433333333333,8.26333333333333,"South"
"Australia (QLD3)",-27.494748,153.397061375,0.00524,4.4335,2.653,1.79375,2.63975,0.62225,0.49075,0.36675,5.15075,0.37075,57.3565,41.008,8.347,0.374575,35.247,6.42475,27.7995,23.57525,19.50425,8.29525,"South"
"Australia (VIC)",-38.1754906666667,144.714605666667,0.00341616666666667,2.929,2.29066666666667,1.6865,1.24250001666667,0.6775,0.605666666666667,0.540833333333333,5.68066666666667,0.3995,54.1528333333333,34.3723333333333,8.2595,0.1182,35.6243333333333,0.686,21.0485,16.135,11.4205,9.628,"South"
"Belize",16.80254722,-88.08194444,0.0033955,1.26525,0.87225,0.5185,0.74675,0.8025,0.65825,0.50475,4.72025,1.3355,51.87775,42.54075,8.057,0.0858,36.1135,2.476,30.51925,28.51375,26.52425,3.995,"North"
"Brazil",-23.7708733333333,-45.3544866666667,0.00384025,2.458,1.81425,1.0765,1.3815,0.8115,0.5715,0.379,5.12725,1.66125,50.89275,37.908,8.05675,0.2532,35.56625,5.02,27.9135,24.6235,21.595,6.3185,"South"
