"Country","meanLat","meanLong","calcite","chlomax","chlomean","chlomin","chlorange","cloudmax","cloudmean","cloudmin","damax","damean","damin","dissox","nitrate","parmax","parmean","ph","phos","phosphate","salinity","silicate","sstmax","sstmean","sstmin","sstrange","hemi","Site","basin","coast","Scold","Swarm"
"Australia (NSW)",-32.380278,152.508889,0.000290249998215586,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,0.177249997854233,0.104499999433756,0.0697500016540289,5.18474996089935,0.579750001430511,56.8082494735718,38.8474998474121,8.31949996948242,0.172649998217821,0.172649998217821,35.4052495956421,1.96299999952316,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,"South","NSW2","Pacific","West",0,4
"Australia (NSW1.1)",-35.09903,150.57948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South","NSW4","Pacific","West",1,1
"Australia (NSW1.2)",-33.84018,151.25313,0.000235333330541228,0.723666667938232,0.510999997456869,0.379999995231628,0.343666702508926,0.669666667779287,0.537333329518636,0.428000003099442,0.0893333330750465,0.0760000000397364,0.0646666660904884,5.2960000038147,0.541333317756653,55.402333577474,37.9133338928223,8.31233342488607,0.192966664830844,0.192966664830844,35.5110003153483,1.41366668542226,23.0616671244303,20.0366668701172,16.8409996032715,6.22066672643026,"South","NSW3","Pacific","West",NA,NA
"Australia (NSW2)",-30.505112,153.023764,0.000927000015508384,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,0.262000001966953,0.134500000625849,0.0910000018775463,5.09549999237061,0.461999997496605,56.513500213623,40.4440002441406,8.3274998664856,0.197800002992153,0.197800002992153,35.4084987640381,3.56400001049042,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,"South","NSW1","Pacific","West",0,6
"Australia (QLD)",-20.01884,148.250085,0.00808200018946081,3.19425004720688,1.09100000560284,0.689500004053116,2.50475001335144,0.742249995470047,0.465499997138977,0.304999999701977,0.214499998837709,0.124749997630715,0.0992500018328428,4.58624994754791,0.556749999523163,59.0327501296997,44.847749710083,8.46175003051758,0.138574998825788,0.138574998825788,35.1037502288818,1.62250003218651,29.6482501029968,25.9474997520447,21.8185000419617,7.82975006103516,"South","QLD2","Pacific","West",0,3
"Australia (QLD2)",-25.850707,152.9822625,0.00214299998090913,3.47500002384186,2.27433335781097,1.55999999245008,1.91500004132589,0.662000000476837,0.526666661103567,0.387333333492279,0.176666664580504,0.144333330293496,0.118333332240582,5.08766667048136,0.340333332618078,57.3366673787435,41.0836664835612,8.36900011698405,0.36993333697319,0.36993333697319,35.1770006815592,5.79033342997233,28.9769999186198,24.6019999186198,20.4629999796549,8.51400009791056,"South","QLD3","Pacific","West",0,19
"Australia (QLD3)",-27.494748,153.397061375,0.00523999985307455,4.43349999189377,2.65299999713898,1.79374996572733,2.63974994421005,0.622249990701675,0.49074999243021,0.366749994456768,0.221250001341105,0.176750002428889,0.146249996498227,5.150750041008,0.370750002563,57.3565006256104,41.0080003738403,8.34699988365173,0.37457500398159,0.37457500398159,35.2470006942749,6.42475008964539,27.7994995117188,23.5752501487732,19.5042500495911,8.29524993896484,"South","QLD4","Pacific","West",0,8
"Australia (QLD4)",-16.75547,145.973255,0.00642724982753862,1.83499999344349,0.727250002324581,0.368250001221895,1.46674999594688,0.871500000357628,0.637249991297722,0.495749995112419,0.133250003680587,0.085750000551343,0.0622499994933605,4.69549989700317,0.672000005841255,55.6134996414185,44.1529998779297,8.44024968147278,0.116949999704957,0.116949999704957,35.0219993591309,1.74750000238419,30.0440001487732,26.7797503471375,23.6384997367859,6.40550005435944,"South","QLD1","Pacific","West",NA,NA
"Australia (VIC)",-38.1754906666667,144.714605666667,0.00341616664081812,2.92899998029073,2.2906667192777,1.6865000128746,1.24250001708666,0.677499999602636,0.605666657288869,0.540833324193954,0.204000001152356,0.180666665236155,0.156333334743977,5.68066668510437,0.399499997496605,54.1528339385986,34.3723328908285,8.25950002670288,0.118200000375509,0.118200000375509,35.6243330637614,0.686000009377797,21.0485000610352,16.1350005467733,11.4204998016357,9.6280001004537,"South","VIC","Pacific","West",0,6
"Belize",16.80254722,-88.08194444,0.00339550003263867,1.26524996012449,0.872249994426966,0.518499992787838,0.746750012040138,0.802499994635582,0.658250004053116,0.504749998450279,0.128750003874302,0.0982500016689301,0.0769999995827675,4.72024989128113,1.33550000190735,51.8777503967285,42.54075050354,8.05699968338013,0.0858000013977289,0.0858000013977289,36.1134996414185,2.4760000705719,30.5192499160767,28.5137500762939,26.5242500305176,3.99500000476837,"North","Belize","Atlantic","West",NA,NA
"Brazil",-23.7708733333333,-45.3544866666667,0.00384024996310472,2.45800000429153,1.81425002217293,1.07649999856949,1.38150000572205,0.811500012874603,0.57150000333786,0.37899999320507,0.190999999642372,0.162749998271465,0.120000001043081,5.12725007534027,1.66125002503395,50.892749786377,37.9079990386963,8.05674982070923,0.253200009465218,0.253200009465218,35.5662498474121,5.01999998092651,27.9135003089905,24.6234998703003,21.5949997901917,6.31849992275238,"South","Brazil","Atlantic","West",0,5
"Canada (BC)",51.6788933333333,-128.118861,0.000282666667771991,21.0250002543132,10.4198333422343,4.45066654682159,16.5743335088094,0.825666656096776,0.765999992688497,0.684166669845581,0.417000000675519,0.30466666072607,0.223833332459132,6.96150000890096,4.75933329264323,44.1706663767497,29.0873336791992,8.14500045776367,0.922633349895477,0.922633349895477,30.3420000076294,14.5529999732971,14.3164998690287,9.53099981943766,6.00733327865601,8.30916666984558,"North","BC","Atlantic","East",6,0
"Canada (QC)",49.0885025,-68.3224425,0.00327500000130385,39.8818004608154,16.5746002197266,2.19420001506805,37.6876007080078,0.793999993801117,0.67940000295639,0.603200006484985,0.619199991226196,0.37940000295639,0.175599998235703,7.56800003051758,5.103600025177,47.8783996582031,35.2966003417969,7.70640001296997,0.90291999578476,0.90291999578476,26.8720001220703,13.6593999862671,14.0512001037598,5.31999998092651,-0.807399988174438,14.8585998535156,"North","QC","Atlantic","West",2,0
"Chile",-30.2959268,-71.6067784,0.000288749997707782,5.48675006628036,2.54075002670288,0.676500007510185,4.81025004386902,0.72825001180172,0.639249995350838,0.576749995350838,0.225250001996756,0.153499998152256,0.0924999993294477,5.57124996185303,3.36474996805191,58.5347490310669,38.9487495422363,8.22200012207031,0.605625003576279,0.605625003576279,34.4292497634888,3.76550000905991,17.8712496757507,15.1050000190735,13.2347500324249,4.63650000095367,"South","Chile","Pacific","East",4,2
