CAP1,MDS1,family,dir,angle
0.0023191708470484914,-0.21389226672449632,Portunidae,-90.6212169174959,359.37878308250413
0.006687533591080866,-0.21805244872649018,Lutjanidae,-91.75667543726871,358.2433245627313
0.009658627114586118,-0.10968844767392802,Sciaenidae,-95.03220624505447,354.96779375494555
0.03225193972600122,-0.23287213512915111,Labridae,-97.88509609934285,352.11490390065717
0.008598294292851034,-0.05984475115804325,Blenniidae,-98.17611314903942,351.82388685096055
0.007673247099679885,-0.028806333738091407,Platycephalidae,-104.91573985705843,345.08426014294156
0.031754003148389366,-0.10751723127257348,Fundulidae,-106.45391193319573,343.54608806680426
0.02265304713174586,-0.05221012607532068,Acanthuridae,-113.45516617968667,336.54483382031333
0.030994802538853394,-0.06372446120094725,Diodontidae,-115.93772458556867,334.0622754144313
0.06325896986663625,-0.12958474896622385,Sphyraenidae,-116.02009331992946,333.97990668007054
0.040543525557404175,-0.07678484760866873,Serranidae,-117.83471098295229,332.1652890170477
0.03675059588158636,-0.06134744363561672,Synodontidae,-120.92399860850384,329.07600139149616
0.24574797667413203,-0.34755962496379805,Gerreidae,-125.26287400779864,324.73712599220136
0.013984136685835024,-0.01898478714093082,Sepiidae,-126.3752478397543,323.6247521602457
0.035740334370910336,-0.039349770627335724,Pomacentridae,-132.24802080123877,317.7519791987612
0.08389249623814185,-0.048198248017514045,Lethrinidae,-150.12160090969007,299.8783990903099
0.08389249623814185,-0.048198248017514045,Siganidae,-150.12160090969007,299.8783990903099
0.09347380795756756,-0.05302551121369995,Penaeidae,-150.43476886558372,299.5652311344163
0.02998008017780697,-0.015400150116276712,Arripidae,-152.81136737070753,297.18863262929244
0.02998008017780697,-0.015400150116276712,Chaetodontidae,-152.81136737070753,297.18863262929244
0.02998008017780697,-0.015400150116276712,Echeneidae,-152.81136737070753,297.18863262929244
0.03087372950093355,-0.015537831834924517,Ariidae,-153.28524440745036,296.71475559254964
0.06669682850592007,-0.03122239525574783,Carcharhinidae,-154.91457166989457,295.0854283301054
0.06669682850592007,-0.03122239525574783,Nemipteridae,-154.91457166989457,295.0854283301054
0.0367167483281131,-0.015822245139471124,Caesionidae,-156.6874761114396,293.3125238885604
0.19262963983459708,-0.07050011204488019,Tetraodontidae,-159.89798699168372,290.10201300831625
0.12445803220054505,-0.0382614819453945,Haemulidae,-162.91127512298664,287.08872487701336
0.19033958387486155,-0.05452455994118591,Monacanthidae,-164.01514284800223,285.98485715199774
0.25430600205612397,-0.06899646412885939,Mugilidae,-164.82034293532206,285.17965706467794
0.016922052954803344,-0.0042915490996362415,Loliginidae,-165.76941946981253,284.23058053018747
0.28906794341586184,-0.07308306040924935,Hemiramphidae,-165.8116197637434,284.1883802362566
0.09246630323567184,-0.023035499935008908,Mullidae,-166.01104893127896,283.988951068721
0.04280935089023286,-0.010046810599592263,Palaemonidae,-166.79242920556555,283.20757079443445
0.22780009233695825,-0.04363508583306972,Sillaginidae,-169.15634845755596,280.84365154244404
0.023291323257020265,-0.0040881144124564174,Trichechidae,-170.044797604019,279.955202395981
0.4143210106942643,-0.06689054968357377,Sparidae,-170.82894891180936,279.17105108819067
0.07608723314445458,-0.01157900429588778,Batrachoididae,-171.34708116766504,278.652918832335
0.09468593305248457,-0.012545703705850694,Monodactylidae,-172.4523827087062,277.5476172912938
0.22683875059222727,-0.021561287340867232,Terapontidae,-174.57028223993373,275.4297177600663
0.23962316303781248,-0.019985584695377725,Ambassidae,-175.23232443561955,274.76767556438045
0.04980403556727759,-0.002961889691486176,Muraenidae,-176.59657833632158,273.4034216636784
0.024733429063889208,-3.246575786982155e-5,Fistulariidae,-179.92479207668737,270.07520792331263
0.05796918472437151,0.003276541433620425,Aulostomidae,176.76496297438695,266.76496297438695
0.05796918472437151,0.003276541433620425,Pseudomugilidae,176.76496297438695,266.76496297438695
0.05551613562352045,0.0032923123001284424,Eleotridae,176.60612318099865,266.6061231809987
0.1850467613449469,0.017050072411758085,Tetrarogidae,174.7356728842757,264.7356728842757
0.12433584187000563,0.017330324870828705,Atherinidae,172.06505441955616,262.0650544195562
0.06022769733897066,0.016198260744652034,Soleidae,164.94649342348106,254.94649342348106
0.10015269704507154,0.038176697855338344,Gobiidae,159.13390785592856,249.13390785592856
0.03166181868585687,0.017340650789920732,Kyphosidae,151.29121343183473,241.29121343183473
0.021859739945374452,0.05927960918243038,Callionymidae,110.2417792466892,200.2417792466892
0.007257111771504706,0.027309191332088083,Scyliorhinidae,104.88177243622445,194.88177243622445
-0.026026591944212963,0.07078170783293015,Varunidae,69.81141226165016,159.81141226165016
-0.06781984683638013,0.1528314370081037,Crangonidae,66.07046438168013,156.07046438168013
-0.06219616455248006,0.14006649200343452,Gadidae,66.05650937937494,156.05650937937494
-0.013723974757817656,0.03020755604308483,Osmeridae,65.5666293359054,155.56662933590542
-0.013939988539050043,0.02758483749509724,Liparidae,63.190263075549126,153.19026307554913
-0.013939988539050043,0.02758483749509724,Stichaeidae,63.190263075549126,153.19026307554913
-0.16472807515252835,0.32421421360542313,Pleuronectidae,63.065602100294235,153.06560210029423
-0.04215647699819091,0.08173063120430367,Agonidae,62.71541742595313,152.71541742595312
-0.09213301879993858,0.17806830335371834,Pholidae,62.642833161903404,152.6428331619034
-0.022410376655621973,0.04315975475638813,Hexagrammidae,62.55974506524035,152.55974506524035
-0.041799761248416625,0.08024445484833218,Aulorhynchidae,62.48475427217245,152.48475427217244
-0.048015027339440956,0.091362837507137,Ammodytidae,62.27617890079069,152.27617890079068
