Country,habitat,sciName,present,Site,rate,basin,coast,meanLat,meanLong,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,parmax,parmean,salinity,sstmax,sstmean,sstmin,sstrange,family,act,food,asp,tl,feed,troph,watercol,clim,body,snoutx,snouty,name
Australia (NSW),Seagrass,Philypnodon grandiceps,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Eleotridae,ambush,3.75,NaN,NaN,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated,NaN,NaN,Philgran
Australia (NSW),Seagrass,Sillago ciliata,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Sillaginidae,active,3.36,2.14581,570,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,38,229,Sillcili
Australia (NSW),Seagrass,Tetractenos glaber,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Tetraodontidae,active,NaN,NaN,NaN,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal;short and / or deep,NaN,NaN,Tetrglab
Australia (NSW),Unvegetated,Acanthopagrus australis,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Sparidae,active,3.1,1.50486,484,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,60,195,Acanaust
Australia (NSW),Unvegetated,Aldrichetta forsteri,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Mugilidae,active,2.51,1.99305,602,variable,omnivore,demersal,subtropical,fusiform / normal,NaN,NaN,Aldrfors
Australia (NSW),Unvegetated,Ambassis sp.,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Ambassidae,ambush,NA,NA,NA,selective plankton feeding,planktivore,demersal,subtropical,fusiform / normal,NA,NA,Ambasp
Australia (NSW),Unvegetated,Arenigobius bifrenatus,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Gobiidae,ambush,NaN,0.742595,593,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated,25,101,Arenbifr
Australia (NSW),Unvegetated,Atherinosoma microstoma,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Atherinidae,active,NaN,NaN,NaN,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,subtropical,elongated,NaN,NaN,Athemicr
Australia (NSW),Unvegetated,Centropogon australis,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Tetrarogidae,ambush,NaN,1.5289,541,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,NaN,NaN,Centaust
Australia (NSW),Unvegetated,Favonigobius exquisitus,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Gobiidae,ambush,NaN,NaN,NaN,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated;fusiform / normal,NaN,NaN,Favoexqu
Australia (NSW),Unvegetated,Gerres subfasciatus,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Gerreidae,active,NaN,NaN,NaN,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,NaN,NaN,Gerrsubf
Australia (NSW),Unvegetated,Helotes sexlineatus,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Terapontidae,active,2,1.49408,605,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,21,255,Helosexl
Australia (NSW),Unvegetated,Hyporhamphus australis,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Hemiramphidae,active,2.59,1.57256,595,variable,omnivore,pelagic site attached,subtropical,elongated,NaN,NaN,Hypoaust
Australia (NSW),Unvegetated,Liza argentea,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Mugilidae,active,NA,NA,NA,variable,omnivore,demersal,subtropical;tropical,fusiform / normal,NA,NA,Lizaarge
Australia (NSW),Unvegetated,Sillago ciliata,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Sillaginidae,active,3.36,2.14581,570,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,38,229,Sillcili
Australia (NSW),Unvegetated,Tetractenos glaber,1,NSW2,0.9999999999575793,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Tetraodontidae,active,NaN,NaN,NaN,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal;short and / or deep,NaN,NaN,Tetrglab
Australia (NSW2),Seagrass,Acanthopagrus australis,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Sparidae,active,3.1,1.50486,484,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,60,195,Acanaust
Australia (NSW2),Seagrass,Ambassis jacksoniensis,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Ambassidae,ambush,3.1,NaN,NaN,selective plankton feeding,planktivore,demersal,subtropical,fusiform / normal,NaN,NaN,Ambajack
Australia (NSW2),Seagrass,Arothron hispidus,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Tetraodontidae,active,3.0999999049999998,1.64032,581,browsing on substrate,benthic invertivore,demersal,tropical,short and / or deep,NaN,NaN,Arothisp
Australia (NSW2),Seagrass,Aulostomus chinensis,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Aulostomidae,ambush,4.24,1.05018,548,hunting macrofauna (predator),higher carnivore,pelagic site attached,tropical,elongated,42,110,Aulochin
Australia (NSW2),Seagrass,Centropogon australis,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Tetrarogidae,ambush,NaN,1.5289,541,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,NaN,NaN,Centaust
Australia (NSW2),Seagrass,Gerres subfasciatus,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Gerreidae,active,NaN,NaN,NaN,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,NaN,NaN,Gerrsubf
Australia (NSW2),Seagrass,Girella tricuspidata,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Kyphosidae,active,2.47,2.49898,595,grazing on aquatic plants,browsing herbivore,demersal,temperate,short and / or deep,NaN,NaN,Giretric
Australia (NSW2),Seagrass,Gobiidae sp.,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Gobiidae,ambush,NA,NA,NA,hunting macrofauna (predator),benthic invertivore,benthic,subtropical;temperate;tropical,elongated;fusiform / normal,NA,NA,Gobisp
Australia (NSW2),Seagrass,Helotes sexlineatus,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Terapontidae,active,2,1.49408,605,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,21,255,Helosexl
Australia (NSW2),Seagrass,Hyporhamphus regularis,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Hemiramphidae,active,3.04,NaN,NaN,variable,omnivore,pelagic site attached,subtropical,elongated;fusiform / normal,NaN,NaN,Hyporegu
Australia (NSW2),Seagrass,Liza argentea,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Mugilidae,active,NA,NA,NA,variable,omnivore,demersal,subtropical;tropical,fusiform / normal,NA,NA,Lizaarge
Australia (NSW2),Seagrass,Meuschenia trachylepis,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Monacanthidae,active,NaN,1.92223,596,grazing on aquatic plants,browsing herbivore,demersal,subtropical,short and / or deep,26,185,Meustrac
Australia (NSW2),Seagrass,Monodactylus argenteus,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Monodactylidae,active,2.95,3.32695,519,variable,planktivore,demersal,tropical,short and / or deep,15,230,Monoarge
Australia (NSW2),Seagrass,Palaemon sp.,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Palaemonidae,active,NA,NA,NA,browsing on substrate,scraping herbivore,benthic,polar;subtropical;temperate;tropical,shrimp,NA,NA,Palasp
Australia (NSW2),Seagrass,Pseudomugil signifer,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Pseudomugilidae,active,2.86,1.74125,453,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,124,195,Pseusign
Australia (NSW2),Seagrass,Saurida nebulosa,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Synodontidae,ambush,4.2,2.17212,610,hunting macrofauna (predator),higher carnivore,benthic,tropical,elongated,12,115,Saurnebu
Australia (NSW2),Seagrass,Sillago sp.,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Sillaginidae,active,NA,NA,NA,hunting macrofauna (predator),benthic invertivore,demersal,tropical,elongated;fusiform / normal,NA,NA,Sillsp
Australia (NSW2),Seagrass,Tetractenos hamiltoni,1,NSW1,0.979999999972368,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Tetraodontidae,active,NaN,NaN,NaN,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,subtropical,short and / or deep,NaN,NaN,Tetrhami
Australia (NSW2),Unvegetated,Gerres subfasciatus,1,NSW1,0.4611211142011349,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Gerreidae,active,NaN,NaN,NaN,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,NaN,NaN,Gerrsubf
Australia (NSW2),Unvegetated,Gobiidae sp.,1,NSW1,0.4611211142011349,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Gobiidae,ambush,NA,NA,NA,hunting macrofauna (predator),benthic invertivore,benthic,subtropical;temperate;tropical,elongated;fusiform / normal,NA,NA,Gobisp
Australia (NSW2),Unvegetated,Liza argentea,1,NSW1,0.4611211142011349,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Mugilidae,active,NA,NA,NA,variable,omnivore,demersal,subtropical;tropical,fusiform / normal,NA,NA,Lizaarge
Australia (NSW2),Unvegetated,Palaemon sp.,1,NSW1,0.4611211142011349,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Palaemonidae,active,NA,NA,NA,browsing on substrate,scraping herbivore,benthic,polar;subtropical;temperate;tropical,shrimp,NA,NA,Palasp
Australia (NSW2),Unvegetated,Pseudorhombus arsius,1,NSW1,0.4611211142011349,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Paralichthyidae,ambush,3.84,1.13649,552,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,tropical,short and / or deep,38,206,Pseuarsi
Australia (NSW2),Unvegetated,Sillago sp.,1,NSW1,0.4611211142011349,Pacific,West,-30.505112,153.023764,8.85049998760223,1.83700001239777,0.66949999332428,8.18099987506866,0.618999987840652,0.480000004172325,0.343500003218651,56.513500213623,40.4440002441406,35.4084987640381,25.3410005569458,22.2109994888306,19.5295000076294,5.81150007247925,Sillaginidae,active,NA,NA,NA,hunting macrofauna (predator),benthic invertivore,demersal,tropical,elongated;fusiform / normal,NA,NA,Sillsp
Australia (QLD),Seagrass,Epinephelus sp.,1,QLD2,0.08853453846133781,Pacific,West,-20.01884,148.250085,3.19425004720688,1.09100000560284,0.689500004053116,2.50475001335144,0.742249995470047,0.465499997138977,0.304999999701977,59.0327501296997,44.847749710083,35.1037502288818,29.6482501029968,25.9474997520447,21.8185000419617,7.82975006103516,Serranidae,ambush,NA,NA,NA,hunting macrofauna (predator),higher carnivore,demersal,subtropical;temperate;tropical,fusiform / normal,NA,NA,Epinsp
Australia (QLD),Seagrass,Gerres oyena,1,QLD2,0.08853453846133781,Pacific,West,-20.01884,148.250085,3.19425004720688,1.09100000560284,0.689500004053116,2.50475001335144,0.742249995470047,0.465499997138977,0.304999999701977,59.0327501296997,44.847749710083,35.1037502288818,29.6482501029968,25.9474997520447,21.8185000419617,7.82975006103516,Gerreidae,active,2.72,2.074055,603,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,NaN,NaN,Gerroyen
Australia (QLD),Seagrass,Gobiidae sp.,1,QLD2,0.08853453846133781,Pacific,West,-20.01884,148.250085,3.19425004720688,1.09100000560284,0.689500004053116,2.50475001335144,0.742249995470047,0.465499997138977,0.304999999701977,59.0327501296997,44.847749710083,35.1037502288818,29.6482501029968,25.9474997520447,21.8185000419617,7.82975006103516,Gobiidae,ambush,NA,NA,NA,hunting macrofauna (predator),benthic invertivore,benthic,subtropical;temperate;tropical,elongated;fusiform / normal,NA,NA,Gobisp
Australia (QLD),Seagrass,Lethrinus genivittatus,1,QLD2,0.08853453846133781,Pacific,West,-20.01884,148.250085,3.19425004720688,1.09100000560284,0.689500004053116,2.50475001335144,0.742249995470047,0.465499997138977,0.304999999701977,59.0327501296997,44.847749710083,35.1037502288818,29.6482501029968,25.9474997520447,21.8185000419617,7.82975006103516,Lethrinidae,active,3.61,1.84602,592,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,NaN,NaN,Lethgeni
Australia (QLD),Seagrass,Lutjanus russellii,1,QLD2,0.08853453846133781,Pacific,West,-20.01884,148.250085,3.19425004720688,1.09100000560284,0.689500004053116,2.50475001335144,0.742249995470047,0.465499997138977,0.304999999701977,59.0327501296997,44.847749710083,35.1037502288818,29.6482501029968,25.9474997520447,21.8185000419617,7.82975006103516,Lutjanidae,active,3.799999952,2.21158,590,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,18,184.5,Lutjruss
Australia (QLD),Seagrass,Pelates quadrilineatus,1,QLD2,0.08853453846133781,Pacific,West,-20.01884,148.250085,3.19425004720688,1.09100000560284,0.689500004053116,2.50475001335144,0.742249995470047,0.465499997138977,0.304999999701977,59.0327501296997,44.847749710083,35.1037502288818,29.6482501029968,25.9474997520447,21.8185000419617,7.82975006103516,Terapontidae,active,3.5,1.50466,584,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,27,215,Pelaquad
Australia (QLD),Seagrass,Platycephalidae sp.,1,QLD2,0.08853453846133781,Pacific,West,-20.01884,148.250085,3.19425004720688,1.09100000560284,0.689500004053116,2.50475001335144,0.742249995470047,0.465499997138977,0.304999999701977,59.0327501296997,44.847749710083,35.1037502288818,29.6482501029968,25.9474997520447,21.8185000419617,7.82975006103516,Platycephalidae,ambush,NA,NA,NA,hunting macrofauna (predator),higher carnivore,demersal,subtropical,fusiform / normal,NA,NA,Platsp
