Country,habitat,sciName,present,Site,rate,basin,coast,meanLat,meanLong,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,parmax,parmean,salinity,sstmax,sstmean,sstmin,sstrange,family,act,food,asp,tl,feed,troph,watercol,clim,body,snoutx,snouty,name
Australia (NSW),Seagrass,Acanthopagrus australis,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Sparidae,active,3.1,1.50486,484,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,60,195,Acanaust
Australia (NSW),Seagrass,Ambassis sp.,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Ambassidae,ambush,NA,NA,NA,selective plankton feeding,planktivore,demersal,subtropical,fusiform / normal,NA,NA,Ambasp
Australia (NSW),Seagrass,Arenigobius bifrenatus,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Gobiidae,ambush,NaN,0.742595,593,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated,25,101,Arenbifr
Australia (NSW),Seagrass,Atherinosoma microstoma,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Atherinidae,active,NaN,NaN,NaN,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,subtropical,elongated,NaN,NaN,Athemicr
Australia (NSW),Seagrass,Centropogon australis,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Tetrarogidae,ambush,NaN,1.5289,541,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,NaN,NaN,Centaust
Australia (NSW),Seagrass,Favonigobius exquisitus,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Gobiidae,ambush,NaN,NaN,NaN,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated;fusiform / normal,NaN,NaN,Favoexqu
Australia (NSW),Seagrass,Gerres subfasciatus,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Gerreidae,active,NaN,NaN,NaN,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,NaN,NaN,Gerrsubf
Australia (NSW),Seagrass,Helotes sexlineatus,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Terapontidae,active,2,1.49408,605,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,21,255,Helosexl
Australia (NSW),Seagrass,Hyporhamphus australis,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Hemiramphidae,active,2.59,1.57256,595,variable,omnivore,pelagic site attached,subtropical,elongated,NaN,NaN,Hypoaust
Australia (NSW),Seagrass,Liza argentea,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Mugilidae,active,NA,NA,NA,variable,omnivore,demersal,subtropical;tropical,fusiform / normal,NA,NA,Lizaarge
