Country,habitat,sciName,Genus,family,present,Site,rate,basin,coast,meanLat,meanLong,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,parmax,parmean,salinity,sstmax,sstmean,sstmin,sstrange,name,act,feed,troph,watercol,body
Italy,Unvegetated,Diplodus sargus,Diplodus,Sparidae,NA,Italy,0.9999999999574399,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Diplsarg,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Italy,Unvegetated,Solea sp.,Solea,Soleidae,NA,Italy,0.9999999999574399,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Solesp,active;ambush,hunting macrofauna (predator),benthic invertivore,benthic,short and / or deep
Italy,Unvegetated,Atherina boyeri,Atherina,Atherinidae,NA,Italy,0.9999999999574399,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Atheboye,active,hunting macrofauna (predator),benthic invertivore;planktivore,pelagic site attached,elongated
Italy,Unvegetated,Mugil sp.,Mugil,Mugilidae,NA,Italy,0.9999999999574399,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Mugisp,active,variable,omnivore,demersal,fusiform / normal
Italy,Unvegetated,Sparus aurata,Sparus,Sparidae,NA,Italy,0.9999999999574399,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Sparaura,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Italy,Seagrass,Symphodus tinca,Symphodus,Labridae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Symptinc,active,hunting macrofauna (predator),higher carnivore,demersal,fusiform / normal
Italy,Seagrass,Symphodus ocellatus,Symphodus,Labridae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Sympocel,active,variable,benthic invertivore,demersal,fusiform / normal
Italy,Seagrass,Boops boops,Boops,Sparidae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Boopboop,active,selective plankton feeding,omnivore,demersal,fusiform / normal
Italy,Seagrass,Diplodus puntazzo,Diplodus,Sparidae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Diplpunt,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Italy,Seagrass,Sarpa salpa,Sarpa,Sparidae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Sarpsalp,active,grazing on aquatic plants,browsing herbivore,demersal,fusiform / normal
USA (NC2),Seagrass,Lagodon rhomboides,Lagodon,Sparidae,1,NC2,0.8933333333153645,Atlantic,West,34.7004,-76.8335,3.44875001907349,2.31425002217293,1.22699996829033,2.22174999117851,0.596249997615814,0.488000005483627,0.404749996960163,53.0984992980957,36.3427495956421,34.9159994125366,28.116250038147,21.0527501106262,13.3082499504089,14.808000087738,Lagorhom,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Croatia,Unvegetated,Pomatoschistus marmoratus,Pomatoschistus,Gobiidae,1,Croatia,0.1916816713229127,Mediterranean,East,44.20446025,15.472773125,0.734000027179718,0.612999975681305,0.538999974727631,0.195000097155571,0.801999986171722,0.656000018119812,0.444000005722046,56.7519989013672,33.1430015563965,38.4339981079102,24.8369998931885,15.7770004272461,8.19600009918213,16.6410007476807,Pomamarm,ambush,hunting macrofauna (predator),omnivore,benthic,fusiform / normal
Croatia,Unvegetated,Mugil cephalus,Mugil,Mugilidae,1,Croatia,0.1916816713229127,Mediterranean,East,44.20446025,15.472773125,0.734000027179718,0.612999975681305,0.538999974727631,0.195000097155571,0.801999986171722,0.656000018119812,0.444000005722046,56.7519989013672,33.1430015563965,38.4339981079102,24.8369998931885,15.7770004272461,8.19600009918213,16.6410007476807,Mugiceph,active,browsing on substrate,omnivore,demersal,fusiform / normal
Croatia,Unvegetated,Sparus aurata,Sparus,Sparidae,NA,Croatia,0.1916816713229127,Mediterranean,East,44.20446025,15.472773125,0.734000027179718,0.612999975681305,0.538999974727631,0.195000097155571,0.801999986171722,0.656000018119812,0.444000005722046,56.7519989013672,33.1430015563965,38.4339981079102,24.8369998931885,15.7770004272461,8.19600009918213,16.6410007476807,Sparaura,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
