FRic,qual.FRic,FEve,FDis,RaoQ,FGR,Site
0.16155298045154196,0.1207665645166213,0.6602714037360717,0.19105379853825333,0.05247627727634068,5,Baja
NA,0.1207665645166213,0.5902287478971173,0.17967969825870875,0.038893667170902695,2,Brazil
0.3821939970201047,0.1207665645166213,0.5016678913130115,0.3078821711671758,0.1120525536696938,5,CA
NA,0.1207665645166213,NA,0,0,1,CA2
NA,0.1207665645166213,0.036011936339554795,0.011940053569672412,0.0020194503428261693,2,Chile
NA,0.1207665645166213,0.6015249525720878,0.2318078940319851,0.06307844461349038,3,Croatia
NA,0.1207665645166213,NA,0.1830734016499847,0.03409558186953487,2,DE
0.06944083816850659,0.1207665645166213,0.5308232603522037,0.28297342235448425,0.0848692504832217,3,France
NA,0.1207665645166213,0.9039422416920031,0.11735374414212343,0.020405585361560494,2,Korea
0.10056368928990088,0.1207665645166213,0.416456224235583,0.2176857566214786,0.06160813426966857,5,NC
NA,0.1207665645166213,NA,0.053882340127354725,0.006341611620024664,1,NC2
0.2035656678499423,0.1207665645166213,0.7761473351246791,0.31446727694347454,0.10673768976216332,5,NSW1
0.05424950260604376,0.1207665645166213,0.589476936789759,0.11793160509380732,0.014163442913711369,4,NSW2
0.004682468351097483,0.1207665645166213,0.36488523933712236,0.14069387021984378,0.020004528088152538,3,QLD2
0.06658633240467673,0.1207665645166213,0.29475600160712134,0.29987280946546335,0.09314013833285661,3,QLD3
0.22714943085040729,0.1207665645166213,0.6710771973927987,0.2475355281783343,0.07462482834394167,5,QLD4
0.08283226048720635,0.1207665645166213,0.50049702323656,0.30103929940761887,0.09307111633622894,4,TX
NA,0.1207665645166213,NA,0.09617452119192789,0.029830219669225843,2,VA
0.06472293415129743,0.1207665645166213,0.293100929965515,0.2900180429888037,0.0866338850403277,4,VA2
NA,0.1207665645166213,NA,0.08156935719316012,0.00750518949230428,2,VIC
NA,0.1207665645166213,NA,0,0,1,Wales
