SPECIES_NAME,A,B
Heterodontus portusjacksoni,0.0017,3.145
Parascyllium ferrugineum,0.0017,3.145
Cephaloscyllium laticeps,0.0017,3.145
Urolophus cruciatus,0.0072,3.083
Myliobatis australis,8e-4,3.34
Conger verreauxi,2e-4,3.509
Lotella rhacina,0.004,3.275
Pseudophycis bachus,0.0088,3.008
Pseudophycis barbata,0.0088,3.008
Genypterus tigerinus,3e-4,3.706
Hyporhamphus melanochir,0.0015,3.199
Atherinason hepsetoides,0.0075,2.975
Paratrachichthys trailli,0.0203,2.9807
Hippocampus abdominalis,0.004,2.949
Phyllopteryx taeniolatus,2e-4,2.749
Helicolenus percoides,0.0104,3.144
Neosebastes scorpaenoides,0.0155,3.298
Scorpaena papillosa,0.0091,3.137
Caesioperca lepidoptera,0.0978,2.643
Caesioperca rasor,0.0978,2.643
Hypoplectrodes maccullochi,0.0152,3.0063
Trachinops caudimaculatus,0.0097,2.964
Dinolestes lewini,0.0154,2.773
Vincentia conspersa,0.0127,3.161
Trachurus declivis,0.0096,3.05
Arripis spp.,0.0136,2.899
Parequula melbournensis,0.0162,2.92
Upeneichthys vlamingii,0.0097,3.144
Pempheris multiradiata,0.0119,3.026
Girella elevata,0.0163,3.022
Girella tricuspidata,0.0163,3.022
Kyphosus sydneyanus,0.0226,3.055
Girella zebra,0.0163,3.022
Scorpis aequipinnis,0.0076,3.136
Scorpis lineolata,0.0076,3.136
Atypichthys strigatus,0.0526,2.818
Enoplosus armatus,0.01355,2.993
Pentaceropsis recurvirostris,0.01355,2.993
Chromis hypsilepis,0.0144,3.351
Parma microlepis,0.0179,3.126
Parma victoriae,0.0179,3.126
Aplodactylus arctidens,0.0053,3.207
Cheilodactylus nigripes,0.016,2.989
Cheilodactylus spectabilis,0.016,2.989
Dactylophora nigricans,0.016,2.989
Nemadactylus macropterus,0.022,2.951
Latridopsis forsteri,0.055,2.713
Sphyraena novaehollandiae,0.024,2.53
Dotalabrus aurantiacus,0.0134,2.939
Pictilabrus laticlavius,0.0134,2.939
Notolabrus fucicola,0.0078,3.161
Notolabrus tetricus,0.0047,3.227
Siphonognathus attenuatus,0.0134,2.939
Neoodax balteatus,0.0134,2.939
Siphonognathus beddomei,0.0134,2.939
Haletta semifasciata,0.0134,2.939
Kathetostoma laeve,0.015,3.01
Bovichtus angustifrons,0.002,3.675
Forsterygion varium,0.0177,2.99
Cristiceps australis,0.002,3.675
Heteroclinus tristis,0.0168,2.775
Heteroclinus johnstoni,0.0168,2.775
Heteroclinus perspicillatus,0.0168,2.775
Parablennius tasmanianus,0.0084,3.241
Callogobius mucosus,0.013,2.882
Nesogobius spp.,0.013,2.882
Seriolella brama,0.0142,3.121
Aspasmogaster tasmaniensis,0.0088,3.059
Eocallionymus papilio,0.014,2.709
Rhombosolea tapirina,0.039,2.64
Acanthaluteres spilomelanurus,0.0556,2.877
Brachaluteres jacksonianus,0.0256,2.7
Eubalichthys gunnii,0.0556,2.877
Meuschenia australis,0.0556,2.877
Meuschenia flavolineata,0.0556,2.877
Meuschenia freycineti,0.0556,2.877
Meuschenia hippocrepis,0.0556,2.877
Meuschenia scaber,0.0556,2.877
Acanthaluteres vittiger,0.0556,2.877
Thamnaconus degeni,0.0556,2.877
Aracana aurita,0.101,2.588
Aracana ornata,0.101,2.588
Tetractenos glaber,0.0294,2.82
Diodon nicthemerus,0.0219,3
Aetapcus maculatus,0.0189375,3.0385
Heteroclinus wilsoni,0.0168,2.7748
Parascyllium variolatum,0.0017,3.145
Trianectes bucephalus,0.0064,3.09
Dasyatis brevicaudata,0.0203,3
Urolophus paucimaculatus,0.0072,3.083
