Country,Site.Name,sciName,totalCount,family,feeding,trophic,waterColumn,diel,habitatRLS,eat.squid,phylum,method
USA (TX),Laguna Madre,Menidia beryllina,3,Atherinopsidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (TX),Oso Bay,Menidia beryllina,4539,Atherinopsidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (DE),"UD Lewes, DE",Menidia menidia,8,Atherinopsidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (NC),NC,Menidia menidia,17,Atherinopsidae,hunting macrofauna (predator),Benthic invertivore,demersal,"day ,night","seagrtass, sand",0,Chordata,seine
USA (VA2),,Menidia menidia,1079,Atherinopsidae,hunting macrofauna (predator),planktivore,pelagic non-site attached,,,0,Chordata,seine
Chile,Puerto Aldea (Chile),Odontesthes sp.,2,Atherinopsidae,selective plankton feeding,planktivore,pelagic non-site attached,Day & Night,water column,0,Chordata,seine
Canada (BC),Choked Pocket,Aulorhynchus flavidus,4,Aulorhynchidae,hunting macrofauna (predator),Planktivore,Pelagic site attached,,"sand, rock",0,Chordata,seine
USA (AK),Sunshine Cove,Aulorhynchus flavidus,15,Aulorhynchidae,hunting macrofauna (predator),invertivore/planktivore,Demersal,,"vegitated, rocky, sand",0,Chordata,seine
USA (WA),Redondo N1,Aulorhynchus flavidus,1,Aulorhynchidae,hunting macrofauna (predator),"Benthic invertivore, planktovire","""benthopelagic""",,,0,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Aulostomus chinensis,1,Aulostomidae,hunting macrofauna (predator),higher carnivore,pelagic site attached,day,"coral, rock, seagrass, sand",0,Chordata,seine
Mexico (ICML),NA,Balistes vetula,1,Balistidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Mexico (ICML),NA,Canthidermis sufflamen,1,Balistidae,selective plankton feeding,NA,NA,NA,NA,1,Chordata,video
USA (NC),NC,Opsanus tau,4,Batrachoididae,hunting macrofauna (predator),higher carnivore,benthic,,"seagrass, rock, sand",0,Chordata,seine
USA (CA),San Diego,Strongylura exilis,1,Belonidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (VA),Goodwin Island,Strongylura marina,19,Belonidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (VA2),,Strongylura marina,14,Belonidae,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,,water column,0,Chordata,seine
USA (NC),NC,Chasmodes saburrae,1,Blenniidae,hunting macrofauna (predator),omnivore,benthic,,"rock, seagrass",1,Chordata,seine
Mexico (BN),Punta Banda Estuary,Hypsoblennius gentilis,11,Blenniidae,Hunting macrofauna (predator),Benthic invertivore,Benthic,Night,Sand,1,Chordata,seine
USA (CA),San Diego,Hypsoblennius gentilis,3,Blenniidae,NA,NA,NA,NA,NA,1,Chordata,seine
USA (CA2),Windy Cove,Hypsoblennius gentilis,1,Blenniidae,NA,NA,NA,NA,NA,1,Chordata,seine
Chile,Puerto Aldea (Chile),Hypsoblennius sordidus,1,Blenniidae,variable,omnivore,benthic,Day & Night,rock,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Petroscirtes lupus,5,Blenniidae,NA,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Petroscirtes lupus,5,Blenniidae,variable,Omnivore,benthic,Day,Seagrass,1,Chordata,seine
Australia (QLD3),NA,Petroscirtes lupus,1,Blenniidae,NA,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),Noosa river,Petroscirtes variabilis,3,Blenniidae,hunting macrofauna (predator),scraping herbivore,benthic,day,Seagrass,1,Chordata,seine
Australia (QLD2),NA,Plagiotremus tapeinosoma,19,Blenniidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Croatia,CR-B-SvetiDuh,Salaria pavo,24,Blenniidae,variable,Omnivore,benthic,day,rock,1,Chordata,seine
France,Bouzigues,Salaria pavo,16,Blenniidae,variable,,benthic,,,1,Chordata,seine
Croatia,NA,Salaria pavo,1,Blenniidae,variable,NA,NA,NA,NA,1,Chordata,seine
France,NA,Salaria pavo,1,Blenniidae,variable,NA,NA,NA,NA,1,Chordata,seine
Chile,NA,Scartichthys gigas,1,Blenniidae,variable,NA,NA,NA,NA,1,Chordata,seine
Chile,Puerto Aldea (Chile),Scartichthys viridis,30,Blenniidae,grazing on aquatic plants,omnivore,benthic,Day & Night,rock,1,Chordata,seine
Wales,"Porthdinllaen, UK",Callionymus lyra,2,Callionymidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Korea,Koje-Korea,Repomucenus lunatus,3,Callionymidae,NA,NA,benthic,NA,sand,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Repomucenus macdonaldi,2,Callionymidae,browsing on substrate,Benthic invertivore,benthic,Day,sand,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Repomucenus macdonaldi,2,Callionymidae,NA,NA,NA,NA,NA,0,Chordata,seine
Chile,Puerto Aldea (Chile),Cancer coronatus,2,Cancridae,hunting macrofauna (predator),benthic invertivore,benthic,Day & Night,sand,1,Arthropoda,seine
Canada (QC),QC_Baie St-Ludger,Cancer irroratus,286,Cancridae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (CA3),Elkhorn Slough,Metacarcinus magister,3,Cancridae,variable,omnivore,benthic,NA,"seagrass, sand, seaweed, rock",1,Arthropoda,seine
USA (OR),OIMB-Valino-SSNERR,Metacarcinus magister,60,Cancridae,,,benthic,,,1,Arthropoda,seine
Chile,NA,Romaleon polyodon,4,Cancridae,NA,NA,NA,NA,NA,1,Arthropoda,seine
Chile,Puerto Aldea (Chile),Romaleon polyodon,41,Cancridae,hunting macrofauna (predator),benthic invertivore,benthic,Day & Night,"rock, sand",1,Arthropoda,seine
Australia (QLD2),NA,Carangoides fulvoguttatus,13,Carangidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Mexico (ICML2),NA,Caranx bartholomaei,2,Carangidae,NA,NA,NA,NA,NA,1,Chordata,video
Brazil,Praia do Barreiro,Caranx latus,1,Carangidae,hunting macrofauna (predator),"Carnivore (fish, planktonic copepods and benthic invertebrates, mainly crustaceans)",Whole water column,Day,"water column, over sand / rock",1,Chordata,seine
Brazil,Praia do Engenho,Caranx latus,3,Carangidae,hunting macrofauna (predator),"Carnivore (fish, planktonic copepods and benthic invertebrates, mainly crustaceans)",Whole water column,Day,"water column, over sand / rock",1,Chordata,seine
Mexico (ICML),NA,Caranx ruber,5,Carangidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Mexico (ICML2),NA,Caranx ruber,6,Carangidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Brazil,Praia do Barreiro,Oligoplites saliens,1,Carangidae,hunting macrofauna (predator),Carnivore (mostly fish and fish scales),Whole water column,-- No information --,water column over sand / mud; rarely estuarine,1,Chordata,seine
Australia (QLD2),NA,Scomberoides tala,21,Carangidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Trachinotus blochii,2,Carangidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Trachinotus botla,1,Carangidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Carcharhinus melanopterus,21,Carcharhinidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Norway,NA,Carcinus maenas,3,Cancridae,NA,NA,NA,NA,NA,1,Arthropoda,seine
Wales,NA,Carcinus maenas,1,Cancridae,NA,Benthic invertivore,benthic,,,1,Arthropoda,seine
Wales,"Porthdinllaen, UK",Carcinus maenas,8,Cancridae,NA,NA,NA,NA,NA,1,Arthropoda,seine
Australia (QLD2),NA,Chaetodon auriga,8,Chaetodontidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Chile,Puerto Aldea (Chile),Menticirrhus ophicephalus,1,Channidae,hunting macrofauna (predator),benthic invertivore,benthic,Day & Night,"rock, sand",1,Chordata,seine
Chile,Puerto Aldea (Chile),Cheilodactylus variegatus,2,Cheilodactylidae,hunting macrofauna (predator),benthic invertivore,Demersal,day,rock,1,Chordata,seine
Australia (VIC),Edwards Point,Heteroclinus perspicillatus,18,Clinidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day,rock/seagrass,1,Chordata,seine
Australia (VIC),Indented Head,Heteroclinus perspicillatus,13,Clinidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day,rock/seagrass,1,Chordata,seine
Australia (VIC),St. Leonards,Heteroclinus perspicillatus,6,Clinidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day,rock/seagrass,1,Chordata,seine
USA (CA),San Diego,Heterostichus rostratus,38,Clinidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (CA2),Windy Cove,Heterostichus rostratus,1,Clinidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Canada (QC),QC_Baie St-Ludger,Clupea harengus,1,Clupeidae,selective plankton feeding,NA,NA,NA,NA,0,Chordata,seine
Chile,Puerto Aldea (Chile),Ethmidium maculatum,1453,Clupeidae,filtering plankton,planktivore,pelagic non-site attached,Day & Night,water column,0,Chordata,seine
Chile,NA,Ethmidium maculatum,1,Clupeidae,filtering plankton,NA,NA,NA,NA,0,Chordata,seine
Brazil,Praia do Barreiro,Harengula clupeola,77,Clupeidae,selective plankton feeding,Omnivore,Pelagic,Night,sand / mud; frequently estuarine,0,Chordata,seine
Brazil,Praia do Engenho,Harengula clupeola,6,Clupeidae,selective plankton feeding,Omnivore,Pelagic,Night,sand / mud; frequently estuarine,0,Chordata,seine
USA (TX),Oso Bay,Harengula jaguana,1,Clupeidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Australia (QLD2),Hervey Bay,Herklotsichthys castelnaui,6,Clupeidae,hunting macrofauna (predator),benthic invertivore,pelagic non-site attached,day,water column,0,Chordata,seine
Korea,Koje-Korea,Konosirus punctatus,4,Clupeidae,selective plankton feeding,planktivore,pelagic non-site attached,NA,water column,0,Chordata,seine
USA (TX),Aransas Pass,Sardinella aurita,133,Clupeidae,selective plankton feeding,Planktivore,pelagic non-site attached,Day,sand,0,Chordata,seine
Brazil,Praia do Barreiro,Sardinella brasiliensis,3,Clupeidae,selective plankton feeding,Omnivore,Pelagic,Night / Day,water column over sand / mud; rarely estuarine,0,Chordata,seine
Brazil,Praia do Engenho,Sardinella brasiliensis,17,Clupeidae,selective plankton feeding,Omnivore,Pelagic,Night / Day,water column over sand / mud; rarely estuarine,0,Chordata,seine
USA (CA3),Elkhorn Slough,Sardinops sagax,1,Clupeidae,selective plankton feeding,planktivore,pelagic site attached,NA,water column,0,Chordata,seine
Wales,"Porthdinllaen, UK",Sprattus sprattus,55,Clupeidae,selective plankton feeding,NA,NA,NA,NA,0,Chordata,seine
USA (CA3),Elkhorn Slough,Artedius harringtoni,1,Cottidae,hunting macrofauna (predator),benthic invertivore,benthic,NA,"seagrass, sand, seaweed, rock",1,Chordata,seine
Canada (BC),Choked Pocket,Artedius lateralis,2,Cottidae,hunting macrofauna (predator),Higher carnivore,Benthic,,"sand, rock",1,Chordata,seine
USA (CA2),Windy Cove,Artedius lateralis,11,Cottidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Canada (BC),Choked Pocket,Cottoidea sp.,1,Cottidae,hunting macrofauna (predator),Higher carnivore,Benthic,,"sand, rock",1,Chordata,seine
USA (OR),OIMB-Valino-SSNERR,Cottus asper,1,Cottidae,hunting macrofauna (predator),,,,,1,Chordata,seine
USA (DE),"UD Lewes, DE",Cottus bairdi,2,Cottidae,NA,NA,NA,NA,NA,1,Chordata,seine
Canada (BC),Choked Pocket,Enophrys bison,4,Cottidae,hunting macrofauna (predator),Higher carnivore,Benthic,,"sand, rock, seagrass",1,Chordata,seine
Canada (BC),Choked Pocket,Hemilepidotus hemilepidotus,1,Cottidae,hunting macrofauna (predator),Higher carnivore,Benthic,,"sand, rock, seagrass, kelp",1,Chordata,seine
USA (AK),Sunshine Cove,Leptocottus armatus,11,Cottidae,variable,invertivore/piscivore,Demersal,,"vegitated, rocky, sand",1,Chordata,seine
USA (CA),San Diego,Leptocottus armatus,2,Cottidae,variable,NA,NA,NA,NA,1,Chordata,seine
USA (CA2),Windy Cove,Leptocottus armatus,4,Cottidae,variable,NA,NA,NA,NA,1,Chordata,seine
USA (CA3),Elkhorn Slough,Leptocottus armatus,9,Cottidae,variable,omnivore,benthic,NA,"seagrass, sand, seaweed",1,Chordata,seine
USA (OR),OIMB-Valino-SSNERR,Leptocottus armatus,58,Cottidae,variable,,,,,1,Chordata,seine
USA (WA2),False Bay,Leptocottus armatus,42,Cottidae,variable,Higher Carnivore,Demersal,Night,"occasionally rocky intertidal, sand",1,Chordata,seine
USA (MA),Dorothy Cove,Myoxocephalus aenaeus,1,Cottidae,hunting macrofauna (predator),Benthic invertivore,benthic,,seagrass,1,Chordata,seine
USA (AK),Sunshine Cove,Myoxocephalus polyacanthocephalus,4,Cottidae,hunting macrofauna (predator),invertivore/piscivore,Demersal,,,1,Chordata,seine
Canada (BC),Choked Pocket,Oligocottus maculosus,5,Cottidae,hunting macrofauna (predator),Benthic invertivore,Benthic,,"sand, rock, seagrass",1,Chordata,seine
USA (AK),Sunshine Cove,Oligocottus maculosus,3,Cottidae,,invertivore,benthic,,"vegitated, rocky, sand",1,Chordata,seine
Korea,Koje-Korea,Porocottus leptosomus,1,Cottidae,NA,NA,Demersal,NA,"rock, seagrass, seaweed",1,Chordata,seine
Korea,Koje-Korea,Pseudoblennius cottoides,7,Cottidae,hunting macrofauna (predator),Benthic invertivore,Demersal,NA,"rock, sand, seagrass",1,Chordata,seine
Canada (BC),Choked Pocket,Scorpaenichthys marmoratus,1,Cottidae,variable,Higher carnivore,Benthic,,"sand, rock, seagrass, kelp",1,Chordata,seine
USA (CA2),Windy Cove,Scorpaenichthys marmoratus,1,Cottidae,variable,NA,NA,NA,NA,1,Chordata,seine
USA (CA3),Elkhorn Slough,Scorpaenichthys marmoratus,1,Cottidae,hunting macrofauna (predator),higher carnivore,benthic,NA,"seagrass, sand, seaweed, rock",1,Chordata,seine
USA (WA),Redondo S-6,sculpin sp.,1,Cottidae,,,benthic,,,1,Chordata,seine
Wales,"Porthdinllaen, UK",Taurulus bubalis,3,Cottidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Norway,NN_Juvika,Crangon crangon,34,Crangonidae,hunting macrofauna (predator),Benthic invertivore,benthic,Night,sand,1,Arthropoda,seine
Wales,"Porthdinllaen, UK",Crangon crangon,55,Crangonidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
Canada (QC),QC_Baie St-Ludger,Crangon septemspinosa,65,Crangonidae,NA,NA,NA,NA,NA,1,Arthropoda,seine
USA (CA3),Elkhorn Slough,Crangon sp.,1,Crangonidae,hunting macrofauna (predator),benthic invertivore,benthic,NA,"seagrass, sand",1,Arthropoda,seine
USA (MA),Dorothy Cove,Cyclopterus lumpus,1,Cyclopteridae,hunting macrofauna (predator),Benthic invertivore,benthic,,rock,1,Chordata,seine
Norway,NN_Juvika,Cyclopterus lumpus,2,Cyclopteridae,hunting macrofauna (predator),"Benthic invertivore, higher carnivore",bentho-pelagic,,"rock, seaweed",1,Chordata,seine
Croatia,CR-B-SvetiDuh,Aphanius fasciatus,17,Cyprinodontidae,grazing on aquatic plants,Omnivore,demersal,,,1,Chordata,seine
Croatia,CR-B-SvetiDuh,Aphanius fasciatus REDUNDANT,1,Cyprinodontidae,grazing on aquatic plants,Omnivore,demersal,day,"seaweed, seagrass",1,Chordata,seine
USA (TX),Oso Bay,Cyprinodon variegatus,26,Cyprinodontidae,NA,NA,NA,NA,NA,1,Chordata,seine
USA (NC),NC,Chilomycterus schoepfi,1,Diodontidae,variable,benthic invertivore,demersal,,"sand, seagrass",1,Chordata,seine
USA (FL),NA,Chilomycterus schoepfi,1,Diodontidae,hunting macrofauna (predator),benthic invertivore,benthic,NA,NA,1,Chordata,video
Mexico (ICML2),NA,Diodon hystrix,2,Diodontidae,NA,NA,NA,NA,NA,1,Chordata,video
Australia (QLD2),NA,Echeneis naucrates,6,Echeneidae,picking parasites off a host (cleaner),NA,NA,NA,NA,0,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Philypnodon grandiceps,2,Eleotridae,hunting macrofauna (predator),benthic invertivore,demersal,day,"seagrass, sand",1,Chordata,seine
USA (TX),Oso Bay,Elops saurus,10,Elopidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (WA),Redondo S-6,Brachyistius frenatus,3,Embiotocidae,hunting macrofauna (predator),Benthic invertivore,demersal,Day,rock,1,Chordata,seine
USA (WA2),False Bay,Brachyistius frenatus,7,Embiotocidae,hunting macrofauna (predator),Omnivore,pelagic site attached,Day,"rock, sand",1,Chordata,seine
Canada (BC),Choked Pocket,Cymatogaster aggregata,27,Embiotocidae,hunting macrofauna (predator),Benthic invertivore,Pelagic site attached,,"sand, rock, seagrass, kelp",1,Chordata,seine
USA (CA),San Diego,Cymatogaster aggregata,248,Embiotocidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (CA2),Windy Cove,Cymatogaster aggregata,181,Embiotocidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (CA3),Elkhorn Slough,Cymatogaster aggregata,6,Embiotocidae,hunting macrofauna (predator),invertivore,demersal,NA,"seagrass, sand, seaweed",1,Chordata,seine
USA (OR),OIMB-Valino-SSNERR,Cymatogaster aggregata,163,Embiotocidae,hunting macrofauna (predator),,,,,1,Chordata,seine
USA (WA),Redondo N-4,Cymatogaster aggregata,2,Embiotocidae,hunting macrofauna (predator),Benthic invertivore,demersal,,,1,Chordata,seine
USA (WA),Redondo N1,Cymatogaster aggregata,2,Embiotocidae,hunting macrofauna (predator),Benthic invertivore,demersal,,,1,Chordata,seine
USA (WA),Redondo S-6,Cymatogaster aggregata,230,Embiotocidae,hunting macrofauna (predator),Benthic invertivore,demersal,,,1,Chordata,seine
USA (WA2),False Bay,Cymatogaster aggregata,2881,Embiotocidae,hunting macrofauna (predator),Omnivore,Demersal,Day,sand,1,Chordata,seine
Korea,Koje-Korea,Ditrema temminckii,69,Embiotocidae,hunting macrofauna (predator),benthic invertivore,pelagic non-site attached,NA,sand,1,Chordata,seine
USA (CA3),Elkhorn Slough,Embiotoca jacksoni,7,Embiotocidae,hunting macrofauna (predator),invertivore,demersal,NA,"seagrass, sand, seaweed, rock",1,Chordata,seine
Canada (BC),Choked Pocket,Embiotoca lateralis,2,Embiotocidae,hunting macrofauna (predator),Benthic invertivore,Pelagic site attached,,"sand, rock, seagrass, kelp",1,Chordata,seine
USA (CA3),Elkhorn Slough,Embiotoca lateralis,1,Embiotocidae,hunting macrofauna (predator),invertivore,demersal,NA,"seagrass, sand, seaweed, rock",1,Chordata,seine
USA (WA2),False Bay,Embiotoca lateralis,151,Embiotocidae,hunting macrofauna (predator),Omnivore,Demersal,Day,"rock, sand",1,Chordata,seine
USA (CA2),Windy Cove,Embiotoca sp.,7,Embiotocidae,NA,NA,NA,NA,NA,1,Chordata,seine
USA (CA2),Windy Cove,Embiotocidae sp.,1,Embiotocidae,NA,NA,NA,NA,NA,1,Chordata,seine
USA (CA2),Windy Cove,Embiotocidae spp.,14,Embiotocidae,NA,NA,NA,NA,NA,1,Chordata,seine
USA (CA3),Elkhorn Slough,Hypsurus caryi,4,Embiotocidae,hunting macrofauna (predator),invertivore,pelagic site attached,Day,"seagrass, sand, seaweed, rock",1,Chordata,seine
USA (CA2),Windy Cove,Micrometrus minimus,29,Embiotocidae,variable,NA,NA,NA,NA,1,Chordata,seine
USA (CA2),Windy Cove,Phanerodon furcatus,1,Embiotocidae,NA,NA,NA,NA,NA,1,Chordata,seine
USA (OR),OIMB-Valino-SSNERR,Phanerodon furcatus,24,Embiotocidae,,,,,,1,Chordata,seine
