Country,Site.Name,sciName,totalCount,family,feeding,trophic,waterColumn,diel,habitatRLS,eat.squid,phylum,method
USA (CA3),Elkhorn Slough,Rhacochilus toxotes,1,Embiotocidae,hunting macrofauna (predator),invertivore,pelagic site attached,Day,"seagrass, sand, seaweed, rock",1,Chordata,seine
USA (CA3),Elkhorn Slough,Rhacochilus vacca,9,Embiotocidae,hunting macrofauna (predator),invertivore,demersal,NA,"seagrass, sand, seaweed, rock",1,Chordata,seine
USA (OR),OIMB-Valino-SSNERR,Rhacochilus vacca,6,Embiotocidae,hunting macrofauna (predator),,,,,1,Chordata,seine
Mexico (BN),Punta Banda Estuary,Anchoa delicatissima,1,Engraulidae,Selective plankton feeding,Planktivore,Pelagic non-site attached,Day,Sand,0,Chordata,seine
Mexico (BN),Punta Banda Estuary,Anchoa delicatissima,147,Engraulidae,Selective plankton feeding,Planktivore,Pelagic non-site attached,Day,Sand,0,Chordata,seine
USA (TX),Aransas Pass,Anchoa mitchilli,503,Engraulidae,variable,NA,NA,NA,NA,0,Chordata,seine
USA (TX),Oso Bay,Anchoa mitchilli,215,Engraulidae,variable,NA,NA,NA,NA,0,Chordata,seine
Chile,Puerto Aldea (Chile),Engraulis ringens,3,Engraulidae,filtering plankton,planktivore,pelagic non-site attached,Day & Night,water column,0,Chordata,seine
USA (OR),OIMB-Valino-SSNERR,Pugettia producta,1,Epialtidae,,,benthic,,,1,Arthropoda,seine
USA (WA),Redondo N1,Pugettia producta,1,Epialtidae,grazing on aquatic plants,Browsing herbivore,benthic,,,1,Arthropoda,seine
USA (WA),Redondo N2,Pugettia producta,1,Epialtidae,grazing on aquatic plants,Browsing herbivore,benthic,,,1,Arthropoda,seine
USA (WA),Redondo S-6,Pugettia producta,1,Epialtidae,grazing on aquatic plants,Browsing herbivore,benthic,,,1,Arthropoda,seine
Chile,Puerto Aldea (Chile),Taliepus dentatus,41,Epialtidae,grazing on aquatic plants,omnivore,benthic,Day & Night,seaweed,1,Arthropoda,seine
Australia (QLD3),Moreton_Bay,Fistularia commersonii,1,Fistulariidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Fistularia commersonii,1,Fistulariidae,hunting macrofauna (predator),Higher carnivore,Demersal,Day,rock,0,Chordata,seine
USA (TX),Oso Bay,Fundulus grandis,14,Fundulidae,NA,NA,NA,NA,NA,1,Chordata,seine
USA (NC),NC,Fundulus heteroclitus,3,Fundulidae,variable,omnivore,demersal,day,"seagrass, sand",1,Chordata,seine
USA (TX),Oso Bay,Fundulus heteroclitus,8,Fundulidae,variable,NA,NA,NA,NA,1,Chordata,seine
USA (VA2),,Fundulus majalis,51,Fundulidae,hunting macrofauna (predator),Benthic invertivore,demersal,,"seagrass, seaweed, sand",1,Chordata,seine
Mexico (BN),Punta Banda Estuary,Fundulus parvipinnis,82,Fundulidae,Hunting macrofauna (predator),Benthic invertivore,Benthic,Day,Sand,1,Chordata,seine
USA (TX),Oso Bay,Fundulus similis,15,Fundulidae,NA,NA,NA,NA,NA,1,Chordata,seine
USA (VA2),,Lucania parva,2,Fundulidae,selective plankton feeding,planktivore,,,,1,Chordata,seine
USA (MA),Dorothy Cove,Gadus morhua,1,Gadidae,hunting macrofauna (predator),Omnivore,pelagic non-site attached,,rock,1,Chordata,seine
Norway,NA,Gadus morhua,1,Gadidae,NA,NA,NA,NA,NA,1,Chordata,seine
Norway,NN_Juvika,Gadus morhua,1,Gadidae,hunting macrofauna (predator),"Benthic invertivore, higher carnivore",bentho-pelagic,Night,"rock, seagrass",1,Chordata,seine
Wales,"Porthdinllaen, UK",Merlangius merlangus,1,Gadidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Wales,"Porthdinllaen, UK",Pollachius pollachius,4,Gadidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Wales,NA,Pollachius pollachius,1,Gadidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (MA),Dorothy Cove,Pollachius virens,1,Gadidae,hunting macrofauna (predator),Omnivore,pelagic non-site attached,,rock,1,Chordata,seine
Norway,NA,Pollachius virens,5,Gadidae,NA,NA,NA,NA,NA,1,Chordata,seine
Norway,NN_Juvika,Pollachius virens,77,Gadidae,hunting macrofauna (predator),"Planktivore, higher carnivore",pelagic,,water column,1,Chordata,seine
USA (AK),Sunshine Cove,Theragra chalcogramma / Gadus chalcogrammus,1,Gadidae,,,Demersal,,,1,Chordata,seine
USA (VA2),,Apeltes quadracus,11,Gasterosteidae,hunting macrofauna (predator),Benthic invertivore,demersal,,"seagrass, seaweed",0,Chordata,seine
Canada (QC),QC_Baie St-Ludger,Culaea inconstans,15,Gasterosteidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Canada (QC),NA,Gasterosteus aculateus,1,Gasterosteidae,NA,NA,NA,NA,NA,0,Chordata,seine
Canada (QC),QC_Baie St-Ludger,Gasterosteus aculeatus,132,Gasterosteidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (AK),Sunshine Cove,Gasterosteus aculeatus,2,Gasterosteidae,hunting macrofauna (predator),invertivore,Demersal,,"vegitated, rocky, sand",0,Chordata,seine
Norway,NN_Juvika,Gasterosteus aculeatus,10,Gasterosteidae,hunting macrofauna (predator),"Benthic invertivore, planktivore",bentho-pelagic,,"sand, vegetation",0,Chordata,seine
Canada (QC),NA,Gasterosteus sp,5,Gasterosteidae,NA,NA,NA,NA,NA,0,Chordata,seine
Canada (QC),QC_Baie St-Ludger,Gasterosteus wheatlandi,123,Gasterosteidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Canada (QC),QC_Baie St-Ludger,Pungitius pungitius,1,Gasterosteidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Canada (QC),NA,Pungitius pungitius,2,Gasterosteidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Wales,"Porthdinllaen, UK",Spinachia spinachia,8,Gasterosteidae,hunting macrofauna (predator),planktivore,benthic,Day,rock,0,Chordata,seine
Norway,NN_Juvika,Spinachia spinachia,4,Gasterosteidae,hunting macrofauna (predator),"Benthic invertivore, planktivore",bentho-pelagic,Day,"rock, vegetation",0,Chordata,seine
Brazil,Praia do Barreiro,Eucinostomus argenteus,4,Gerreidae,hunting macrofauna (predator),"Omnivore (planktonic and benthic items), but moslty zoobenthivore",Water-column; mostly demersal,Day (data obtained for the congener E. melanopterus),sand / mud,1,Chordata,seine
Brazil,Praia do Engenho,Eucinostomus argenteus,57,Gerreidae,hunting macrofauna (predator),"Omnivore (planktonic and benthic items), but moslty zoobenthivore",Water-column; mostly demersal,Day (data obtained for the congener E. melanopterus),sand / mud,1,Chordata,seine
USA (TX),Aransas Pass,Eucinostomus argenteus,182,Gerreidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (NC),NC,Eucinostomus harengulus,92,Gerreidae,hunting macrofauna (predator),Benthic invertivore,demersal,"day, night","seagrass, sand",1,Chordata,seine
Mexico (ICML2),NA,Eucinostomus melanopterus,4,Gerreidae,NA,NA,NA,NA,NA,1,Chordata,video
Mexico (ICML),NA,Gerres cinereus,1,Gerreidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Australia (QLD),Bowen,Gerres oyena,290,Gerreidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,"sand, seagrass, rock, coral",1,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Gerres subfasciatus,63,Gerreidae,hunting macrofauna (predator),benthic invertivore,"?demersal, pelagic site attached",day,"seagrass, sand",1,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Gerres subfasciatus,64,Gerreidae,hunting macrofauna (predator),benthic invertivore,pelagic site attached,day,"rock, sand",1,Chordata,seine
Australia (NSW2),Urunga Lagoon 2,Gerres subfasciatus,43,Gerreidae,hunting macrofauna (predator),benthic invertivore,pelagic site attached,day,"rock, sand",1,Chordata,seine
Australia (QLD2),Hervey Bay,Gerres subfasciatus,14,Gerreidae,Feeds on benthic infauna,Benthic invertivore,pelagic site attached,Night,sand,1,Chordata,seine
Australia (QLD2),Noosa river,Gerres subfasciatus,15,Gerreidae,Feeds on benthic infauna,Benthic invertivore,pelagic site attached,Night,sand,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Gerres subfasciatus,2,Gerreidae,NA,Benthic invertivore,pelagic site attached,Night,sand,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Gerres subfasciatus,2,Gerreidae,feeds on benthic infauna,Benthic invertivore,pelagic site attached,Night,sand,1,Chordata,seine
USA (VA2),,Gobiesox strumosus,1,Gobiesocidae,hunting macrofauna (predator),Benthic invertivore,demersal,,,1,Chordata,seine
Korea,Koje-Korea,Acanthogobius flavimanus,5,Gobiidae,hunting macrofauna (predator),benthic invertivore,demersal,NA,"sand, seagrass",0,Chordata,seine
Australia (QLD2),NA,Amblygobius sp.,4,Gobiidae,NA,NA,NA,NA,NA,0,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Arenigobius bifrenatus,32,Gobiidae,hunting macrofauna (predator),benthic invertivore,benthic,day,sand,0,Chordata,seine
USA (TX),Aransas Pass,Bathygobius soporator,75,Gobiidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (CA2),Windy Cove,Clevelandia ios,36,Gobiidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
USA (CA3),Elkhorn Slough,Clevelandia ios,2,Gobiidae,variable,omnivore,benthic,NA,"seagrass, sand, seaweed",0,Chordata,seine
USA (TX),Aransas Pass,Ctenogobius boleosoma,11,Gobiidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Mexico (BN),Punta Banda Estuary,Ctenogobius sagittula,1,Gobiidae,Variable,Omnivore,Benthic,Night,Sand,0,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Favonigobius exquisitus,201,Gobiidae,hunting macrofauna (predator),benthic invertivore,benthic,day,"seagrass, sand",0,Chordata,seine
Korea,Koje-Korea,Favonigobius gymnauchen,122,Gobiidae,hunting macrofauna (predator),benthic invertivore,benthic,NA,"sand, seagrass",0,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Gobiidae sp.,41,Gobiidae,hunting macrofauna (predator),benthic invertivore,demersal,day,"sand, seagrass",0,Chordata,seine
Australia (NSW2),Urunga Lagoon 2,Gobiidae sp.,18,Gobiidae,hunting macrofauna (predator),benthic invertivore,demersal,day,"sand, seagrass",0,Chordata,seine
Australia (QLD),Bowen,Gobiidae sp.,40,Gobiidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day/night,"sand, rock, seagrass, coral",0,Chordata,seine
Australia (QLD3),Moreton_Bay,Gobiidae sp.,48,Gobiidae,NA,NA,NA,NA,NA,0,Chordata,seine
USA (CA2),Windy Cove,Gobiidae sp.,1,Gobiidae,NA,NA,NA,NA,NA,0,Chordata,seine
USA (CA3),Elkhorn Slough,Gobiidae sp.,5,Gobiidae,hunting macrofauna (predator),benthic invertivore,benthic,NA,"seagrass, sand, seaweed, rock",0,Chordata,seine
Australia (QLD3),Moreton_Bay,Gobiidae sp.,48,Gobiidae,feeds on benthic infauna,Benthic invertivore,benthic,Day,sand,0,Chordata,seine
USA (NC),NC,Gobiosoma bosc,1,Gobiidae,browsing on substrate,benthic invertivore,demersal,,"seagrass, rock, sand",0,Chordata,seine
USA (TX),Aransas Pass,Gobiosoma bosc,1,Gobiidae,NA,NA,NA,NA,NA,0,Chordata,seine
USA (TX),Oso Bay,Gobiosoma bosc,21,Gobiidae,NA,NA,NA,NA,NA,0,Chordata,seine
USA (NC),NC,Gobiosoma sp.,2,Gobiidae,browsing on substrate,benthic invertivore,demersal,,"seagrass, rock, sand",0,Chordata,seine
Croatia,CR-B-SvetiDuh,Gobius geniporus,4,Gobiidae,hunting macrofauna (predator),Benthic invertivore,benthic,day,sand,0,Chordata,seine
Croatia,CR-B-SvetiDuh,Gobius niger,52,Gobiidae,hunting macrofauna (predator),Benthic invertivore,benthic,day,"sand, rock, seagrass",0,Chordata,seine
Croatia,NA,Gobius niger,1,Gobiidae,selective plankton feeding,NA,NA,NA,NA,0,Chordata,seine
Australia (QLD2),Hervey Bay,Gobius sp.,69,Gobiidae,Feeds on benthic infauna,Benthic invertivore,benthic,day,sand,0,Chordata,seine
Australia (QLD2),Noosa river,Gobius sp.,340,Gobiidae,Feeds on benthic infauna,Benthic invertivore,benthic,day,sand,0,Chordata,seine
Wales,"Porthdinllaen, UK",Gobiusculus flavescens,1,Gobiidae,selective plankton feeding,NA,NA,NA,NA,0,Chordata,seine
Mexico (BN),Punta Banda Estuary,Ilypnus gilberti,132,Gobiidae,Hunting macrofauna (predator),Benthic invertivore,Benthic,Night,Sand,0,Chordata,seine
USA (CA),San Diego,Lepidogobius lepidus,236,Gobiidae,NA,NA,NA,NA,NA,0,Chordata,seine
USA (OR),OIMB-Valino-SSNERR,Lepidogobius lepidus,1,Gobiidae,,,,,,0,Chordata,seine
Australia (VIC),Edwards Point,Nesogobius maccullochi,25,Gobiidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day,sand,0,Chordata,seine
Australia (VIC),Indented Head,Nesogobius maccullochi,18,Gobiidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day,sand,0,Chordata,seine
Australia (VIC),St. Leonards,Nesogobius maccullochi,8,Gobiidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day,sand,0,Chordata,seine
France,Bouzigues,Pomatoschistus marmoratus,15,Gobiidae,hunting macrofauna (predator),,benthic,,,0,Chordata,seine
Croatia,NA,Pomatoschistus marmoratus,3,Gobiidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Croatia,CR-B-SvetiDuh,Pomatoschistus marmoratus/minutus,190,Gobiidae,hunting macrofauna (predator),Benthic invertivore,benthic,day,sand,0,Chordata,seine
Wales,"Porthdinllaen, UK",Pomatoschistus minutus,291,Gobiidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Wales,NA,Pomatoschistus minutus,2,Gobiidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Norway,NA,Pomatoschistus sp.,2,Gobiidae,NA,NA,NA,NA,NA,0,Chordata,seine
Norway,NN_Juvika,Pomatoschistus sp.,66,Gobiidae,hunting macrofauna (predator),Benthic invertivore,benthic,,sand,0,Chordata,seine
Korea,Koje-Korea,Pterogobius elapoides,5,Gobiidae,selective plankton feeding,NA,Demersal,NA,"rock, seagrass, seaweed",0,Chordata,seine
Croatia,NA,Zosterisessor offiocephalus,1,Gobiidae,NA,NA,NA,NA,NA,0,Chordata,seine
Croatia,CR-B-SvetiDuh,Zosterisessor ophiocephalus,113,Gobiidae,hunting macrofauna (predator),Benthic invertivore including piscivory,benthic,day,seagrass,0,Chordata,seine
Croatia,NA,Zosterisessor ophiocephalus,1,Gobiidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Mexico (ICML),NA,Anisotremus virginicus,3,Haemulidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Australia (QLD3),NA,Diagramma pictum,1,Haemulidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Mexico (ICML),NA,Haemulon plumieri,29,Haemulidae,NA,NA,NA,NA,NA,1,Chordata,video
Mexico (ICML),NA,Haemulon sciurus,1,Haemulidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Chile,Puerto Aldea (Chile),Isacia conceptionis,1,Haemulidae,hunting macrofauna (predator),benthic invertivore,benthic,Day & Night,"rock, sand",1,Chordata,seine
Chile,NA,Isacia conceptionis,3,Haemulidae,NA,NA,NA,NA,NA,1,Chordata,seine
USA (NC),NC,Orthopristis chrysoptera,5,Haemulidae,hunting macrofauna (predator),higher carnivore,demersal,night,"seagrass, sand",1,Chordata,seine
USA (NC2),Pine Knoll Shores,Orthopristis chrysoptera,1,Haemulidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Arrhamphus sclerolepis,2,Hemiramphidae,NA,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Arrhamphus sclerolepis,2,Hemiramphidae,variable,Omnivore,pelagic site attached,Day/Night,seagrass/sand,1,Chordata,seine
Australia (QLD3),NA,Arrhamphus sclerolepis,1,Hemiramphidae,NA,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),Noosa river,Hemiramphus robustus,1,Hemiramphidae,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,day,water column,1,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Hyporhamphus australis,5,Hemiramphidae,variable,omnivore,"?demersal, pelagic site attached",day,"seagrass, sand",1,Chordata,seine
USA (NC),NC,Hyporhamphus brasiliensis,2,Hemiramphidae,selective plankton feeding,omnivore,demersal,night,"seagrass, sand",1,Chordata,seine
USA (VA2),,Hyporhamphus meeki,2,Hemiramphidae,variable,,pelagic site attached,,,1,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Hyporhamphus regularis,1,Hemiramphidae,variable,omnivore,pelagic non-site attached,day,"sand, seagrass",1,Chordata,seine
Australia (QLD3),Moreton_Bay,Hyporhamphus regularis,2,Hemiramphidae,grazing on aquatic plants,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Hyporhamphus regularis,2,Hemiramphidae,variable,Omnivore,pelagic site attached,Day/Night,seagrass/sand,1,Chordata,seine
Australia (QLD3),NA,Hyporhamphus regularis ardelio,1,Hemiramphidae,NA,NA,NA,NA,NA,1,Chordata,seine
Mexico (BN),Punta Banda Estuary,Hyporhamphus rosae,1,Hemiramphidae,Selective plankton feeding,Planktivore,Pelagic non-site attached,Day,Sand,1,Chordata,seine
Australia (QLD2),NA,Hyporhamphus sp.,10,Hemiramphidae,NA,NA,NA,NA,NA,1,Chordata,seine
Korea,Koje-Korea,Hexagrammos agrammus,1,Hexagrammidae,hunting macrofauna (predator),benthic invertivore,demersal,NA,"rock, seaweed",1,Chordata,seine
Canada (BC),Choked Pocket,Hexagrammos decagrammus,2,Hexagrammidae,hunting macrofauna (predator),Higher carnivore,Benthopelagic,,"sand, rock, seagrass, kelp",1,Chordata,seine
Canada (BC),Choked Pocket,Hexagrammos lagocephalus,3,Hexagrammidae,hunting macrofauna (predator),Higher carnivore,Benthopelagic,,"sand, rock, seagrass, kelp",1,Chordata,seine
Korea,Koje-Korea,Hexagrammos otakii,4,Hexagrammidae,hunting macrofauna (predator),higher carnivore,demersal,NA,"rock, seaweed",1,Chordata,seine
USA (TX),Aransas Pass,Tozeuma carolinense,42,Hippolytidae,NA,NA,NA,NA,NA,0,Arthropoda,seine
USA (TX),Aransas Pass,Tozeuma carolinense,137,Hippolytidae,NA,NA,NA,NA,NA,0,Arthropoda,seine
Australia (NSW2),Urunga Lagoon 1,Girella tricuspidata,5,Kyphosidae,grazing on aquatic plants,browsing herbivore,demersal,day,"rock, seagrass, sand",0,Chordata,seine
Australia (VIC),Edwards Point,Girella zebra,5,Kyphosidae,grazing on aquatic plants,Browsing herbivore,Demersal,Day,rock,0,Chordata,seine
Australia (VIC),Indented Head,Girella zebra,5,Kyphosidae,grazing on aquatic plants,Browsing herbivore,Demersal,Day,rock,0,Chordata,seine
Australia (VIC),St. Leonards,Girella zebra,4,Kyphosidae,grazing on aquatic plants,Browsing herbivore,Demersal,Day,rock,0,Chordata,seine
Australia (QLD2),NA,Cheilio inermis,4,Labridae,NA,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Coris caudimacula,38,Labridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Italy,NA,Coris julis,18,Labridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Australia (QLD2),NA,Coris pictoides,10,Labridae,NA,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Coris sp.,52,Labridae,NA,NA,NA,NA,NA,1,Chordata,seine
Mexico (ICML),NA,Halichoeres bivittatus,24,Labridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Mexico (ICML2),NA,Halichoeres bivittatus,5,Labridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Australia (QLD2),NA,Halichoeres chloropterus,3,Labridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Mexico (ICML),NA,Halichoeres garnoti,1,Labridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Mexico (BN),Punta Banda Estuary,Halichoeres semicinctus,1,Labridae,Hunting macrofauna (predator),Benthic invertivore,Benthic,Day,Rock,1,Chordata,seine
Australia (QLD2),NA,Halichoeres sp.,1,Labridae,NA,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Halichoeres trimaculatus,3,Labridae,variable,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Labroides dimidiatus,4,Labridae,picking parasites off a host (cleaner),NA,NA,NA,NA,1,Chordata,seine
Wales,"Porthdinllaen, UK",Labrus bergylta,2,Labridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Leptojulis cyanopleura,48,Labridae,selective plankton feeding,Benthic invertivore,Demersal,Day,coral,1,Chordata,seine
Australia (QLD2),NA,Leptojulis sp.,20,Labridae,NA,NA,NA,NA,NA,1,Chordata,seine
Korea,Koje-Korea,Parajulis poecilopterus,1,Labridae,hunting macrofauna (predator),Benthic invertivore,Demersal,NA,rock,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Pseudolabrus guentheri,6,Labridae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,rock,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Pseudolabrus guentheri,6,Labridae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,rock,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Scarus ghobban,1,Labridae,browsing on substrate,Scraping herbivore,Demersal,Day,coral,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Scarus ghobban,1,Labridae,browsing on substrate,Scraping herbivore,Demersal,Day,coral,1,Chordata,seine
Mexico (ICML),NA,Sparisoma rubripinne,2,Labridae,browsing on substrate,Scraping herbivore,Demersal,Day,coral,1,Chordata,video
Mexico (ICML),NA,Sparisoma viride,1,Labridae,NA,NA,NA,NA,NA,1,Chordata,video
Croatia,NA,Symphodus cinereus,1,Labridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Wales,"Porthdinllaen, UK",Symphodus melops,41,Labridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Croatia,CR-B-SvetiDuh,Symphodus ocellatus,93,Labridae,variable,benthic invertivore,demersal,day,"seaweed, rock, seagrass",1,Chordata,seine
Croatia,NA,Symphodus ocellatus,2,Labridae,variable,NA,NA,NA,NA,1,Chordata,seine
Italy,NA,Symphodus ocellatus,2,Labridae,variable,NA,NA,NA,NA,1,Chordata,video
France,Bouzigues,Symphodus tinca,8,Labridae,hunting macrofauna (predator),Higher carnivore,,,,1,Chordata,seine
France,NA,Symphodus tinca,4,Labridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Italy,NA,Symphodus tinca,2,Labridae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Mexico (ICML),NA,Thalassoma bifasciatum,4,Labridae,selective plankton feeding,Benthic invertivore,Demersal,Day,coral,1,Chordata,video
Australia (QLD2),NA,Thalassoma sp.,20,Labridae,NA,NA,NA,NA,NA,1,Chordata,seine
Korea,Koje-Korea,Lateolabrax japonicus,116,Lateolabracidae,hunting macrofauna (predator),planktivore,pelagic non-site attached,NA,water column,1,Chordata,seine
Australia (QLD2),NA,Lethrinus atkinsoni,29,Lethrinidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD),Bowen,Lethrinus genivittatus,33,Lethrinidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,"seagrass, rock, sand",1,Chordata,seine
Australia (QLD2),NA,Lethrinus genivittatus,114,Lethrinidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Lethrinus laticaudis,1,Lethrinidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD3),Moreton_Bay,Lethrinus laticaudis,1,Lethrinidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Night,seagrass/seaweed,1,Chordata,seine
Australia (QLD2),NA,Lethrinus nebulosus,26,Lethrinidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Lethrinus obsoletus,11,Lethrinidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Lethrinus sp.,331,Lethrinidae,NA,NA,NA,NA,NA,1,Chordata,seine
Canada (BC),Choked Pocket,Liparis sp.,2,Liparidae,hunting macrofauna (predator),Benthic invertivore,Benthic,,"sand, seagrass",0,Chordata,seine
Australia (VIC),Edwards Point,Sepioteuthis australis,2,Loliginidae,hunting macrofauna (predator),higher carnivore,throughout the water column,Night,"sand, reef, seagrass",0,Mollusca,seine
Australia (VIC),St. Leonards,Sepioteuthis australis,1,Loliginidae,hunting macrofauna (predator),higher carnivore,throughout the water column,Night,"sand, reef, seagrass",0,Mollusca,seine
Australia (QLD3),Moreton_Bay,Sepioteuthis lessoniana,6,Loliginidae,hunting macrofauna (predator),Higher carnivore,Demersal,Night,seagrass/rock,0,Mollusca,seine
Australia (QLD3),Moreton_Bay,Sepioteuthis lessoniana,6,Loliginidae,NA,NA,NA,NA,NA,0,Mollusca,seine
Australia (QLD2),NA,Caesio sp.,6,Caesionidae,NA,NA,NA,NA,NA,1,NA,seine
Mexico (ICML),NA,Lutjanus analis,2,Lutjanidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Mexico (ICML2),NA,Lutjanus analis,2,Lutjanidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Mexico (ICML),NA,Lutjanus apodus,2,Lutjanidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
USA (TX),Aransas Pass,Lutjanus griseus,12,Lutjanidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Mexico (ICML),NA,Lutjanus griseus,2,Lutjanidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Australia (QLD2),NA,Lutjanus obsoletus,1,Lutjanidae,NA,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD),Bowen,Lutjanus russellii,56,Lutjanidae,hunting macrofauna (predator),Benthic invertivore,Demersal,Day,"coral, rock, seagrass, sand",1,Chordata,seine
Australia (QLD2),NA,Lutjanus russellii,108,Lutjanidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Lutjanus semicinctus,1,Lutjanidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Lutjanus sp.,2,Lutjanidae,NA,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Lutjanus vitta,1,Lutjanidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
Mexico (ICML),NA,Ocyurus chrysurus,5,Lutjanidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,video
Australia (QLD2),NA,Symphorus nematophorus,6,Lutjanidae,hunting macrofauna (predator),NA,NA,NA,NA,1,Chordata,seine
USA (CA),San Diego,Lysmata californica,1,Lysmatidae,NA,NA,NA,NA,NA,0,Arthropoda,seine
