family,act,feed,troph,watercol,clim,body,notes
Acanthuridae,active,browsing on substrate,browsing herbivore,demersal,tropical,short and / or deep,
Acropomatidae,ambush,selective plankton feeding,planktivore;benthic invertivore,pelagic non-site attached,tropical,fusiform / normal,
Agonidae,ambush,hunting macrofauna (predator),benthic invertivore,benthic,boreal;subtropical;temperate,elongated,
Albulidae,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,tropical,fusiform / normal,
Ambassidae,ambush,selective plankton feeding,planktivore,demersal,subtropical,fusiform / normal,
Ammodytidae,ambush,selective plankton feeding,planktivore,pelagic site attached,polar;temperate,elongated,
Aplysiidae,active,grazing on aquatic plants,scraping herbivore,benthic,subtropical,elongated,
Ariidae,active,hunting macrofauna (predator),omnivore,benthic,tropical,elongated,
Atherinidae,active,hunting macrofauna (predator);selective plankton feeding;variable,benthic invertivore;planktivore;planktivore;benthic invertivore,pelagic site attached,subtropical;tropical,elongated,
Atherinopsidae,active,selective plankton feeding;variable,benthic invertivore;planktivore;planktivore;benthic invertivore,pelagic site attached,subtropical;temperate;temperate;tropical,elongated,
Aulorhynchidae,ambush,hunting macrofauna (predator);selective plankton feeding,planktivore;planktivore;benthic invertivore,benthopelagic;demersal;pelagic site attached,boreal;subtropical;temperate,elongated,
Aulostomidae,ambush,hunting macrofauna (predator),higher carnivore,pelagic site attached,tropical,elongated,
Balistidae,active,hunting macrofauna (predator);selective plankton feeding,benthic invertivore;higher carnivore,demersal;pelagic,tropical,short and / or deep,
Batrachoididae,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,subtropical;temperate,fusiform / normal,
Belonidae,active,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,temperate;tropical;tropical,elongated,
Blenniidae,ambush,grazing on aquatic plants;hunting macrofauna (predator);variable,benthic invertivore;omnivore;scraping herbivore,benthic,subtropical;subtropical;tropical;temperate;temperate;tropical;tropical,elongated;fusiform / normal,
Callionymidae,ambush,browsing on substrate;hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated,
Cancridae,active,hunting macrofauna (predator);variable,benthic invertivore;omnivore,benthic,boreal;subtropical;temperate;subtropical;temperate,crab,
Carangidae,active,hunting macrofauna (predator),benthic invertivore;higher carnivore;planktivore;higher carnivore,pelagic non-site attached,tropical,fusiform / normal;short and / or deep,
Carcharhinidae,active,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,tropical,fusiform / normal,
