sciName,name,act,feed,troph,watercol,body
Abudefduf saxatilis,Abudsaxa,active,variable,omnivore,demersal,short and / or deep
Acanthaluteres spilomelanurus,Acanspil,active,variable,omnivore,demersal,short and / or deep
Acanthogobius flavimanus,Acanflav,ambush,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal
Acanthopagrus australis,Acanaust,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Acanthurus coeruleus,Acancoer,active,browsing on substrate,browsing herbivore,demersal,short and / or deep
Acanthurus sp.,Acansp,active,browsing on substrate,browsing herbivore,demersal,short and / or deep
Acropoma japonicum,Acrojapo,ambush,selective plankton feeding,benthic invertivore;planktivore,pelagic non-site attached,fusiform / normal
Albula vulpes,Albuvulp,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Aldrichetta forsteri,Aldrfors,active,variable,omnivore,demersal,fusiform / normal
Aluterus scriptus,Alutscri,active,variable,omnivore,demersal;pelagic site attached,short and / or deep
Ambassis jacksoniensis,Ambajack,ambush,selective plankton feeding,planktivore,demersal,fusiform / normal
Ambassis marianus,Ambamari,ambush,selective plankton feeding,planktivore,demersal,fusiform / normal
Ambassis sp.,Ambasp,ambush,selective plankton feeding,planktivore,demersal,fusiform / normal
Amblygobius sp.,Amblsp,ambush,variable,omnivore,benthic,elongated;fusiform / normal
Ammodytes americanus,Ammoamer,ambush,selective plankton feeding,planktivore,pelagic site attached,elongated
Ammodytes hexapterus,Ammohexa,ambush,selective plankton feeding,planktivore,pelagic site attached,elongated
Ammodytes tobianus,Ammotobi,ambush,selective plankton feeding,planktivore,pelagic site attached,elongated
Anchoa delicatissima,Anchdeli,active,filtering plankton,planktivore,pelagic non-site attached,elongated
Anchoa mitchilli,Anchmitc,active,filtering plankton,planktivore,pelagic non-site attached,elongated
Anisotremus virginicus,Anisvirg,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,short and / or deep
Apeltes quadracus,Apelquad,active,variable,benthic invertivore,demersal,elongated;fusiform / normal
Aphanius fasciatus,Aphafasc,active,grazing on aquatic plants,omnivore,demersal,fusiform / normal
Apodichthys flavidus,Apodflav,active,browsing on substrate,omnivore,benthic,eel-like
Archosargus probatocephalus,Archprob,active,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal
Arenaeus cribrarius,Arencrib,active,variable,omnivore,benthic,crab
Arenigobius bifrenatus,Arenbifr,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated
Ariopsis felis,Ariofeli,active,hunting macrofauna (predator),omnivore,benthic,elongated
Arothron hispidus,Arothisp,active,browsing on substrate,benthic invertivore,demersal,short and / or deep
Arothron sp.,Arotsp,active,browsing on substrate;hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal;short and / or deep
Arothron stellatus,Arotstel,active,hunting macrofauna (predator),benthic invertivore,demersal,short and / or deep
Arrhamphus sclerolepis,Arrhscle,active,variable,omnivore,pelagic site attached,elongated
Artedius harringtoni,Arteharr,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated
Artedius lateralis,Artelate,ambush,hunting macrofauna (predator),higher carnivore,benthic,elongated
Atherina boyeri,Atheboye,active,hunting macrofauna (predator),benthic invertivore;planktivore,pelagic site attached,elongated
Atherina hepsetus,Atheheps,active,hunting macrofauna (predator),benthic invertivore;planktivore,pelagic site attached,elongated
Atherina presbyter,Athepres,active,selective plankton feeding,planktivore,pelagic site attached,elongated
Atherinella brasiliensis,Athebras,active,variable,benthic invertivore;planktivore,pelagic site attached,elongated
Atherinomorus endrachtensis,Atheendr,active,selective plankton feeding,planktivore,pelagic site attached,elongated
Atherinomorus vaigiensis,Athevaig,active,variable,benthic invertivore;planktivore,pelagic site attached,elongated
Atherinops affinis,Atheaffi,active,selective plankton feeding,planktivore,pelagic site attached,elongated
Atherinopsis californiensis,Athecali,active,variable,planktivore,pelagic site attached,elongated
Atherinosoma microstoma,Athemicr,active,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,elongated
Aulorhynchus flavidus,Auloflav,ambush,selective plankton feeding,benthic invertivore;planktivore,demersal;pelagic site attached,elongated
Aulostomus chinensis,Aulochin,ambush,hunting macrofauna (predator),higher carnivore,pelagic site attached,elongated
Bairdiella chrysoura,Bairchry,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Balistes vetula,Balivetu,active,hunting macrofauna (predator),benthic invertivore,demersal,short and / or deep
Bathygobius soporator,Bathsopo,ambush,hunting macrofauna (predator),omnivore,benthic,elongated
Blepsias cirrhosus,Blepcirr,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated
Boops boops,Boopboop,active,selective plankton feeding,omnivore,demersal,fusiform / normal
Brachyistius frenatus,Bracfren,active,hunting macrofauna (predator),benthic invertivore,demersal;pelagic site attached,fusiform / normal
Caesio sp.,Caessp,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Callinectes arcuatus,Callarcu,active,hunting macrofauna (predator),benthic invertivore,benthic,crab
Callinectes danae,Calldana,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,crab
Callinectes ornatus,Callorna,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,crab
Callinectes sapidus,Callsapi,active,variable,omnivore,benthic,crab
Callionymus lyra,Calllyra,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated
Cancer coronatus,Canccoro,active,hunting macrofauna (predator),benthic invertivore,benthic,crab
Cancer irroratus,Cancirro,active,variable,omnivore,benthic,crab
Canthidermis sufflamen,Cantsuff,active,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,short and / or deep
Carangoides fulvoguttatus,Carafulv,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,pelagic non-site attached,fusiform / normal
Caranx bartholomaei,Carabart,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,pelagic non-site attached,fusiform / normal;short and / or deep
Caranx latus,Caralatu,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,pelagic non-site attached,fusiform / normal
Caranx ruber,Cararube,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,pelagic non-site attached,fusiform / normal
Carcharhinus melanopterus,Carcmela,active,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,fusiform / normal
Carcinus maenas,Carcmaen,active,hunting macrofauna (predator),benthic invertivore,benthic,crab
Centropogon australis,Centaust,ambush,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Chaetodon auriga,Chaeauri,active,hunting macrofauna (predator),benthic invertivore,demersal,short and / or deep
Chasmodes saburrae,Chassabu,ambush,hunting macrofauna (predator),omnivore,benthic,elongated;fusiform / normal
Cheilodactylus variegatus,Cheivari,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Chelidonichthys kumu,Chelkumu,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated
Chilomycterus schoepfi,Chilscho,active,variable,benthic invertivore,demersal,short and / or deep
Chromis chromis,Chrochro,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Citharichthys sordidus,Cithsord,ambush,hunting macrofauna (predator),higher carnivore,benthic,fusiform / normal
Citharichthys stigmaeus,Cithstig,ambush,hunting macrofauna (predator),benthic invertivore,benthic,short and / or deep
Clevelandia ios,Clevios,ambush,variable,omnivore,benthic,fusiform / normal
Clupea harengus,Cluphare,active,variable,planktivore,pelagic non-site attached,fusiform / normal
Coris caudimacula,Coricaud,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Coris julis,Corijuli,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Coris pictoides,Coripict,active,variable,benthic invertivore;higher carnivore,demersal,fusiform / normal
Coris sp.,Corisp,active,variable,benthic invertivore;higher carnivore,demersal,elongated;fusiform / normal
Cottoidea sp.,Cottsp,ambush,hunting macrofauna (predator),higher carnivore,benthic,elongated;fusiform / normal
Cottus asper,Cottaspe,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,elongated
Cottus bairdi,Cottbair,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,elongated;fusiform / normal
Crangon crangon,Crancran,active,hunting macrofauna (predator),benthic invertivore,benthic,shrimp
Crangon septemspinosa,Cransept,active,hunting macrofauna (predator),benthic invertivore,benthic,shrimp
Crangon sp.,Cransp,active,hunting macrofauna (predator),benthic invertivore,benthic,shrimp
Ctenogobius boleosoma,Ctenbole,ambush,hunting macrofauna (predator),omnivore,benthic,fusiform / normal
Ctenogobius sagittula,Ctensagi,ambush,variable,omnivore,benthic,elongated
Culaea inconstans,Culainco,active,variable,benthic invertivore;planktivore,demersal,fusiform / normal
Cyclopterus lumpus,Cycllump,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,short and / or deep
Cymatogaster aggregata,Cymaaggr,active,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep
Cynoscion arenarius,Cynoaren,active,hunting macrofauna (predator),higher carnivore,demersal,fusiform / normal
Cynoscion nebulosus,Cynonebu,active,hunting macrofauna (predator),higher carnivore,demersal,fusiform / normal
Cyprinodon variegatus,Cyprvari,active,grazing on aquatic plants,omnivore,demersal,short and / or deep
Diagramma pictum,Diagpict,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Dicentrarchus labrax,Dicelabr,active,hunting macrofauna (predator),higher carnivore,demersal,fusiform / normal
Diodon hystrix,Diodhyst,active,variable,benthic invertivore,demersal,short and / or deep
Diplodus annularis,Diplannu,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Diplodus holbrookii,Diplholb,active,grazing on aquatic plants,omnivore,demersal,fusiform / normal
Diplodus puntazzo,Diplpunt,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Diplodus sargus,Diplsarg,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Diplodus vulgaris,Diplvulg,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Ditrema temminckii,Ditrtemm,active,hunting macrofauna (predator),benthic invertivore,demersal;pelagic site attached,fusiform / normal;short and / or deep
Echeneis naucrates,Echenauc,active,variable,benthic invertivore;higher carnivore,pelagic non-site attached,elongated
Echiichthys vipera,Echivipe,ambush,hunting macrofauna (predator),higher carnivore,benthic,elongated
Elops saurus,Elopsaur,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,elongated
Embiotoca jacksoni,Embijack,active,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep
Embiotoca lateralis,Embilate,active,hunting macrofauna (predator),benthic invertivore,demersal;pelagic site attached,short and / or deep
Embiotoca sp.,Embisp,active,variable,benthic invertivore;planktivore,demersal;pelagic site attached,fusiform / normal;short and / or deep
Embiotocidae sp.,Embisp.1,active,variable,benthic invertivore;planktivore,demersal;pelagic site attached,fusiform / normal;short and / or deep
Embiotocidae spp.,Embispp,active,variable,benthic invertivore;planktivore,demersal;pelagic site attached,fusiform / normal;short and / or deep
Engraulis ringens,Engrring,active,filtering plankton,planktivore,pelagic non-site attached,elongated
Enophrys bison,Enopbiso,ambush,hunting macrofauna (predator),higher carnivore,benthic,fusiform / normal
Entelurus aequoreus,Enteaequ,ambush,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,eel-like
Epinephelus coioides,Epincoio,ambush,hunting macrofauna (predator),higher carnivore,benthic,fusiform / normal
Epinephelus sp.,Epinsp,ambush,hunting macrofauna (predator),higher carnivore,demersal,fusiform / normal
Ethmidium maculatum,Ethmmacu,active,filtering plankton,planktivore,pelagic non-site attached,fusiform / normal
Etropus longimanus,Etrolong,ambush,hunting macrofauna (predator),benthic invertivore,benthic,short and / or deep
Eucinostomus argenteus,Euciarge,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Eucinostomus harengulus,Eucihare,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Eucinostomus melanopterus,Eucimela,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Eurypanopeus turgidus,Euryturg,active,browsing on substrate,omnivore,benthic,crab
Farfantepenaeus aztecus,Farfazte,active,variable,omnivore,benthic,shrimp
Farfantepenaeus californiensis,Farfcali,active,variable,omnivore,benthic,shrimp
Farfantepenaeus spp.,Farfspp,active,variable,omnivore,benthic,shrimp
Favonigobius exquisitus,Favoexqu,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal
Favonigobius gymnauchen,Favogymn,ambush,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal
Fistularia commersonii,Fistcomm,ambush,hunting macrofauna (predator),higher carnivore,demersal,elongated
Fundulus grandis,Fundgran,active,variable,omnivore,demersal,elongated
Fundulus heteroclitus,Fundhete,active,variable,omnivore,demersal,fusiform / normal
Fundulus majalis,Fundmaja,active,hunting macrofauna (predator),benthic invertivore,demersal,elongated
Fundulus parvipinnis,Fundparv,active,hunting macrofauna (predator),benthic invertivore,benthic,elongated
Fundulus similis,Fundsimi,active,variable,omnivore,demersal,elongated
Gadus chalcogrammus,Gaduchal,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Gadus morhua,Gadumorh,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Gasterosteus aculateus,Gastacul,active,variable,benthic invertivore;planktivore,demersal,elongated;fusiform / normal
Gasterosteus aculeatus,Gastacul.1,active,variable,benthic invertivore;planktivore,demersal,fusiform / normal
Gasterosteus wheatlandi,Gastwhea,active,variable,benthic invertivore;planktivore,demersal,elongated;fusiform / normal
Gerres cinereus,Gerrcine,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Gerres oyena,Gerroyen,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Gerres subfasciatus,Gerrsubf,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Girella tricuspidata,Giretric,active,grazing on aquatic plants,browsing herbivore,demersal,short and / or deep
Girella zebra,Girezebr,active,grazing on aquatic plants,browsing herbivore,demersal,short and / or deep
Gobiesox strumosus,Gobistru,ambush,hunting macrofauna (predator),benthic invertivore,demersal,elongated
Gobiidae sp.,Gobisp,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal
Gobiosoma bosc,Gobibosc,ambush,browsing on substrate,benthic invertivore,benthic,elongated;fusiform / normal
Gobiosoma sp.,Gobisp.1,ambush,browsing on substrate,benthic invertivore,benthic,elongated;fusiform / normal
Gobius geniporus,Gobigeni,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal
Gobius niger,Gobinige,ambush,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,fusiform / normal
Gobius sp.,Gobisp.2,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal
Gobiusculus flavescens,Gobiflav,ambush,selective plankton feeding,benthic invertivore;planktivore,benthic,elongated
Gymnapistes marmoratus,Gymnmarm,ambush,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Haemulon plumieri,Haemplum,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal;short and / or deep
Haemulon sciurus,Haemsciu,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Halichoeres bivittatus,Halibivi,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Halichoeres chloropterus,Halichlo,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Halichoeres garnoti,Haligarn,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Halichoeres semicinctus,Halisemi,active,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal
Halichoeres sp.,Halisp,active,variable,benthic invertivore,demersal,elongated;fusiform / normal
Halichoeres trimaculatus,Halitrim,active,variable,benthic invertivore,demersal,fusiform / normal
Harengula clupeola,Hareclup,active,selective plankton feeding,omnivore,pelagic non-site attached,fusiform / normal
Harengula jaguana,Harejagu,active,selective plankton feeding,planktivore,pelagic non-site attached,fusiform / normal
Helotes sexlineatus,Helosexl,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Hemigrapsus oregonensis,Hemioreg,active,variable,omnivore,benthic,crab
Hemilepidotus hemilepidotus,Hemihemi,ambush,hunting macrofauna (predator),higher carnivore,benthic,elongated
Hemiramphus robustus,Hemirobu,active,hunting macrofauna (predator),higher carnivore,pelagic site attached,elongated
Heteroclinus perspicillatus,Hetepers,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated
Heterostichus rostratus,Heterost,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated
Hexagrammos agrammus,Hexaagra,active,hunting macrofauna (predator),benthic invertivore,demersal,elongated;fusiform / normal
Hexagrammos decagrammus,Hexadeca,active,hunting macrofauna (predator),higher carnivore,demersal,fusiform / normal
Hexagrammos lagocephalus,Hexalago,active,hunting macrofauna (predator),higher carnivore,demersal,fusiform / normal
Hexagrammos otakii,Hexaotak,active,hunting macrofauna (predator),higher carnivore,demersal,elongated
Hippichthys penicillus,Hipppeni,ambush,selective plankton feeding,planktivore,demersal,eel-like
Hippocampus procerus,Hippproc,ambush,selective plankton feeding,planktivore,demersal,other
Hippocampus sp.,Hippsp,ambush,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,eel-like;other
Hippocampus whitei,Hippwhit,ambush,selective plankton feeding,planktivore,demersal,other
Hypomesus pretiosus,Hypopret,active,selective plankton feeding,benthic invertivore;planktivore,demersal,elongated
Hyporhamphus australis,Hypoaust,active,variable,omnivore,pelagic site attached,elongated
Hyporhamphus meeki,Hypomeek,active,variable,omnivore,pelagic site attached,fusiform / normal
Hyporhamphus regularis,Hyporegu,active,variable,omnivore,pelagic site attached,elongated;fusiform / normal
Hyporhamphus regularis ardelio,Hypoarde,active,variable,omnivore,pelagic site attached,elongated;fusiform / normal
Hyporhamphus rosae,Hyporosa,active,selective plankton feeding,planktivore,pelagic site attached,elongated;fusiform / normal
Hyporhamphus sp.,Hyposp,active,variable,omnivore,pelagic site attached,elongated;fusiform / normal
Hypsoblennius gentilis,Hypsgent,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated
Hypsoblennius sordidus,Hypssord,ambush,variable,omnivore,benthic,fusiform / normal
Hypsurus caryi,Hypscary,active,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,fusiform / normal;short and / or deep
Ilypnus gilberti,Ilypgilb,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal
Isacia conceptionis,Isacconc,active,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal;short and / or deep
Konosirus punctatus,Konopunc,active,selective plankton feeding,planktivore,pelagic non-site attached,fusiform / normal
