act,feed,troph,watercol,body,length,Site,habitat
1,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,fusiform / normal,72.97639796364074,AK,Seagrass
1,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,short and / or deep,87.48477363765015,AK,Unvegetated
0,hunting macrofauna (predator),benthic invertivore,benthic,elongated,59.79960943840946,Baja,Seagrass
0,hunting macrofauna (predator),planktivore,benthic,elongated,64.60012847571038,Baja,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,57.78552219453345,BC,Seagrass
1,hunting macrofauna (predator),higher carnivore,benthic,fusiform / normal,74.18032786885246,BC,Unvegetated
0,selective plankton feeding,omnivore,pelagic non-site attached,fusiform / normal,77.74394164860743,Brazil,Seagrass
0,hunting macrofauna (predator),omnivore,pelagic non-site attached,fusiform / normal,78.39704883376238,Brazil,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,69.2197121041855,CA,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,66.78712047455252,CA,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,54.51936602641466,CA2,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,pelagic site attached,short and / or deep,55.67725600687523,CA2,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,63.038086084215415,CA3,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,59.94765320893272,CA3,Unvegetated
0,grazing on aquatic plants,omnivore,benthic,crab,43.176414068165336,Chile,Seagrass
0,filtering plankton,planktivore,pelagic non-site attached,fusiform / normal,59.80163772691397,Chile,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,fusiform / normal,63.09912651895462,Croatia,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,fusiform / normal,63.69564140218379,Croatia,Unvegetated
0,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,elongated,50.44284449494408,DE,Unvegetated
1,hunting macrofauna (predator),omnivore,benthic,fusiform / normal,58.11359474734931,France,Seagrass
1,hunting macrofauna (predator),omnivore,benthic,fusiform / normal,51.39829594477999,France,Unvegetated
1,hunting macrofauna (predator),benthic invertivore,pelagic non-site attached,fusiform / normal,62.23422091283202,Korea,Seagrass
1,hunting macrofauna (predator),benthic invertivore,pelagic non-site attached,fusiform / normal,63.421878703703705,Korea,Unvegetated
1,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal,48.815445026178004,MA,Seagrass
1,hunting macrofauna (predator),benthic invertivore,benthic,short and / or deep,103.4090909090909,MA,Unvegetated
0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,60.67929397204819,NC,Seagrass
0,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,elongated,57.452277351769894,NC,Unvegetated
0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,74.9392742495946,NC2,Seagrass
1,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal,41.62640112025997,Norway,Seagrass
1,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal,35.827836249219594,Norway,Unvegetated
0,selective plankton feeding,planktivore,demersal,fusiform / normal,45.64347177219923,NSW1,Seagrass
0,browsing on substrate,scraping herbivore,benthic,shrimp,61.00950897919419,NSW1,Unvegetated
1,selective plankton feeding,planktivore,demersal,fusiform / normal,46.26299501965546,NSW2,Seagrass
1,selective plankton feeding,planktivore,demersal,fusiform / normal,46.25755793865363,NSW2,Unvegetated
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,63.24171878431316,OR,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,demersal;pelagic site attached,short and / or deep,58.99906476548062,OR,Unvegetated
