sciName,family,act,food,asp,tl,feed,troph,watercol,clim,body,snoutx,snouty,name
Abudefduf saxatilis,Pomacentridae,active,2.76,1.53883,555,variable,omnivore,demersal,tropical,short and / or deep,54,234,Abudsaxa
Acanthaluteres spilomelanurus,Monacanthidae,active,nan,1.9078,554.5,variable,omnivore,demersal,subtropical,short and / or deep,nan,nan,Acanspil
Acanthogobius flavimanus,Gobiidae,ambush,3.07,0.7004875,593,hunting macrofauna (predator),benthic invertivore,benthic,subtropical;temperate,fusiform / normal,20,186,Acanflav
Acanthopagrus australis,Sparidae,active,3.1,1.50486,484,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,60,195,Acanaust
Acanthurus coeruleus,Acanthuridae,active,2,3.48929,514,browsing on substrate,browsing herbivore,demersal,tropical,short and / or deep,57,279,Acancoer
Acanthurus sp.,Acanthuridae,active,,,,browsing on substrate,browsing herbivore,demersal,tropical,short and / or deep,,,Acansp
Acropoma japonicum,Acropomatidae,ambush,3.26,1.90447,569,selective plankton feeding,benthic invertivore;planktivore,pelagic non-site attached,tropical,fusiform / normal,58,192,Acrojapo
Albula vulpes,Albulidae,active,3.66,2.409305,575,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,tropical,fusiform / normal,34,130,Albuvulp
Aldrichetta forsteri,Mugilidae,active,2.51,1.99305,602,variable,omnivore,demersal,subtropical,fusiform / normal,nan,nan,Aldrfors
Aluterus scriptus,Monacanthidae,active,3.02,0.864597,558,variable,omnivore,demersal;pelagic site attached,tropical,short and / or deep,42,218,Alutscri
Ambassis jacksoniensis,Ambassidae,ambush,3.1,nan,nan,selective plankton feeding,planktivore,demersal,subtropical,fusiform / normal,nan,nan,Ambajack
Ambassis marianus,Ambassidae,ambush,nan,nan,nan,selective plankton feeding,planktivore,demersal,subtropical,fusiform / normal,nan,nan,Ambamari
Ambassis sp.,Ambassidae,ambush,,,,selective plankton feeding,planktivore,demersal,subtropical,fusiform / normal,,,Ambasp
Amblygobius sp.,Gobiidae,ambush,,,,variable,omnivore,benthic,subtropical;temperate;tropical,elongated;fusiform / normal,,,Amblsp
Ammodytes americanus,Ammodytidae,ambush,3.33,nan,nan,selective plankton feeding,planktivore,pelagic site attached,temperate,elongated,nan,nan,Ammoamer
Ammodytes hexapterus,Ammodytidae,ambush,3.28,1.35361,577,selective plankton feeding,planktivore,pelagic site attached,polar,elongated,30,83,Ammohexa
Ammodytes tobianus,Ammodytidae,ambush,3.16,1.0739385,559.5,selective plankton feeding,planktivore,pelagic site attached,temperate,elongated,51,263,Ammotobi
Anchoa delicatissima,Engraulidae,active,nan,1.93524,577,filtering plankton,planktivore,pelagic non-site attached,subtropical;temperate,elongated,27,210,Anchdeli
Anchoa mitchilli,Engraulidae,active,3.46,3.39229,613,filtering plankton,planktivore,pelagic non-site attached,tropical,elongated,13,134,Anchmitc
Anisotremus virginicus,Haemulidae,active,3.44,1.77369,595.5,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,tropical,short and / or deep,nan,nan,Anisvirg
Apeltes quadracus,Gasterosteidae,active,3.23,1.34716,597,variable,benthic invertivore,demersal,temperate,elongated;fusiform / normal,nan,nan,Apelquad
Aphanius fasciatus,Cyprinodontidae,active,2.66,1.10763,546,grazing on aquatic plants,omnivore,demersal,subtropical,fusiform / normal,nan,nan,Aphafasc
Aplysia californica,Aplysiidae,active,,,,grazing on aquatic plants,scraping herbivore,benthic,subtropical,elongated,,,Aplycali
Apodichthys flavidus,Pholidae,active,3.55,nan,nan,browsing on substrate,omnivore,benthic,boreal;subtropical;temperate,eel-like,nan,nan,Apodflav
