sciName,name,act,feed,troph,watercol,body
Acanthaluteres spilomelanurus,Acanspil,active,variable,omnivore,demersal,short and / or deep
Acanthogobius flavimanus,Acanflav,ambush,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal
Acanthopagrus australis,Acanaust,active,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal
Acropoma japonicum,Acrojapo,ambush,selective plankton feeding,benthic invertivore;planktivore,pelagic non-site attached,fusiform / normal
Albula vulpes,Albuvulp,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Aldrichetta forsteri,Aldrfors,active,variable,omnivore,demersal,fusiform / normal
Ambassis jacksoniensis,Ambajack,ambush,selective plankton feeding,planktivore,demersal,fusiform / normal
Ambassis marianus,Ambamari,ambush,selective plankton feeding,planktivore,demersal,fusiform / normal
Ambassis sp.,Ambasp,ambush,selective plankton feeding,planktivore,demersal,fusiform / normal
Ammodytes americanus,Ammoamer,ambush,selective plankton feeding,planktivore,pelagic site attached,elongated
Ammodytes hexapterus,Ammohexa,ambush,selective plankton feeding,planktivore,pelagic site attached,elongated
Ammodytes tobianus,Ammotobi,ambush,selective plankton feeding,planktivore,pelagic site attached,elongated
Anchoa delicatissima,Anchdeli,active,filtering plankton,planktivore,pelagic non-site attached,elongated
Anchoa mitchilli,Anchmitc,active,filtering plankton,planktivore,pelagic non-site attached,elongated
Apeltes quadracus,Apelquad,active,variable,benthic invertivore,demersal,elongated;fusiform / normal
Aphanius fasciatus,Aphafasc,active,grazing on aquatic plants,omnivore,demersal,fusiform / normal
Apodichthys flavidus,Apodflav,active,browsing on substrate,omnivore,benthic,eel-like
Archosargus probatocephalus,Archprob,active,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal
Arenaeus cribrarius,Arencrib,active,variable,omnivore,benthic,crab
Arenigobius bifrenatus,Arenbifr,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated
Arothron hispidus,Arothisp,active,browsing on substrate,benthic invertivore,demersal,short and / or deep
Arothron stellatus,Arotstel,active,hunting macrofauna (predator),benthic invertivore,demersal,short and / or deep
Arrhamphus sclerolepis,Arrhscle,active,variable,omnivore,pelagic site attached,elongated
Artedius harringtoni,Arteharr,ambush,hunting macrofauna (predator),benthic invertivore,benthic,elongated
Artedius lateralis,Artelate,ambush,hunting macrofauna (predator),higher carnivore,benthic,elongated
Atherina boyeri,Atheboye,active,hunting macrofauna (predator),benthic invertivore;planktivore,pelagic site attached,elongated
Atherina hepsetus,Atheheps,active,hunting macrofauna (predator),benthic invertivore;planktivore,pelagic site attached,elongated
