date,time,habitat,duration,present
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,1,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,1
20161104,1330,seagrass,24,0
20161104,1330,seagrass,24,0
20161104,1330,seagrass,24,0
20161104,1330,seagrass,24,0
20161104,1330,seagrass,24,0
20161104,1330,seagrass,24,0
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,1,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,1
20161104,1400,sand,24,0
20161104,1400,sand,24,0
20161104,1400,sand,24,0
20161104,1400,sand,24,0
20161104,1400,sand,24,0
20161104,1400,sand,24,0
20161104,1400,sand,24,0
20161104,1400,sand,24,0
20161104,1400,sand,24,0
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,1
20161105,1100,seagrass,1,0
20161105,1100,seagrass,1,0
20161105,1100,seagrass,1,0
20161105,1100,seagrass,1,0
20161105,1100,seagrass,1,0
20161105,1100,seagrass,1,0
20161105,1100,seagrass,1,0
20161105,1100,seagrass,24,1
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1100,seagrass,24,0
20161105,1130,sand,1,1
20161105,1130,sand,1,1
20161105,1130,sand,1,1
20161105,1130,sand,1,1
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,1,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161105,1130,sand,24,0
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,1
20161106,1045,seagrass,1,0
20161106,1045,seagrass,1,0
20161106,1045,seagrass,1,0
20161106,1045,seagrass,1,0
20161106,1045,seagrass,1,0
20161106,1045,seagrass,1,0
20161106,1045,seagrass,1,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,seagrass,24,0
20161106,1045,sand,1,1
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,1,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161106,1045,sand,24,0
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,1
20161107,1030,seagrass,1,0
20161107,1030,seagrass,1,0
20161107,1030,seagrass,1,0
20161107,1030,seagrass,1,0
20161107,1030,seagrass,1,0
20161107,1030,seagrass,1,0
20161107,1030,seagrass,1,0
20161107,1030,seagrass,1,0
20161107,1030,seagrass,1,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1030,seagrass,24,0
20161107,1100,sand,1,1
20161107,1100,sand,1,1
20161107,1100,sand,1,1
20161107,1100,sand,1,1
20161107,1100,sand,1,1
20161107,1100,sand,1,1
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
20161107,1100,sand,1,0
