Site.Name,Country,Lat,Long,Seagrass.Unveg,Date,Time,Temp,Sal,Measurement.Number,Notes,Institution,dt
Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,2016-07-07,NA,11.8,31.16,2,,NA,NA
Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,2016-07-07,NA,11.8,31.19,3,,NA,NA
Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,2016-07-08,NA,12.9,29.83,1,,NA,NA
Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,2016-07-08,NA,12.8,29.84,2,,NA,NA
Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,2016-07-08,NA,12.7,30.08,3,,NA,NA
Choked Sandspit,Canada (BC),51.68156,-128.11427,Unveg,2016-07-05,NA,12,31.4,1,,NA,NA
Choked Sandspit,Canada (BC),51.68156,-128.11427,Unveg,2016-07-05,NA,12,31.22,2,,NA,NA
Choked Sandspit,Canada (BC),51.68156,-128.11427,Unveg,2016-07-05,NA,11.9,31.18,3,,NA,NA
Choked Sandspit,Canada (BC),51.681408,-128.114073,Unveg,2016-07-06,NA,12.5,30.73,1,,NA,NA
Choked Sandspit,Canada (BC),51.681408,-128.114073,Unveg,2016-07-06,NA,12.4,30.83,2,,NA,NA
Choked Sandspit,Canada (BC),51.681408,-128.114073,Unveg,2016-07-06,NA,12.4,30.82,3,,NA,NA
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,2016-07-07,NA,12.4,30.1,1,,NA,NA
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,2016-07-07,NA,12.4,30.13,2,,NA,NA
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,2016-07-07,NA,12.4,30.16,3,,NA,NA
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,2016-07-08,NA,13.7,26.21,1,,NA,NA
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,2016-07-08,NA,13.6,26.45,2,,NA,NA
Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,2016-07-08,NA,13.6,26.51,3,,NA,NA
CR-B-SvetiDuh,Croatia,44.20603,15.47262,Seagrass,2016-07-01,NA,21,19,1," at all sites  temp and sal taken before the sein netting, temp with regular thermometer, salinity with refractometer ",NA,NA
CR-B-SvetiDuh,Croatia,44.20603,15.47262,Seagrass,2016-07-01,NA,22,32,2,,NA,NA
CR-B-SvetiDuh,Croatia,44.20603,15.47262,Seagrass,2016-07-01,NA,22.5,32,3,,NA,NA
CR-B-SvetiDuh,Croatia,44.20628,15.47166,Seagrass,2016-07-01,NA,21.5,20,1,1= at 10m distance from shore and 30 cm above bottom,NA,NA
CR-B-SvetiDuh,Croatia,44.20628,15.47166,Seagrass,2016-07-01,NA,22.5,30,2,2= at 30 m distance from shore and 30 cm above bottom,NA,NA
CR-B-SvetiDuh,Croatia,44.20628,15.47166,Seagrass,2016-07-02,NA,22.5,30,3,3= at 60 m distance from shore and 30 cm above bottom,NA,NA
CR-B-SvetiDuh,Croatia,44.20671,15.47138,Seagrass,2016-07-01,NA,22,20,1,,NA,NA
CR-B-SvetiDuh,Croatia,44.20671,15.47138,Seagrass,2016-07-01,NA,22,21,2,,NA,NA
CR-B-SvetiDuh,Croatia,44.20671,15.47138,Seagrass,2016-07-02,NA,22,21,3,,NA,NA
CR-B-SvetiDuh,Croatia,44.20323,15.47232,Unveg,2016-07-01,NA,21.5,21,1,,NA,NA
CR-B-SvetiDuh,Croatia,44.20323,15.47232,Unveg,2016-07-01,NA,22,21,2,,NA,NA
CR-B-SvetiDuh,Croatia,44.20323,15.47232,Unveg,2016-07-01,NA,22,21,3,,NA,NA
CR-B-SvetiDuh,Croatia,44.20264,15.47251,Unveg,2016-07-01,NA,22,18,1,,NA,NA
CR-B-SvetiDuh,Croatia,44.20264,15.47251,Unveg,2016-07-01,NA,22,17,2,,NA,NA
CR-B-SvetiDuh,Croatia,44.20264,15.47251,Unveg,2016-07-01,NA,22,18,3,,NA,NA
CR-B-SvetiDuh,Croatia,44.20182,15.47361,Unveg,2016-07-01,NA,22,18,1,,NA,NA
CR-B-SvetiDuh,Croatia,44.20182,15.47361,Unveg,2016-07-01,NA,22,15,2,,NA,NA
CR-B-SvetiDuh,Croatia,44.20182,15.47361,Unveg,2016-07-01,NA,22,17,3,,NA,NA
Dorothy Cove,USA (MA),42.41978,-70.91522,Seagrass,2016-06-07,NA,16,32,1,,NA,NA
Dorothy Cove,USA (MA),42.41978,-70.91522,Seagrass,2016-06-07,NA,16,32,2,,NA,NA
Dorothy Cove,USA (MA),42.41978,-70.91522,Seagrass,2016-06-07,NA,15.5,32,3,,NA,NA
Dorothy Cove,USA (MA),42.41986,-70.91506,Unveg,2016-06-07,NA,15,32,1,,NA,NA
Dorothy Cove,USA (MA),42.41986,-70.91506,Unveg,2016-06-07,NA,15,31,2,,NA,NA
Dorothy Cove,USA (MA),42.41986,-70.91506,Unveg,2016-06-07,NA,15,30,3,,NA,NA
Dorothy Cove,USA (MA),42.42026,-70.91574,Seagrass,2016-06-09,NA,10.5,31,1,,NA,NA
Dorothy Cove,USA (MA),42.42026,-70.91574,Seagrass,2016-06-09,NA,11,32,2,,NA,NA
Dorothy Cove,USA (MA),42.42026,-70.91574,Seagrass,2016-06-09,NA,10.5,32,3,,NA,NA
Dorothy Cove,USA (MA),42.42044,-70.91594,Unveg,2016-06-09,NA,11,32,1,,NA,NA
Dorothy Cove,USA (MA),42.42044,-70.91594,Unveg,2016-06-09,NA,11,31,2,,NA,NA
Dorothy Cove,USA (MA),42.42044,-70.91594,Unveg,2016-06-09,NA,11,31,3,,NA,NA
Dorothy Cove,USA (MA),42.42057,-70.91625,Unveg,2016-06-22,NA,12.5,30,1,,NA,NA
Dorothy Cove,USA (MA),42.42057,-70.91625,Unveg,2016-06-22,NA,12,31,2,,NA,NA
Dorothy Cove,USA (MA),42.42057,-70.91625,Unveg,2016-06-22,NA,12.5,32,3,,NA,NA
Dorothy Cove,USA (MA),42.42046,-70.91641,Seagrass,2016-06-22,NA,12.5,33,1,,NA,NA
Dorothy Cove,USA (MA),42.42046,-70.91641,Seagrass,2016-06-22,NA,13,31,2,,NA,NA
Dorothy Cove,USA (MA),42.42046,-70.91641,Seagrass,2016-06-22,NA,12.5,31,3,,NA,NA
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,2017-03-08,NA,26.4,33.4,1,,NA,NA
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,2017-03-08,NA,26.4,33.6,2,,NA,NA
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,2017-03-08,NA,26.3,33.6,3,,NA,NA
Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,2017-03-08,NA,26.1,33.3,1,,NA,NA
Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,2017-03-08,NA,26.2,33.4,2,,NA,NA
Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,2017-03-08,NA,26.1,33.5,3,,NA,NA
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,2017-03-09,NA,26.8,34.6,1,,NA,NA
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,2017-03-09,NA,26.8,34.5,2,,NA,NA
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,2017-03-09,NA,26.8,34.5,3,,NA,NA
Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,2017-03-09,NA,26.9,34,1,,NA,NA
Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,2017-03-09,NA,27,34.1,2,,NA,NA
Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,2017-03-09,NA,26.8,34,3,,NA,NA
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,2017-03-10,NA,27.3,34.4,1,,NA,NA
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,2017-03-10,NA,27.3,34.4,2,,NA,NA
Praia do Engenho,Brazil,-23.78863,-45.36364,Seagrass,2017-03-10,NA,27.3,34.5,3,,NA,NA
Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,2017-03-10,NA,27.8,33.1,1,,NA,NA
Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,2017-03-10,NA,27.9,32.9,2,,NA,NA
Praia do Barreiro,Brazil,-23.762,-45.34991,Unveg,2017-03-10,NA,28,32.7,3,,NA,NA
Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,2016-11-15,NA,23.5,28.25,1,Physical data averaged over an hour using a LOBO data sonde,NA,NA
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,2016-11-15,NA,23.5,28.25,1,Physical data averaged over an hour using a LOBO data sonde,NA,NA
Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,2016-11-17,NA,21.55,27.67,1,Physical data averaged over an hour using a LOBO data sonde,NA,NA
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,2016-11-17,NA,21.55,27.67,1,Physical data averaged over an hour using a LOBO data sonde,NA,NA
Harbor Branch,USA (FL),27.53546,-80.347016,Unveg,2016-11-21,NA,20.5,28.5,1,Physical data averaged over an hour using a LOBO data sonde,NA,NA
Harbor Branch,USA (FL),27.536592,-80.34928,Seagrass,2016-11-21,NA,20.5,28.5,1,Physical data averaged over an hour using a LOBO data sonde,NA,NA
Oso Bay,USA (TX),27.42443,-97.19447,Unveg,2016-07-07,NA,28,27,1,,NA,NA
Oso Bay,USA (TX),27.42446,-97.19337,Seagrass,2016-07-07,NA,27,30,1,,NA,NA
Oso Bay,USA (TX),27.42443,-97.19447,Unveg,2016-07-14,NA,27,34,2,,NA,NA
Oso Bay,USA (TX),27.42446,-97.19337,Seagrass,2016-07-14,NA,28,35,2,,NA,NA
Oso Bay,USA (TX),27.42443,-97.19447,Unveg,2016-07-20,NA,30,35,3,,NA,NA
Oso Bay,USA (TX),27.42466,-97.19337,Seagrass,2016-07-20,NA,30,37,3,,NA,NA
Laguna Madre,USA (TX),27.37981,-97.17288,Unveg,2016-07-27,NA,28,37,1,,NA,NA
Laguna Madre,USA (TX),27.37951,-97.17278,Seagrass,2016-07-27,NA,29,39,1,,NA,NA
Laguna Madre,USA (TX),27.37983,-97.17288,Unveg,2016-08-03,NA,29,40,2,,NA,NA
Laguna Madre,USA (TX),27.37951,-97.17278,Seagrass,2016-08-03,NA,28,40,2,,NA,NA
Laguna Madre,USA (TX),27.37984,-97.17288,Unveg,2016-08-10,NA,26,40,3,,NA,NA
Laguna Madre,USA (TX),27.37951,-97.17278,Seagrass,2016-08-10,NA,26,40,3,,NA,NA
Aransas Pass,USA (TX),27.53477,-97.06673,Unveg,2016-08-23,NA,28,36,1,,NA,NA
Aransas Pass,USA (TX),27.53467,-97.06697,Seagrass,2016-08-23,NA,28,35,1,,NA,NA
Aransas Pass,USA (TX),27.53477,-97.06673,Unveg,2016-09-01,NA,28,32,2,,NA,NA
Aransas Pass,USA (TX),27.53467,-97.06697,Seagrass,2016-09-01,NA,28,34,2,,NA,NA
Aransas Pass,USA (TX),27.53477,-97.06673,Unveg,2016-09-09,NA,28,30,3,,NA,NA
Aransas Pass,USA (TX),27.53467,-97.06697,Seagrass,2016-09-09,NA,28,30,3,,NA,NA
NC,USA (NC),34.69099,-76.62199,Seagrass,2016-08-15,NA,34.3,34,1,,NA,NA
NC,USA (NC),34.69099,-76.62199,Seagrass,2016-08-15,NA,33.8,34,2,,NA,NA
NC,USA (NC),34.69099,-76.62199,Seagrass,2016-08-15,NA,33.3,34,3,,NA,NA
