,Site.Name,Country,Lat,Long,Seagrass.Unveg,Date,Time,Temp,Sal,Measurment.Number,Notes
43,Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161205,600,24,35,1,
44,Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161205,600,24,35,2,
45,Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161205,600,25,35,3,
46,Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161205,615,24,34,1,
47,Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161205,615,25,35,2,
48,Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161205,615,25,34,3,
49,Choked Pocket,Canada (BC),51.67638,-128.12363,Seagrass,20160705,827,12.1,31.19,1,
50,Choked Pocket,Canada (BC),51.67638,-128.12363,Seagrass,20160705,827,12,31.23,2,
51,Choked Pocket,Canada (BC),51.67638,-128.12363,Seagrass,20160705,827,12,31.24,3,
52,Choked Pocket,Canada (BC),51.676475,-128.123739,Seagrass,20160706,1028,12.1,31,1,
53,Choked Pocket,Canada (BC),51.676475,-128.123739,Seagrass,20160706,1028,11.6,31.05,2,
54,Choked Pocket,Canada (BC),51.676475,-128.123739,Seagrass,20160706,1028,11.5,31.07,3,
55,Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160707,1049,11.9,31.16,1,
56,Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160707,1049,11.8,31.16,2,
57,Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160707,1049,11.8,31.19,3,
58,Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160708,1035,12.9,29.83,1,
59,Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160708,1035,12.8,29.84,2,
60,Choked Pocket,Canada (BC),51.681428,-128.114127,Seagrass,20160708,1035,12.7,30.08,3,
61,Choked Sandspit,Canada (BC),51.68156,-128.11427,Unveg,20160705,845,12,31.4,1,
62,Choked Sandspit,Canada (BC),51.68156,-128.11427,Unveg,20160705,845,12,31.22,2,
63,Choked Sandspit,Canada (BC),51.68156,-128.11427,Unveg,20160705,845,11.9,31.18,3,
64,Choked Sandspit,Canada (BC),51.681408,-128.114073,Unveg,20160706,920,12.5,30.73,1,
65,Choked Sandspit,Canada (BC),51.681408,-128.114073,Unveg,20160706,920,12.4,30.83,2,
66,Choked Sandspit,Canada (BC),51.681408,-128.114073,Unveg,20160706,920,12.4,30.82,3,
67,Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160707,915,12.4,30.1,1,
68,Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160707,915,12.4,30.13,2,
69,Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160707,915,12.4,30.16,3,
70,Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160708,940,13.7,26.21,1,
71,Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160708,940,13.6,26.45,2,
72,Choked Sandspit,Canada (BC),51.676464,-128.12368,Unveg,20160708,940,13.6,26.51,3,
73,CR-B-SvetiDuh,Croatia,44.20603,15.47262,Seagrass,20160701,630,21,19,1," at all sites  temp and sal taken before the sein netting, temp with regular thermometer, salinity with refractometer "
74,CR-B-SvetiDuh,Croatia,44.20603,15.47262,Seagrass,20160701,630,22,32,2,
75,CR-B-SvetiDuh,Croatia,44.20603,15.47262,Seagrass,20160701,630,22.5,32,3,
76,CR-B-SvetiDuh,Croatia,44.20628,15.47166,Seagrass,20160701,645,21.5,20,1,1= at 10m distance from shore and 30 cm above bottom
77,CR-B-SvetiDuh,Croatia,44.20628,15.47166,Seagrass,20160701,645,22.5,30,2,2= at 30 m distance from shore and 30 cm above bottom
78,CR-B-SvetiDuh,Croatia,44.20628,15.47166,Seagrass,20160702,645,22.5,30,3,3= at 60 m distance from shore and 30 cm above bottom
79,CR-B-SvetiDuh,Croatia,44.20671,15.47138,Seagrass,20160701,700,22,20,1,
80,CR-B-SvetiDuh,Croatia,44.20671,15.47138,Seagrass,20160701,700,22,21,2,
81,CR-B-SvetiDuh,Croatia,44.20671,15.47138,Seagrass,20160702,700,22,21,3,
82,CR-B-SvetiDuh,Croatia,44.20323,15.47232,Unveg,20160701,715,21.5,21,1,
83,CR-B-SvetiDuh,Croatia,44.20323,15.47232,Unveg,20160701,715,22,21,2,
84,CR-B-SvetiDuh,Croatia,44.20323,15.47232,Unveg,20160701,715,22,21,3,
85,CR-B-SvetiDuh,Croatia,44.20264,15.47251,Unveg,20160701,730,22,18,1,
86,CR-B-SvetiDuh,Croatia,44.20264,15.47251,Unveg,20160701,730,22,17,2,
87,CR-B-SvetiDuh,Croatia,44.20264,15.47251,Unveg,20160701,730,22,18,3,
88,CR-B-SvetiDuh,Croatia,44.20182,15.47361,Unveg,20160701,745,22,18,1,
89,CR-B-SvetiDuh,Croatia,44.20182,15.47361,Unveg,20160701,745,22,15,2,
90,CR-B-SvetiDuh,Croatia,44.20182,15.47361,Unveg,20160701,745,22,17,3,
91,Dorothy Cove,USA (MA),42.41978,-70.91522,Seagrass,20160607,730,16,32,1,
92,Dorothy Cove,USA (MA),42.41978,-70.91522,Seagrass,20160607,730,16,32,2,
93,Dorothy Cove,USA (MA),42.41978,-70.91522,Seagrass,20160607,730,15.5,32,3,
94,Dorothy Cove,USA (MA),42.41986,-70.91506,Unveg,20160607,735,15,32,1,
95,Dorothy Cove,USA (MA),42.41986,-70.91506,Unveg,20160607,735,15,31,2,
