"Country","Site","meanLat","meanLong","pop","pop30"
"Australia (NSW)","NSW2",-32.380278,152.508889,40.6303520202637,14.7329587340355
"Australia (NSW1.1)","NSW4",-35.09903,150.57948,68.1741333007812,37.5182528793812
"Australia (NSW1.2)","NSW3",-33.84018,151.25313,3565.70678710938,1963.13501739502
"Australia (NSW2)","NSW1",-30.505112,153.023764,151.959442138672,94.4728927612305
"Australia (QLD)","QLD2",-20.01884,148.250085,3.46200060844421,19.4756081700325
"Australia (QLD2)","QLD3",-25.850707,152.9822625,4.95413494110107,4.6072880923748
"Australia (QLD3)","QLD4",-27.494748,153.3970614,15.98499584198,308.508644783497
"Australia (QLD4)","QLD1",-16.75547,145.973255,96.5957870483398,50.1354552507401
"Australia (VIC)","VIC",-38.17549067,144.7146057,79.8102645874023,195.531628926595
"Belize","Belize",16.80254722,-88.08194444,15.5998067855835,15.5998072624207
"Brazil","Brazil",-23.77087333,-45.35448667,147.273818969727,150.867063140869
"Canada (BC)","BC",51.67889333,-128.118861,0.00493074953556061,0.00396916894242167
"Canada (QC)","QC",49.0885025,-68.3224425,49.9056434631348,63.7941770950953
"Chile","Chile",-30.2959268,-71.6067784,79.6671295166016,122.881538391113
"Croatia","Croatia",44.20446025,15.47277313,130.726013183594,83.2291551589966
"France","France",43.447124,3.666644,442.042114257812,405.817456054688
"India","India",10.06845,73.63358,1322.63647460938,1322.63647460938
"Ireland","Ireland",54.5282665,-5.5733915,497.326446533203,361.025109608968
"Italy","Italy",43.06767175,9.8312325,20.0230388641357,20.0230388641357
"Korea","Korea",34.72863333,128.6047,529.583374023438,577.531616210938
"Mexico (BN)","Baja",31.75306775,-116.6254988,630.11669921875,145.669770717621
"Mexico (ICML)","Yuca2",20.834515,-86.876505,26.5116081237793,95.7580858866374
"Mexico (ICML2)","Yuca1",19.82714,-87.45461,6.47607374191284,1.68654068512842
"Norway","Norway",67.214334,15.007534,29.7589206695557,19.21218957901
"Panama","Panama",9.351713,-82.257695,93.1341552734375,44.1158075332642
"USA (AK)","AK",58.60856,-134.931805,0.177877709269524,0.610125739559797
"USA (CA)","CA",32.76524175,-117.2465335,1301.59533691406,1988.44506835938
"USA (CA2)","CA2",35.3498195,-120.8443089,76.7124176025391,52.0898760855198
"USA (CA3)","CA3",36.809972,-121.7826685,571.930480957031,332.542655944824
"USA (DE)","DE",38.472539,-75.9491,8.70153617858887,27.6239516735077
"USA (FL)","FL",27.536026,-80.348148,292.196197509766,295.211433172226
"USA (MA)","MA",42.420327,-70.915676,2111.6513671875,1554.21147155762
"USA (NC)","NC",34.69075,-76.62222,186.834320068359,133.287974675496
"USA (NC2)","NC2",34.7004,-76.8335,194.766555786133,120.613403701782
"USA (OR)","OR",43.315198,-124.3206435,77.851806640625,41.6635346412659
"USA (TX)","TX",27.57701933,-97.20710267,152.865295410156,173.718697958315
"USA (VA)","VA",37.215796,-76.392675,819.271240234375,228.353343963623
"USA (VA2)","VA2",37.68397667,-75.866725,30.1794910430908,41.97722752889
"USA (WA)","WA",47.34852222,-122.3248889,1050.12231445312,590.781936645508
"USA (WA2)","WA2",48.48532472,-123.07541,38.538703918457,363.776407241821
"Wales","Wales",52.9420175,-4.565145,41.2247619628906,68.7742771148682
