"site","catch_min","catch_mean","catch_max"
"AK",19.6458586383826,254.847672471927,490.049486305471
"BC",7.57205528435966,54.3899255386802,101.207795793001
"Belize",27.1656729779266,289.736769704497,433.365478270574
"Brazil",1197.67353780178,1400.91622849369,1604.1589191856
"CA",519.990476507022,519.990476507022,519.990476507022
"CA2",76.3102517014375,144.192244973967,212.074238246497
"CA3",272.715959922744,518.913141189939,765.110322457133
"Chile",109.218148269121,398.597005487043,687.975862704964
"Croatia",0.305920587791274,358.774363173562,717.242805759333
"DE",1.27397209275523,473.637561965721,1310.12027973066
"FL",514.525894810871,1381.96181516807,2249.39773552527
"France",0.266636498020234,889.609619163426,2333.11382460454
"India",988.607069596844,988.607069596844,988.607069596844
"Ireland",26.7439717815974,73.252647943281,119.761324104965
"Italy",227.763617006981,945.272251369508,1662.78088573203
"Korea",6298.7985950627,6883.75864297009,7468.71869087749
"MA",0.29234008252639,864.449096952059,1910.68208356591
"NC",1526.64270476606,1625.53818202501,1724.43365928396
"NC2",693.939094215799,1150.47967898062,1607.02026374544
"Norway",6.98224647660486,6.98224647660486,6.98224647660486
"NSW1",1.72201906667927e-05,291.321664943855,557.186460955272
"NSW2",359.686929024381,460.24943655861,560.81194409284
"NSW3",440.336297321101,440.336297321101,440.336297321101
"NSW4",0.726329361796408,144.641628683261,355.514349226224
"OR",174.650647180909,637.792331117857,1007.23360299414
"Panama",196.514105322171,196.514105322171,196.514105322171
"QC",5.2797119988022,33.643708755625,53.3951300476726
"QLD1",80.4807749091226,80.4807749091226,80.4807749091226
"QLD2",2.63027563417279,2.63027563417279,2.63027563417279
"QLD3",94.7690785644155,94.7690785644155,94.7690785644155
"QLD4",2.8361247286862,27.9189999751929,53.0018752216996
"TX",1193.5899084903,1778.2155221397,2362.84113578909
"VA",2.34035950625617e-05,922.148775041178,1844.29752667876
"VA2",1844.29752667876,1949.18937352937,2054.08122037997
"VIC",0.946923171725309,19.3385412791582,52.602709877829
"WA",31.1245889103479,148.68352242827,243.199417048288
"WA2",761.442552893834,1129.09578485151,1496.74901680918
"Wales",21.9241801178856,65.9416236963805,109.959067274876
"Yuca1",73.261869526189,971.965556011586,1487.39531749587
"Yuca2",42.2194137801197,1912.77446685318,3237.24304453042
