#YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2016,5,3,2,30,1.26,15.38,6.69,187,17.4
2016,5,3,3,0,1.44,14.29,7.33,195,17.4
2016,5,3,3,30,1.37,14.29,7.07,197,17.4
2016,5,3,4,0,1.38,14.29,6.78,195,17.3
2016,5,3,4,30,1.44,14.29,7.28,184,17.3
2016,5,3,5,0,1.38,13.33,7.04,204,17.3
2016,5,3,5,30,1.38,14.29,7.43,185,17.3
2016,5,3,6,0,1.28,14.29,6.71,191,17.3
2016,5,3,6,30,1.49,14.29,8.12,192,17.2
2016,5,3,7,0,1.34,14.29,7.6,185,17.2
2016,5,3,7,30,1.21,14.29,6.95,187,17.2
2016,5,3,8,0,1.28,14.29,8,191,17.2
2016,5,3,8,30,1.22,14.29,7.58,191,17.2
2016,5,3,9,0,1.3,14.29,8.54,202,17.2
2016,5,3,9,30,1.29,14.29,8.78,185,17.2
2016,5,3,10,0,1.37,14.29,9.02,194,17.2
2016,5,3,10,30,1.22,14.29,8.31,192,17.2
2016,5,3,11,0,1.13,14.29,8.25,198,17.2
2016,5,3,11,30,1.23,13.33,8.84,199,17.2
2016,5,3,12,0,1.15,14.29,8.26,198,17.2
2016,5,3,12,30,1.33,14.29,9.04,185,17.2
2016,5,3,13,0,1.15,14.29,8.54,185,17.2
2016,5,3,13,30,1.19,14.29,8.69,192,17.2
2016,5,3,14,0,1.14,12.5,8.48,211,17.2
2016,5,3,14,30,1.15,12.5,8.59,208,17.2
2016,5,3,15,0,1.11,12.5,8.63,208,17.2
2016,5,3,15,30,1.22,14.29,9.39,185,17.2
2016,5,3,16,0,1.1,12.5,8.76,208,17.2
2016,5,3,16,30,1.25,14.29,9.53,191,17.2
2016,5,3,17,0,1.17,14.29,9.13,184,17.2
2016,5,3,17,30,1.19,14.29,9.65,185,17.3
2016,5,3,18,0,1.13,14.29,9.2,180,17.3
2016,5,3,18,30,1.22,13.33,9.45,184,17.3
