idCollectionEvent,PROJECT,SOURCE,SAMPLE_DATETIME,STATION,WATER_BODY,CBSEG_2003,SONDE,LATITUDE,LONGITUDE,DEPTH,LAYER,TOTAL_DEPTH,TOTAL_DEPTH_UNITS,TOTAL_DEPTH_A,BATT,BATT_A,WTEMP,WTEMP_UNITS,WTEMP_A,WTEMP_QUALIFIER,WTEMP_METHOD,SPCOND,SPCOND_UNITS,SPCOND_A,SPCOND_QUALIFIER,SPCOND_METHOD,SALINITY,SALINITY_UNITS,SALINITY_A,SALINITY_QUALIFIER,SALINITY_METHOD,DO_SAT,DO_SAT_UNITS,DO_SAT_A,DO_SAT_QUALIFIER,DO_SAT_METHOD,DO,DO_UNITS,DO_A,DO_QUALIFIER,DO_METHOD,PH,PH_UNITS,PH_A,PH_QUALIFIER,PH_METHOD,TURB_NTU,TURB_NTU_UNITS,TURB_NTU_A,TURB_NTU_QUALIFIER,TURB_NTU_METHOD,FLUOR,FLUOR_UNITS,FLUOR_A,FLUOR_QUALIFIER,FLUOR_METHOD,TCHL_PRE_CAL,TCHL_PRE_CAL_UNITS,TCHL_PRE_CAL_A,TCHL_PRE_CAL_QUALIFIER,TCHL_PRE_CAL_METHOD,CHLA,CHLA_UNITS,CHLA_A,CHLA_QUALIFIER,CHLA_METHOD,BGA_PE,BGA_PE_UNITS,BGA_PE_A,BGA_PE_QUALIFIER,BGA_PE_METHOD,BGA_PE_RFU,BGA_PE_RFU_UNITS,BGA_PE_RFU_A,BGA_PE_RFU_QUALIFIER,BGA_PE_RFU_METHOD,COMMENTS
8695,CMON,VIMS,8/11/2016 2:30:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.3540,M,,11.9000,,28.8800,DEG C,,,F01,35016.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,120.7000,PCT,,,F04,8.2400,MG/L,,,F04,8.2700,SU,,,F01,3.2000,NTU,,,F01,1.2000,%FS,,,F01,4.6000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 2:45:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.3510,M,,12.0000,,28.8500,DEG C,,,F01,35019.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,123.5000,PCT,,,F04,8.4300,MG/L,,,F04,8.2900,SU,,,F01,3.2000,NTU,,,F01,1.5000,%FS,,,F01,5.6000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 3:00:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.3420,M,,11.9000,,28.8300,DEG C,,,F01,35022.0000,UMHOS/CM,,,F01,21.9500,PPT,,,F01,123.8000,PCT,,,F04,8.4500,MG/L,,,F04,8.2900,SU,,,F01,3.7000,NTU,,,F01,1.4000,%FS,,,F01,5.4000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 3:15:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.3310,M,,11.9000,,28.8400,DEG C,,,F01,35020.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,123.0000,PCT,,,F04,8.4000,MG/L,,,F04,8.2900,SU,,,F01,3.4000,NTU,,,F01,1.5000,%FS,,,F01,5.9000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 3:30:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.3260,M,,12.0000,,28.8200,DEG C,,,F01,35019.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,122.2000,PCT,,,F04,8.3500,MG/L,,,F04,8.2800,SU,,,F01,3.2000,NTU,,,F01,1.3000,%FS,,,F01,5.0000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 3:45:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.3000,M,,11.9000,,28.8200,DEG C,,,F01,35019.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,120.4000,PCT,,,F04,8.2300,MG/L,,,F04,8.2700,SU,,,F01,3.6000,NTU,,,F01,1.5000,%FS,,,F01,5.9000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 4:00:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.2750,M,,11.9000,,28.8000,DEG C,,,F01,35015.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,118.6000,PCT,,,F04,8.1100,MG/L,,,F04,8.2600,SU,,,F01,3.2000,NTU,,,F01,1.3000,%FS,,,F01,4.9000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 4:15:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.2550,M,,11.9000,,28.7800,DEG C,,,F01,35019.0000,UMHOS/CM,,,F01,21.9500,PPT,,,F01,118.3000,PCT,,,F04,8.0900,MG/L,,,F04,8.2600,SU,,,F01,3.2000,NTU,,,F01,1.2000,%FS,,,F01,4.6000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 4:30:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.2460,M,,11.9000,,28.7600,DEG C,,,F01,35010.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,117.3000,PCT,,,F04,8.0300,MG/L,,,F04,8.2600,SU,,,F01,3.6000,NTU,,,F01,1.4000,%FS,,,F01,5.5000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
8695,CMON,VIMS,8/11/2016 4:45:00 AM,CHE019.38,Mobjack Bay,MOBPH,14D102145,37.217222,-76.392222,0.52,AB,1.2130,M,,11.9000,,28.7300,DEG C,,,F01,35013.0000,UMHOS/CM,,,F01,21.9400,PPT,,,F01,115.2000,PCT,,,F04,7.8800,MG/L,,,F04,8.2500,SU,,,F01,3.4000,NTU,,,F01,1.3000,%FS,,,F01,4.9000,UG/L,,,F01,,UG/L,NND,,F01,,UG/L,NND,,F01,,RFU,NND,,F01,WIND EVENT:  8/11/2016 WINDS UP TO 20 MPH. 
