Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,Turbidity FNU,TSS mg/L,ODO % sat,ODO mg/L,pH,pH mV,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,Chlorophyll RFU,Chlorophyll µg/L,BGA-PE RFU,BGA-PE µg/L,fDOM RFU,fDOM QSU,Press psi a,Depth m
16-09-20,4:59:50,0,Default Site,0,5.8,11.6,0.51,0,105.6,8.8,7.58,-78.3,24.534,20.8,20.9,0.01,21,14,0.36,1.67,2.11,7.82,0.4,1.19,0.105,0.065
16-09-20,5:05:49,0,Default Site,0,5.8,11.6,0.34,0,102.7,6.53,8.09,-106.9,29.058,56157.9,52118.8,34.19,51675.9,33877,0.76,3.63,1.92,7.14,0.36,1.06,1.258,0.86
16-09-20,5:11:49,0,Default Site,0,5.8,11.6,0.54,0,102,6.49,8.08,-106.8,29.072,56162.5,52109.3,34.18,51664.8,33871,0.97,4.74,1.94,7.22,0.35,1.04,1.222,0.834
16-09-20,5:17:49,0,Default Site,0,5.8,11.7,0.34,0,102.5,6.52,8.09,-107,29.073,56163.7,52109.4,34.18,51664.7,33871,0.67,3.2,1.46,5.52,0.35,1.04,1.197,0.818
16-09-20,5:23:49,0,Default Site,0,5.8,11.7,0.38,0,102.4,6.51,8.09,-107,29.081,56166.7,52105.5,34.17,51660.1,33869,0.75,3.59,1.33,5.07,0.38,1.13,1.195,0.816
16-09-20,5:29:49,0,Default Site,0,5.8,11.7,0.29,0,102.5,6.52,8.09,-106.9,29.087,56173.5,52106.1,34.18,51659.9,33869,0.54,2.55,1.2,4.61,0.34,1.01,1.184,0.809
16-09-20,5:35:49,0,Default Site,0,5.8,11.7,0.44,0,102.6,6.53,8.09,-106.9,29.09,56176.1,52105.6,34.17,51659.1,33869,0.62,2.93,1.47,5.56,0.36,1.06,1.191,0.813
16-09-20,5:41:49,0,Default Site,0,5.8,11.8,0.34,0,102.8,6.53,8.09,-107,29.099,56181.8,52102.8,34.17,51655.3,33867,0.61,2.88,1,3.89,0.33,0.98,1.193,0.814
16-09-20,5:47:49,0,Default Site,0,5.8,11.8,0.3,0,103.1,6.55,8.09,-107,29.103,56187,52103.7,34.17,51655.7,33867,0.42,1.97,0.64,2.65,0.35,1.04,1.196,0.816
16-09-20,5:53:49,0,Default Site,0,5.8,11.8,0.5,0,102.9,6.54,8.09,-106.9,29.104,56186.7,52102.5,34.17,51654.4,33867,0.39,1.78,0.58,2.43,0.32,0.94,1.197,0.818
16-09-20,5:59:49,0,Default Site,0,5.8,11.9,0.24,0,102.6,6.52,8.09,-107,29.106,56187.3,52101.5,34.17,51653.2,33866,0.69,3.29,1.35,5.12,0.33,0.98,1.207,0.824
16-09-20,6:05:49,0,Default Site,0,5.8,11.9,0.89,0,102.9,6.54,8.09,-107,29.106,56187.7,52101.7,34.17,51653.4,33866,0.39,1.78,0.88,3.46,0.35,1.04,1.201,0.82
16-09-20,6:11:49,0,Default Site,0,5.8,11.9,0.38,0,103.5,6.58,8.09,-107,29.114,56196.6,52102.4,34.17,51653.1,33867,0.55,2.61,0.66,2.69,0.35,1.04,1.214,0.829
16-09-20,6:17:49,0,Default Site,0,5.8,11.9,0.27,0,103.1,6.55,8.09,-107,29.111,56188.7,52097.5,34.17,51648.6,33863,0.73,3.51,0.83,3.31,0.34,1,1.202,0.821
16-09-20,6:23:49,0,Default Site,0,5.8,11.9,0.28,0,103.5,6.58,8.09,-107.1,29.115,56187.1,52092.6,34.16,51643.3,33860,0.41,1.91,0.54,2.27,0.35,1.04,1.217,0.831
16-09-20,6:29:49,0,Default Site,0,5.8,11.9,0.26,0,103.2,6.56,8.09,-107,29.124,56205.9,52102.1,34.17,51651.8,33866,0.49,2.31,0.68,2.77,0.34,1,1.233,0.842
16-09-20,6:35:49,0,Default Site,0,5.8,11.9,0.41,0,103,6.55,8.09,-106.9,29.117,56197.7,52100.6,34.17,51651,33865,0.85,4.11,1.65,6.18,0.36,1.06,1.224,0.836
16-09-20,6:41:49,0,Default Site,0,5.8,12,0.33,0,103.3,6.57,8.09,-107.1,29.12,56202,52102,34.17,51652,33866,0.57,2.72,0.56,2.35,0.35,1.04,1.237,0.845
16-09-20,6:47:49,0,Default Site,0,5.8,12,0.34,0,103.4,6.57,8.09,-107.1,29.125,56205.6,52100.7,34.17,51650.2,33865,0.72,3.44,0.76,3.07,0.36,1.06,1.245,0.851
16-09-20,6:53:49,0,Default Site,0,5.8,12.1,1.64,0,101.5,6.45,8.09,-106.8,29.131,56213.6,52102.1,34.17,51650.9,33866,0.76,3.64,0.65,2.66,0.36,1.08,1.251,0.855
16-09-20,6:59:49,0,Default Site,0,5.8,12,1.05,0,96.2,6.11,8.07,-106.2,29.139,56219.1,52100.3,34.17,51648.2,33865,0.28,1.25,0.2,1.07,0.38,1.12,1.262,0.862
16-09-20,7:05:49,0,Default Site,0,5.8,12.1,0.34,0,100.1,6.36,8.08,-106.6,29.141,56220.4,52099.7,34.17,51647.4,33865,0.67,3.23,0.75,3.01,4.18,12.52,1.252,0.856
16-09-20,7:11:49,0,Default Site,0,5.8,12,0.29,0,99.2,6.3,8.08,-106.5,29.145,56221.3,52097.2,34.17,51644.5,33863,0.54,2.54,0.48,2.07,7.25,21.75,1.28,0.875
16-09-20,7:17:49,0,Default Site,0,5.8,12.1,0.42,0,103.2,6.55,8.09,-107.1,29.149,56234.8,52106,34.17,51652.8,33869,0.56,2.67,0.43,1.87,5.67,17,1.272,0.869
16-09-20,7:23:49,0,Default Site,0,5.8,12.1,0.32,0,105.7,6.71,8.09,-107.4,29.153,56237.1,52104.4,34.17,51650.7,33868,0.41,1.91,0.39,1.75,4.19,12.56,1.29,0.882
16-09-20,7:29:49,0,Default Site,0,5.8,12.1,0.94,0,106.4,6.75,8.1,-107.6,29.163,56248.3,52105.4,34.17,51650.5,33868,0.86,4.16,0.84,3.34,4.99,14.96,1.284,0.878
16-09-20,7:35:49,0,Default Site,0,5.8,12.1,0.55,0,106.1,6.74,8.1,-107.6,29.164,56251.5,52107.1,34.17,51652.1,33870,0.97,4.74,1.1,4.23,4.62,13.84,1.297,0.886
16-09-20,7:41:49,0,Default Site,0,5.8,12.1,0.44,0,107,6.8,8.1,-107.8,29.171,56260.9,52109.4,34.17,51653.5,33871,0.54,2.55,0.6,2.49,4.85,14.55,1.311,0.896
16-09-20,7:47:49,0,Default Site,0,5.8,12.1,0.52,0,108,6.85,8.1,-107.9,29.175,56265.6,52109.9,34.17,51653.5,33871,0.37,1.71,0.36,1.64,3.8,11.38,1.318,0.901
16-09-20,7:53:49,0,Default Site,0,5.8,12.1,0.52,0,107.3,6.81,8.1,-107.9,29.181,56270.6,52109.6,34.17,51652.6,33871,0.59,2.81,0.81,3.23,5.27,15.81,1.319,0.902
16-09-20,7:59:49,0,Default Site,0,5.8,12.1,0.46,0,107.5,6.82,8.1,-107.9,29.191,56283.6,52112,34.18,51653.8,33873,0.7,3.37,0.94,3.67,4.11,12.33,1.334,0.912
16-09-20,8:05:49,0,Default Site,0,5.8,12.1,0.56,0,108.2,6.87,8.11,-108,29.193,56285.3,52111.8,34.18,51653.4,33873,0.61,2.88,0.66,2.69,1.62,4.86,1.342,0.918
16-09-20,8:11:49,0,Default Site,0,5.8,12.1,0.45,0,108.1,6.86,8.1,-107.9,29.195,56285.9,52110.6,34.17,51652,33872,0.51,2.42,0.52,2.19,2.22,6.65,1.345,0.92
