#,Date,"Time, GMT+05:30","Temp, °C",End Of File
141,3/1/2016,2:30:00,29.152,
142,3/1/2016,3:00:00,29.252,
143,3/1/2016,3:30:00,29.252,
144,3/1/2016,4:00:00,29.252,
145,3/1/2016,4:30:00,29.252,
146,3/1/2016,5:00:00,29.252,
147,3/1/2016,5:30:00,28.953,
148,3/1/2016,6:00:00,28.953,
149,3/1/2016,6:30:00,28.853,
150,3/1/2016,7:00:00,28.853,
151,3/1/2016,7:30:00,28.853,
152,3/1/2016,8:00:00,29.053,
153,3/1/2016,8:30:00,29.252,
154,3/1/2016,9:00:00,29.552,
155,3/1/2016,9:30:00,29.853,
156,3/1/2016,10:00:00,29.953,
157,3/1/2016,10:30:00,30.255,
158,3/1/2016,11:00:00,30.457,
159,3/1/2016,11:30:00,30.76,
160,3/1/2016,12:00:00,31.166,
161,3/1/2016,12:30:00,31.472,
162,3/1/2016,13:00:00,31.574,
163,3/1/2016,13:30:00,31.37,
164,3/1/2016,14:00:00,31.472,
165,3/1/2016,14:30:00,31.37,
166,3/1/2016,15:00:00,31.166,
167,3/1/2016,15:30:00,31.064,
168,3/1/2016,16:00:00,30.862,
169,3/1/2016,16:30:00,30.659,
170,3/1/2016,17:00:00,30.255,
171,3/1/2016,17:30:00,29.953,
172,3/1/2016,18:00:00,29.752,
173,3/1/2016,18:30:00,29.552,
174,3/1/2016,19:00:00,29.552,
175,3/1/2016,19:30:00,29.552,
176,3/1/2016,20:00:00,29.552,
177,3/1/2016,20:30:00,29.452,
178,3/1/2016,21:00:00,29.452,
179,3/1/2016,21:30:00,29.552,
180,3/1/2016,22:00:00,29.552,
181,3/1/2016,22:30:00,29.452,
182,3/1/2016,23:00:00,29.452,
183,3/1/2016,23:30:00,29.152,
184,4/1/2016,0:00:00,29.252,
185,4/1/2016,0:30:00,29.352,
186,4/1/2016,1:00:00,28.853,
187,4/1/2016,1:30:00,28.853,
188,4/1/2016,2:00:00,28.953,
189,4/1/2016,2:30:00,28.953,
190,4/1/2016,3:00:00,28.953,
191,4/1/2016,3:30:00,29.053,
192,4/1/2016,4:00:00,29.053,
193,4/1/2016,4:30:00,29.053,
194,4/1/2016,5:00:00,28.953,
195,4/1/2016,5:30:00,29.053,
196,4/1/2016,6:00:00,29.152,
197,4/1/2016,6:30:00,28.953,
198,4/1/2016,7:00:00,28.853,
199,4/1/2016,7:30:00,28.853,
200,4/1/2016,8:00:00,28.853,
201,4/1/2016,8:30:00,28.953,
202,4/1/2016,9:00:00,29.152,
203,4/1/2016,9:30:00,29.452,
204,4/1/2016,10:00:00,29.752,
205,4/1/2016,10:30:00,30.054,
206,4/1/2016,11:00:00,30.356,
207,4/1/2016,11:30:00,30.558,
208,4/1/2016,12:00:00,30.76,
209,4/1/2016,12:30:00,30.76,
210,4/1/2016,13:00:00,30.862,
211,4/1/2016,13:30:00,30.659,
212,4/1/2016,14:00:00,30.659,
213,4/1/2016,14:30:00,30.862,
214,4/1/2016,15:00:00,31.064,
215,4/1/2016,15:30:00,30.963,
216,4/1/2016,16:00:00,30.659,
217,4/1/2016,16:30:00,30.356,
218,4/1/2016,17:00:00,30.255,
219,4/1/2016,17:30:00,30.154,
220,4/1/2016,18:00:00,30.054,
221,4/1/2016,18:30:00,29.953,
222,4/1/2016,19:00:00,29.853,
223,4/1/2016,19:30:00,29.853,
224,4/1/2016,20:00:00,29.853,
225,4/1/2016,20:30:00,29.853,
226,4/1/2016,21:00:00,29.652,
227,4/1/2016,21:30:00,29.853,
228,4/1/2016,22:00:00,29.552,
229,4/1/2016,22:30:00,29.552,
230,4/1/2016,23:00:00,29.552,
231,4/1/2016,23:30:00,29.552,
232,5/1/2016,0:00:00,29.552,
233,5/1/2016,0:30:00,29.452,
234,5/1/2016,1:00:00,29.552,
235,5/1/2016,1:30:00,29.452,
236,5/1/2016,2:00:00,29.452,
237,5/1/2016,2:30:00,29.452,
238,5/1/2016,3:00:00,29.452,
239,5/1/2016,3:30:00,29.352,
240,5/1/2016,4:00:00,29.352,
241,5/1/2016,4:30:00,29.352,
242,5/1/2016,5:00:00,29.252,
243,5/1/2016,5:30:00,29.252,
244,5/1/2016,6:00:00,29.152,
245,5/1/2016,6:30:00,29.152,
246,5/1/2016,7:00:00,29.053,
247,5/1/2016,7:30:00,29.152,
248,5/1/2016,8:00:00,29.252,
249,5/1/2016,8:30:00,29.352,
250,5/1/2016,9:00:00,29.452,
251,5/1/2016,9:30:00,29.552,
252,5/1/2016,10:00:00,29.853,
253,5/1/2016,10:30:00,29.953,
254,5/1/2016,11:00:00,29.752,
255,5/1/2016,11:30:00,29.853,
256,5/1/2016,12:00:00,29.953,
257,5/1/2016,12:30:00,30.054,
258,5/1/2016,13:00:00,30.154,
259,5/1/2016,13:30:00,30.457,
260,5/1/2016,14:00:00,30.659,
261,5/1/2016,14:30:00,31.166,
262,5/1/2016,15:00:00,30.963,
263,5/1/2016,15:30:00,30.76,
264,5/1/2016,16:00:00,30.558,
265,5/1/2016,16:30:00,30.659,
266,5/1/2016,17:00:00,30.457,
267,5/1/2016,17:30:00,30.356,
268,5/1/2016,18:00:00,30.255,
269,5/1/2016,18:30:00,30.154,
270,5/1/2016,19:00:00,30.054,
271,5/1/2016,19:30:00,29.953,
272,5/1/2016,20:00:00,29.853,
273,5/1/2016,20:30:00,29.853,
274,5/1/2016,21:00:00,29.853,
275,5/1/2016,21:30:00,29.752,
276,5/1/2016,22:00:00,29.853,
277,5/1/2016,22:30:00,29.953,
278,5/1/2016,23:00:00,29.752,
279,5/1/2016,23:30:00,29.752,
280,6/1/2016,0:00:00,29.752,
281,6/1/2016,0:30:00,29.752,
282,6/1/2016,1:00:00,29.752,
283,6/1/2016,1:30:00,29.652,
284,6/1/2016,2:00:00,29.652,
285,6/1/2016,2:30:00,29.552,
286,6/1/2016,3:00:00,29.452,
287,6/1/2016,3:30:00,29.352,
288,6/1/2016,4:00:00,29.352,
289,6/1/2016,4:30:00,29.352,
290,6/1/2016,5:00:00,29.252,
291,6/1/2016,5:30:00,29.352,
292,6/1/2016,6:00:00,29.252,
293,6/1/2016,6:30:00,29.152,
294,6/1/2016,7:00:00,29.152,
295,6/1/2016,7:30:00,29.252,
296,6/1/2016,8:00:00,29.252,
297,6/1/2016,8:30:00,29.452,
298,6/1/2016,9:00:00,29.652,
299,6/1/2016,9:30:00,29.752,
300,6/1/2016,10:00:00,29.752,
301,6/1/2016,10:30:00,29.953,
302,6/1/2016,11:00:00,29.953,
303,6/1/2016,11:30:00,30.255,
304,6/1/2016,12:00:00,30.963,
305,6/1/2016,12:30:00,30.963,
306,6/1/2016,13:00:00,30.356,
307,6/1/2016,13:30:00,30.76,
308,6/1/2016,14:00:00,31.268,
309,6/1/2016,14:30:00,31.37,
310,6/1/2016,15:00:00,31.268,
311,6/1/2016,15:30:00,31.064,
312,6/1/2016,16:00:00,30.76,
313,6/1/2016,16:30:00,30.659,
314,6/1/2016,17:00:00,30.457,
315,6/1/2016,17:30:00,30.356,
316,6/1/2016,18:00:00,30.154,
317,6/1/2016,18:30:00,30.154,
318,6/1/2016,19:00:00,30.054,
319,6/1/2016,19:30:00,30.054,
320,6/1/2016,20:00:00,30.054,
321,6/1/2016,20:30:00,29.853,
322,6/1/2016,21:00:00,29.752,
323,6/1/2016,21:30:00,29.652,
324,6/1/2016,22:00:00,29.853,
325,6/1/2016,22:30:00,29.752,
326,6/1/2016,23:00:00,29.552,
327,6/1/2016,23:30:00,29.352,
