"unrepresented"
"Acropoma japonicum"
"Ambassis marinus"
"Ambassis sp."
"Ammodytes hexapterus"
"Anchoa delicatissima"
"Apodichthys flavidus"
"Arrhamphus sclerolepis"
"Artedius lateralis"
"Atherinops affins"
"Atherinosoma microstoma"
"Chasmodes saburrae"
"Chilomycterus schoepfi"
"Citharichthys sordidus"
"Clevelandia ios"
"Cottus asper"
"Cottus bairdi"
"Ctenogobius boteosoma"
"Ctenogobius sagitula"
"Culaea inconstans"
"Cyprinodon variegatus"
"Diplodus holbrookii"
"Ditema temminckii"
"Echiichthys "
"Embiotoca "
"Embiotocidae sp."
"Embiotocidae spp."
"Enophrys bison"
"Ephinephelus coioides"
"Epinephelus sp."
"Ethmidium maculatum"
"Eucinostomus harengulus"
"Favonigobius exquisitus"
"Favonigobius hymnauchen"
"Fundulus grandis"
"Fundulus heteroclitus"
"Fundulus similis"
"Gadus chalcogrammus"
"Gasterosteus aculateus"
"Gasterosteus wheatlandi"
"Gobidae sp."
"Gobies species"
"Gobiidae sp."
"Gobiosoma bosc"
"Gobiosoma bosci"
"Gobiosoma sp."
"Gobius geniporus"
"Gobius sp."
"Halichoeres poecilopterus"
"Helotes sexlineatus"
"Hemiramphus robustus"
"Herring sp."
"Hippichthys penicillus"
"Hippocampus procerus"
"Hippocampus sp."
"Hipsoblennius sordidus"
"Hypomesus pretiosus"
"Hyporhamphus regularis"
"Hyporhamphus rosae"
"Hyporhamphus sajori"
"Hypsoblennius "
"Ilypnus gilberti"
"Lepidopsetta sp."
"Leptocottus affinis"
"Leptocottus aspera"
"Liparis sp."
"Liza argentea"
"Liza sp."
"Menidia beryllina"
"Menidia beryllinia"
"Menticirrhus ophicephalus"
"Micrometrus "
"Monacanthis chinensis"
"Mullus barbatus"
"Myoxocephalus aenaeus"
"NA NA"
"Nautichthys oculofasciatus"
"noID bellyfish"
"Odontesthes "
"Oligocottus maculosus"
"Oncorhyncus tshawytscha"
"Paralichthys "
"Paralichthys albiguttata"
"Paralichthys microps"
"Petroscirtis variabilis"
"Phanerodon furcatus"
"Philypnodon grandiceps"
"Pholis fangi"
"Pholis ornata"
"Pholis sp."
"Pipefish sp."
"Platycephalidae sp."
"Platycephalus aurimaculatus"
"Pomatoschistus sp."
"Porocottus leptoxomus"
"Psettichthy melanostictus"
"Psettichthys melanostictus"
"Pseudoblennius dottoides"
"Pseudomugil signifer"
"Pterogobius elapoides"
"Repomucenus lunatus"
"Repomucenus macdonaldi"
"Rudarius ercodes"
"scorpaenichthys marmoratus"
"sculpin sp."
"Scylla serrata"
"Sebastes sp."
"Sebastiscus sp."
"Sillago "
"Sillago maculatus"
"Sillago temminck"
"Sparus sp."
"Sphyraena borealis"
"Strongylura exilis"
"Suarida nebulosa"
"Sygnathus "
"Sygnathus abaster"
"Sygnathus floridae"
"Sygnathus griseolineatus"
"Sygnathus typhle"
"Syngnathidae sp."
"Syngnathus floridae"
"Syngnathus griseolineatus"
"Syngnathus leptorhynchus "
"Syngnathus sp."
"Torquiginer sp."
"Unknown goby sp."
"unknown unknown"
"Urocampus carinirostris"
"Urophycis regia"
"Xiphister atropurpureus"
